"","lon","lat","t","temp"
"101",-149.875,-17.625,2019-04-20,30.1100006103516
"102",-149.875,-17.375,2019-04-20,29.9799995422363
"103",-149.875,-17.625,2019-04-21,30.1399993896484
"104",-149.875,-17.375,2019-04-21,30.0699996948242
"105",-149.875,-17.625,2019-04-22,30.2199993133545
"106",-149.875,-17.375,2019-04-22,30.1000003814697
"107",-149.875,-17.625,2019-04-23,29.7600002288818
"108",-149.875,-17.375,2019-04-23,29.5799999237061
"109",-149.875,-17.625,2019-04-24,29.4099998474121
"110",-149.875,-17.375,2019-04-24,29.3199996948242
"111",-149.875,-17.625,2019-04-25,29.5200004577637
"112",-149.875,-17.375,2019-04-25,29.5100002288818
"113",-149.875,-17.625,2019-04-26,29.4500007629395
"114",-149.875,-17.375,2019-04-26,29.4599990844727
"115",-149.875,-17.625,2019-04-27,29.6900005340576
"116",-149.875,-17.375,2019-04-27,29.7000007629395
"117",-149.875,-17.625,2019-04-28,29.4400005340576
"118",-149.875,-17.375,2019-04-28,29.4500007629395
"119",-149.875,-17.625,2019-04-29,29.0599994659424
"120",-149.875,-17.375,2019-04-29,29.1000003814697
"121",-149.875,-17.625,2019-04-30,28.7800006866455
"122",-149.875,-17.375,2019-04-30,28.7700004577637
"123",-149.875,-17.625,2020-03-01,29.4099998474121
"124",-149.875,-17.375,2020-03-01,29.4099998474121
"125",-149.875,-17.625,2020-03-02,29.3899993896484
"126",-149.875,-17.375,2020-03-02,29.3799991607666
"127",-149.875,-17.625,2020-03-03,29.2399997711182
"128",-149.875,-17.375,2020-03-03,29.2700004577637
"129",-149.875,-17.625,2020-03-04,29.5200004577637
"130",-149.875,-17.375,2020-03-04,29.5300006866455
"131",-149.875,-17.625,2020-03-05,29.7000007629395
"132",-149.875,-17.375,2020-03-05,29.8299999237061
"133",-149.875,-17.625,2020-03-06,29.5799999237061
"134",-149.875,-17.375,2020-03-06,29.6499996185303
"135",-149.875,-17.625,2020-03-07,29.5499992370605
"136",-149.875,-17.375,2020-03-07,29.6299991607666
"137",-149.875,-17.625,2020-03-08,29.6499996185303
"138",-149.875,-17.375,2020-03-08,29.7999992370605
"139",-149.875,-17.625,2020-03-09,30.1000003814697
"140",-149.875,-17.375,2020-03-09,30.2000007629395
"141",-149.875,-17.625,2020-03-10,30.4099998474121
"142",-149.875,-17.375,2020-03-10,30.4500007629395
"143",-149.875,-17.625,2020-03-11,29.8600006103516
"144",-149.875,-17.375,2020-03-11,29.8999996185303
"145",-149.875,-17.625,2020-03-12,30.0699996948242
"146",-149.875,-17.375,2020-03-12,30.1299991607666
"147",-149.875,-17.625,2020-03-13,30.2199993133545
"148",-149.875,-17.375,2020-03-13,30.2299995422363
"149",-149.875,-17.625,2020-03-14,29.8600006103516
"150",-149.875,-17.375,2020-03-14,29.8600006103516
"151",-149.875,-17.625,2020-03-15,29.4899997711182
"152",-149.875,-17.375,2020-03-15,29.4799995422363
"153",-149.875,-17.625,2020-03-16,29.3299999237061
"154",-149.875,-17.375,2020-03-16,29.2999992370605
"155",-149.875,-17.625,2020-03-17,29.3400001525879
"156",-149.875,-17.375,2020-03-17,29.2900009155273
"157",-149.875,-17.625,2020-03-18,29.4599990844727
"158",-149.875,-17.375,2020-03-18,29.4500007629395
"159",-149.875,-17.625,2020-03-19,30.0900001525879
"160",-149.875,-17.375,2020-03-19,30.0900001525879
"161",-149.875,-17.625,2020-03-20,30.1200008392334
"162",-149.875,-17.375,2020-03-20,30.1299991607666
"163",-149.875,-17.625,2020-03-21,29.7299995422363
"164",-149.875,-17.375,2020-03-21,29.7700004577637
"165",-149.875,-17.625,2020-03-22,29.6700000762939
"166",-149.875,-17.375,2020-03-22,29.6900005340576
"167",-149.875,-17.625,2020-03-23,29.6900005340576
"168",-149.875,-17.375,2020-03-23,29.75
"169",-149.875,-17.625,2020-03-24,29.5400009155273
"170",-149.875,-17.375,2020-03-24,29.6499996185303
"171",-149.875,-17.625,2020-03-25,29.6200008392334
"172",-149.875,-17.375,2020-03-25,29.7000007629395
"173",-149.875,-17.625,2020-03-26,29.8199996948242
"174",-149.875,-17.375,2020-03-26,29.8799991607666
"175",-149.875,-17.625,2020-03-27,29.7099990844727
"176",-149.875,-17.375,2020-03-27,29.7999992370605
"177",-149.875,-17.625,2020-03-28,29.8099994659424
"178",-149.875,-17.375,2020-03-28,29.8799991607666
"179",-149.875,-17.625,2020-03-29,29.6299991607666
"180",-149.875,-17.375,2020-03-29,29.7800006866455
"181",-149.875,-17.625,2020-03-30,29.4699993133545
"182",-149.875,-17.375,2020-03-30,29.5799999237061
"183",-149.875,-17.625,2020-03-31,29.3700008392334
"184",-149.875,-17.375,2020-03-31,29.5
"185",-149.875,-17.625,2020-04-01,29.4099998474121
"186",-149.875,-17.375,2020-04-01,29.5200004577637
"187",-149.875,-17.625,2020-04-02,29.5
"188",-149.875,-17.375,2020-04-02,29.5900001525879
"189",-149.875,-17.625,2020-04-03,29.3799991607666
"190",-149.875,-17.375,2020-04-03,29.4699993133545
"191",-149.875,-17.625,2020-04-04,29.4699993133545
"192",-149.875,-17.375,2020-04-04,29.5300006866455
"193",-149.875,-17.625,2020-04-05,29.6100006103516
