"","event_no","duration","date_start","date_end","date_peak","intensity_max","intensity_cumulative","intensity_mean","rate_onset","rate_decline"
"1",43,5,2014-10-27,2014-10-29,2014-10-28,2.1677,7.0647,1.4129,1.0148,0.8102
"2",62,30,2017-01-05,2017-01-19,2017-01-09,1.5334,33.7008,1.1234,0.1374,0.0934
"3",75,15,2020-03-07,2020-03-14,2020-03-10,1.494,15.9468,1.0631,0.2375,0.18
"4",60,13,2016-11-05,2016-11-11,2016-11-10,1.4814,13.4735,1.0364,0.1466,0.573
"5",45,18,2015-01-12,2015-01-20,2015-01-13,1.4381,21.3644,1.1869,0.4086,0.0601
"6",17,22,2005-12-31,2006-01-10,2006-01-06,1.4306,24.6446,1.1202,0.103,0.1398
"7",10,6,2003-05-17,2003-05-19,2003-05-19,1.4254,5.8538,0.9756,0.327,1.2465
"8",71,55,2019-04-01,2019-04-28,2019-04-22,1.398,54.0662,0.983,0.0295,0.1317
"9",7,12,2003-03-15,2003-03-20,2003-03-19,1.3773,11.9008,0.9917,0.1474,0.5109
"10",14,5,2005-11-27,2005-11-29,2005-11-27,1.3765,5.8851,1.177,1.043,0.2614
"11",58,66,2016-09-24,2016-10-26,2016-10-10,1.3579,67.086,1.0165,0.045,0.0386
"12",6,10,2003-01-19,2003-01-23,2003-01-20,1.355,9.799,0.9799,0.4618,0.1674
"13",15,7,2005-12-01,2005-12-04,2005-12-02,1.3484,7.8661,1.1237,0.3357,0.232
"14",33,13,2009-11-10,2009-11-16,2009-11-12,1.3422,13.1206,1.0093,0.2923,0.1242
"15",4,13,2002-11-19,2002-11-25,2002-11-22,1.3324,13.4707,1.0362,0.1837,0.133
"16",61,8,2016-12-10,2016-12-13,2016-12-12,1.3028,8.9966,1.1246,0.1842,0.2614
"17",78,11,2020-04-10,2020-04-15,2020-04-12,1.2509,9.9338,0.9031,0.2979,0.1184
"18",63,7,2017-02-11,2017-02-14,2017-02-13,1.25,6.2385,0.8912,0.2586,0.4103
"19",41,24,2012-11-27,2012-12-08,2012-12-06,1.2231,23.8276,0.9928,0.054,0.1556
"20",54,10,2016-04-05,2016-04-09,2016-04-06,1.2092,10.6784,1.0678,0.3093,0.125
"21",51,20,2015-07-20,2015-07-29,2015-07-27,1.195,14.3618,0.7181,0.0824,0.2894
"22",5,7,2002-12-09,2002-12-12,2002-12-11,1.1784,6.8314,0.9759,0.1411,0.482
"23",19,7,2006-03-16,2006-03-19,2006-03-17,1.1464,6.8059,0.9723,0.4686,0.1756
"24",68,21,2018-12-16,2018-12-26,2018-12-20,1.1239,19.2077,0.9147,0.0808,0.06
"25",34,7,2009-11-26,2009-11-29,2009-11-26,1.1235,6.8821,0.9832,0.8429,0.1016
"26",70,7,2019-03-26,2019-03-29,2019-03-28,1.1147,6.2163,0.888,0.169,0.1935
"27",76,6,2020-03-19,2020-03-21,2020-03-20,1.1129,5.8284,0.9714,0.2355,0.277
"28",36,16,2009-12-31,2010-01-07,2010-01-01,1.1062,15.1234,0.9452,0.2899,0.0938
"29",31,8,2007-09-21,2007-09-24,2007-09-21,1.0791,7.147,0.8934,0.6434,0.1302
"30",21,6,2006-08-01,2006-08-03,2006-08-03,1.0734,5.2094,0.8682,0.2336,0.8971
"31",1,8,2002-03-02,2002-03-05,2002-03-03,1.0648,7.376,0.922,0.2665,0.1586
"32",44,5,2014-12-20,2014-12-22,2014-12-22,1.0529,4.5955,0.9191,0.1396,0.519
"33",59,9,2016-10-30,2016-11-03,2016-11-02,1.0432,7.7185,0.8576,0.1108,0.2039
"34",53,16,2016-03-25,2016-04-01,2016-03-28,1.0247,13.5886,0.8493,0.1241,0.0957
"35",74,10,2020-01-28,2020-02-01,2020-01-29,1.0219,9.0108,0.9011,0.1843,0.1847
"36",65,44,2017-07-21,2017-08-11,2017-08-08,1.0139,35.2406,0.8009,0.0261,0.1512
"37",13,23,2005-10-14,2005-10-25,2005-10-20,0.995,17.0044,0.7393,0.0489,0.0676
"38",22,16,2007-02-19,2007-02-26,2007-02-21,0.9915,12.1736,0.7608,0.1907,0.0631
"39",81,10,2020-05-05,2020-05-09,2020-05-09,0.9778,7.5296,0.753,0.0968,0.5181
"40",12,13,2003-09-06,2003-09-12,2003-09-08,0.9776,10.5814,0.814,0.2016,0.1154
"41",2,9,2002-03-11,2002-03-15,2002-03-12,0.9667,8.2505,0.9167,0.2514,0.0574
"42",8,6,2003-03-29,2003-03-31,2003-03-30,0.9546,4.9092,0.8182,0.2268,0.1319
"43",3,6,2002-05-14,2002-05-16,2002-05-16,0.9465,4.7606,0.7934,0.1611,0.4872
"44",85,5,2021-03-04,2021-03-06,2021-03-05,0.9438,4.008,0.8016,0.2263,0.1607
"45",38,18,2010-04-26,2010-05-04,2010-05-02,0.9419,12.8498,0.7139,0.0603,0.1699
"46",23,18,2007-05-09,2007-05-17,2007-05-09,0.9378,13.3196,0.74,0.5917,0.0397
"47",35,6,2009-12-15,2009-12-17,2009-12-16,0.9355,5.1936,0.8656,0.1528,0.1034
"48",40,6,2012-11-18,2012-11-20,2012-11-19,0.9345,4.9172,0.8195,0.2092,0.2074
"49",66,6,2017-12-13,2017-12-15,2017-12-13,0.9279,5.131,0.8552,0.4851,0.0702
"50",72,31,2019-05-08,2019-05-23,2019-05-21,0.9226,20.4559,0.6599,0.0276,0.1602
"51",67,5,2018-11-30,2018-12-02,2018-11-30,0.9172,4.2076,0.8415,0.1943,0.0675
"52",52,8,2016-02-09,2016-02-12,2016-02-11,0.9094,6.2456,0.7807,0.0682,0.2062
"53",77,7,2020-04-05,2020-04-08,2020-04-07,0.9062,5.4611,0.7802,0.1113,0.1822
"54",79,6,2020-04-19,2020-04-21,2020-04-20,0.8965,4.2894,0.7149,0.2287,0.1709
"55",18,6,2006-03-04,2006-03-06,2006-03-04,0.8844,4.7024,0.7837,0.2496,0.0806
"56",25,7,2007-06-04,2007-06-07,2007-06-06,0.8817,4.8511,0.693,0.1103,0.302
