fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR11_4,0.9694379265571434,0.22282419393678757,TP4
ACR12_4,1.8764655862424513,0.44253895366370344,TP4
ACR13_4,0.7939722701540324,0.3396021203902121,TP4
ACR14_4,1.0602383911558226,0.1969028714517976,TP4
ACR17_4,0.7851862247623794,0.26217267209172734,TP4
ACR9_4,1.2773373456571018,0.298075409964844,TP4
ACR1_4,0.9516579638626367,0.3590554751725284,TP4
ACR10_4,1.5046441973725904,0.43892204250589006,TP4
ACR15_4,1.7909534337176785,0.6319677418996538,TP4
ACR16_4,1.1342006557554865,0.2876885882204212,TP4
ACR18_4,1.155960895574675,0.33342677096416806,TP4
ACR19_4,0.6931833910686976,0.25894687746201644,TP4
ACR2_4,1.6081170408761356,0.3806054906573815,TP4
ACR20_4,1.0028924496744955,0.3284080486922273,TP4
ACR21_4,1.0679688420875115,0.3870687220138287,TP4
ACR22_4,1.2893179950581712,1.2714360198347956,TP4
ACR23_4,1.3051560003392062,0.3113446129288578,TP4
ACR24_4,1.803689288124498,0.5566313424871902,TP4
ACR3_4,1.1321822724308295,0.37399116027447193,TP4
ACR4_4,1.9452263376412744,0.5992449701947891,TP4
ACR5_4,1.058106549442173,0.366267651729983,TP4
ACR6_4,1.035914135307045,0.2527305861802211,TP4
ACR7_4,1.3234308827966774,0.3454871315768519,TP4
ACR8_4,0.03239267703154412,0.03469299625263503,TP4
