fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR10_4,17515.665984952342,884.8046024000319,TP4
ACR11_4,7738.579747869324,449.2581925211116,TP4
ACR12_4,16243.607736504799,758.9456027953534,TP4
ACR13_4,10226.076904661859,654.7429258415682,TP4
ACR14_4,17210.264320741346,633.0267525705674,TP4
ACR15_4,30551.449127224267,1015.6913248389114,TP4
ACR16_4,7045.828453330688,553.6448269916907,TP4
ACR17_4,19122.029109755196,808.4620976488172,TP4
ACR18_4,22586.686850995487,840.719323328799,TP4
ACR19_4,10892.188130064329,449.62149273622845,TP4
ACR1_4,9078.271991792091,606.1981567767841,TP4
ACR20_4,32785.25252394087,787.1937421350083,TP4
ACR21_4,8320.319935809728,653.7914060623087,TP4
ACR22_4,18121.112515522036,571.2075534734938,TP4
ACR23_4,18137.108599390456,799.4041594062581,TP4
ACR24_4,22228.300262654353,673.3881538466792,TP4
ACR2_4,25993.11783068611,765.9513488498612,TP4
ACR3_4,15407.893436283965,602.3300130524606,TP4
ACR4_4,14742.80352120442,810.5204068543851,TP4
ACR5_4,13199.213005156835,752.2378732769512,TP4
ACR6_4,15975.74545427844,769.5390006767639,TP4
ACR7_4,17608.93868252154,810.5672341601726,TP4
ACR8_4,5568.204681469024,349.32677061141027,TP4
ACR9_4,9613.3459160268,702.1998468550009,TP4
