fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR1_4,1.674116498383753,0.6936530766358131,TP4
ACR10_4,2.590105104889908,0.8836406860780848,TP4
ACR11_4,1.9923864797165138,0.7824564863425622,TP4
ACR12_4,2.4072045836294356,1.0109676151646758,TP4
ACR13_4,1.4155990819722084,0.6084146159680414,TP4
ACR14_4,1.4259956128972338,0.42687499763009423,TP4
ACR15_4,1.1139876581524728,0.9244297497256047,TP4
ACR16_4,0.7828484342519381,0.8218124846394889,TP4
ACR17_4,1.432428972654048,0.6534102109688142,TP4
ACR18_4,1.63638314000583,0.5895017879806046,TP4
ACR19_4,1.3328619780941173,0.47014396805732744,TP4
ACR2_4,1.965914711868655,0.6235021399080242,TP4
ACR20_4,1.5519689614834715,0.8184254757476723,TP4
ACR21_4,1.8605065586328182,0.6415376153862393,TP4
ACR22_4,1.8112969890464241,0.809032963865809,TP4
ACR23_4,1.8815878715199439,0.7800556886541083,TP4
ACR24_4,2.1995746566303747,0.8191546571199628,TP4
ACR3_4,1.794564669413979,0.6891606233933422,TP4
ACR4_4,2.726083974822265,1.007806467257048,TP4
ACR5_4,1.6395636298187077,0.5889433383273132,TP4
ACR6_4,1.6100541611616808,0.5452670013594235,TP4
ACR7_4,2.003417983680594,0.9881454996902802,TP4
ACR8_4,1.2294662524915143,0.5766189279515721,TP4
ACR9_4,2.349402027991603,0.8086366050397118,TP4
