fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR10_4,11333.954610588637,572.5351928643306,TP4
ACR11_4,5013.435424823079,291.0517188761238,TP4
ACR12_4,10013.712523270055,467.86792752407734,TP4
ACR13_4,6368.601047696338,407.76111135888806,TP4
ACR14_4,10923.714233378894,401.795301820609,TP4
ACR15_4,19265.802100877536,640.4968870195925,TP4
ACR16_4,4556.18358325346,358.0143184582232,TP4
ACR17_4,12434.936450339228,525.7378675175383,TP4
ACR18_4,15795.378975281834,587.9339635523216,TP4
ACR19_4,7017.697817628989,289.6853901765543,TP4
ACR1_4,5511.466510823391,368.0260784231666,TP4
ACR20_4,21209.008702564803,509.2411264898529,TP4
ACR21_4,5494.805936783173,431.76908185795344,TP4
ACR22_4,9937.867749419214,313.2580915783444,TP4
ACR23_4,10325.386244863097,455.09771672741306,TP4
ACR24_4,13278.76359975014,402.26926936133026,TP4
ACR2_4,16089.45600245253,474.1155181003432,TP4
ACR3_4,9226.425057506462,360.6821885351593,TP4
ACR4_4,9092.998471319243,499.9090444296903,TP4
ACR5_4,8110.207701222115,462.20978406956044,TP4
ACR6_4,10249.669330436802,493.7184506591689,TP4
ACR7_4,11213.67928355706,516.1833524160182,TP4
ACR8_4,4927.906303378402,309.1570251653592,TP4
ACR9_4,6131.099040275274,447.8416614507414,TP4
