fragment_ID,surface.area.cm2,timepoint
ACR1_4,14.97574991,TP4
ACR2_4,33.93572956,TP4
ACR3_4,25.58048429,TP4
ACR4_4,18.18930578,TP4
ACR5_4,17.5465946,TP4
ACR6_4,20.76015048,TP4
ACR7_4,21.72421724,TP4
ACR8_4,15.93981667,TP4
ACR9_4,13.69032756,TP4
ACR10_4,19.79608372,TP4
ACR11_4,17.22523902,TP4
ACR12_4,21.40286165,TP4
ACR13_4,15.61846108,TP4
ACR14_4,27.18726223,TP4
ACR15_4,30.07946251,TP4
ACR16_4,12.72626079,TP4
ACR17_4,23.65235076,TP4
ACR18_4,26.86590664,TP4
ACR19_4,24.22523902,TP4
ACR20_4,41.64826366,TP4
ACR21_4,12.72626079,TP4
ACR22_4,31.72421724,TP4
ACR23_4,22.688284,TP4
ACR24_4,33.00963959,TP4
