well,fragment_ID
A1,ACR15_4
A2,ACR15_4
A3,ACR16_4
A4,ACR16_4
A5,ACR21_4
A6,ACR21_4
A7,ACR10_4
A8,ACR10_4
A9,ACR8_4
A10,ACR8_4
A11,ACR7_4
A12,ACR7_4
B1,ACR6_4
B2,ACR6_4
B3,ACR4_4
B4,ACR4_4
B5,ACR5_4
B6,ACR5_4
B7,BK
B8,BK
B9,ACR19_4
B10,ACR19_4
B11,ACR20_4
B12,ACR20_4
C1,ACR23_4
C2,ACR23_4
C3,ACR24_4
C4,ACR24_4
C5,ACR22_4
C6,ACR22_4
C7,ACR18_4
C8,ACR18_4
C9,ACR1_4
C10,ACR1_4
C11,ACR2_4
C12,ACR2_4
D1,ACR3_4
D2,ACR3_4
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
