Date,Sample.Name,Sample.ID,Chamber.ID,SDR,Meas.Temp,Cohort,Treatment.Temp,Type,Salinity,Run,Volume,Org.Number,Notes
20221025,WT4,21,D3,710,30,1018,wildtype,Sample,36,2,0.00008,5,
20221025,BK2,4,A4,710,30,1018,NA,Blank,36,2,0.00008,NA,
20221025,H2,10,B4,710,30,1018,hot,Sample,36,2,0.00008,5,
20221025,WT1,16,C4,710,30,1018,wildtype,Sample,36,2,0.00008,5,
20221025,H1,22,D4,710,30,1018,hot,Sample,36,2,0.00008,5,
20221025,WT9,5,A5,710,30,1018,wildtype,Sample,36,2,0.00008,5,
20221025,BK3,11,B5,710,30,1018,NA,Blank,36,2,0.00008,NA,
20221025,H6,17,C5,710,30,1018,hot,Sample,36,2,0.00008,5,
20221025,WT5,23,D5,710,30,1018,wildtype,Sample,36,2,0.00008,5,
20221025,H10,6,A6,710,30,1018,hot,Sample,36,2,0.00008,5,
20221025,WT6,12,B6,710,30,1018,wildtype,Sample,36,2,0.00008,6,
20221025,H8,18,C6,710,30,1018,hot,Sample,36,2,0.00008,5,
20221025,H9,24,D6,710,30,1018,hot,Sample,36,2,0.00008,5,
20221027,WT1,1,A1,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB1,7,B1,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT2,13,C1,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,BK3,19,D1,641,27,1020,NA,Blank,36,3,0.00008,NA,
20221027,WT3,2,A2,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB7,8,B2,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,BK1,14,C2,641,27,1020,NA,Blank,36,3,0.00008,NA,
20221027,AMB9,20,D2,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,AMB2,3,A3,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT4,9,B3,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,BK4,15,C3,641,27,1020,NA,Blank,36,3,0.00008,NA,
20221027,AMB5,21,D3,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT5,4,A4,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB8,10,B4,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT6,16,C4,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB3,22,D4,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,AMB10,5,A5,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT8,11,B5,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB4,17,C5,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT10,23,D5,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,BK2,6,A6,641,27,1020,NA,Blank,36,3,0.00008,NA,
20221027,WT7,12,B6,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,AMB6,18,C6,641,27,1020,ambient,Sample,36,3,0.00008,5,
20221027,WT9,24,D6,641,27,1020,wildtype,Sample,36,3,0.00008,5,
20221027,BK1,1,A1,710,30,1020,NA,Blank,36,4,0.00008,NA,
20221027,AMB1,7,B1,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,WT1,13,C1,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,AMB10,19,D1,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,AMB5,2,A2,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,AMB4,8,B2,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,AMB2,14,C2,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,WT2,20,D2,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,BK3,3,A3,710,30,1020,NA,Blank,36,4,0.00008,NA,
20221027,WT3,9,B3,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,WT4,15,C3,710,30,1020,wildtype,Sample,36,4,0.00008,6,
20221027,AMB9,21,D3,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,WT7,4,A4,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,BK2,10,B4,710,30,1020,NA,Blank,36,4,0.00008,NA,
20221027,AMB7,16,C4,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,AMB3,22,D4,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,WT5,5,A5,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,WT6,11,B5,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,WT9,17,C5,710,30,1020,wildtype,Sample,36,4,0.00008,6,
20221027,AMB6,23,D5,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221027,WT10,6,A6,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,WT8,12,B6,710,30,1020,wildtype,Sample,36,4,0.00008,5,
20221027,BK4,18,C6,710,30,1020,NA,Blank,36,4,0.00008,NA,
20221027,AMB8,24,D6,710,30,1020,ambient,Sample,36,4,0.00008,5,
20221028,WT1,1,A1,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,A1,7,B1,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,A2,13,C1,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,WT9,19,D1,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,WT5,2,A2,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,BK4,8,B2,641,27,1021,NA,Blank,36,5,0.00008,NA,
20221028,A10,14,C2,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,A3,20,D2,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,BK1,3,A3,641,27,1021,NA,Blank,36,5,0.00008,NA,
20221028,WT7,9,B3,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,A4,15,C3,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,WT6,21,D3,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,WT8,4,A4,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,A6,10,B4,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,WT2,16,C4,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,A5,22,D4,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,BK2,5,A5,641,27,1021,NA,Blank,36,5,0.00008,NA,
20221028,A9,11,B5,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,BK3,17,C5,641,27,1021,NA,Blank,36,5,0.00008,NA,
20221028,WT4,23,D5,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,A7,6,A6,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,A8,12,B6,641,27,1021,ambient,Sample,36,5,0.00008,5,
20221028,WT3,18,C6,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,WT10,24,D6,641,27,1021,wildtype,Sample,36,5,0.00008,5,
20221028,BK1,1,A1,710,30,1021,NA,Blank,36,6,0.00008,NA,
20221028,A1,7,B1,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,A2,13,C1,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,WT9,19,D1,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,WT5,2,A2,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,BK4,8,B2,710,30,1021,NA,Blank,36,6,0.00008,NA,
20221028,WT1,14,C2,710,30,1021,wildtype,Sample,36,6,0.00008,6,
20221028,A8,20,D2,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,WT10,3,A3,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,BK2,9,B3,710,30,1021,NA,Blank,36,6,0.00008,NA,
20221028,WT2,15,C3,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,A4,21,D3,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,WT4,4,A4,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,A7,10,B4,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,WT3,16,C4,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,A9,22,D4,710,30,1021,ambient,Sample,36,6,0.00008,6,
20221028,A5,5,A5,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,WT6,11,B5,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,A10,17,C5,710,30,1021,ambient,Sample,36,6,0.00008,6,
20221028,WT8,23,D5,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,BK3,6,A6,710,30,1021,NA,Blank,36,6,0.00008,NA,
20221028,WT7,12,B6,710,30,1021,wildtype,Sample,36,6,0.00008,5,
20221028,A3,18,C6,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221028,A6,24,D6,710,30,1021,ambient,Sample,36,6,0.00008,5,
20221029,WT1,1,A1,641,27,1022,wildtype,Sample,36,7,0.00008,5,
