Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,657,20220418,9:02:00,9:22:00
1,0,0,20220418,9:26:00,9:46:00
2,1,658,20220418,10:28:00,10:49:00
2,0,0,20220418,10:51:00,11:11:00
3,1,649,20220418,11:49:00,12:09:00
3,0,0,20220418,12:11:00,12:31:00
