"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"1","ACR-1","0",1,-0.000161806415643981,-0.582503096318331,"timepoint"
"2","ACR-1","1076",1,6.05280884450639e-05,0.21790111840223,"timepoint"
"3","ACR-1","156",1,-0.00010702877804446,-0.385303600960056,"timepoint"
"4","ACR-1","175",1,-7.68548611306569e-05,-0.276677500070365,"timepoint"
"5","ACR-1","19",1,-0.000194355454938777,-0.699679637779597,"timepoint"
"6","ACR-1","287",1,-6.34634843851118e-05,-0.228468543786403,"timepoint"
"7","ACR-1","500",1,-4.09987764014204e-06,-0.0147595595045114,"timepoint"
"8","ACR-1","73",1,-0.000161768435689552,-0.582366368482387,"timepoint"
"9","ACR-1","772",1,2.53889481514309e-05,0.0914002133451512,"timepoint"
"10","ACR-1","885",1,4.03918682409531e-05,0.145410725667431,"timepoint"
"11","ACR-2","0",1,-6.91970811584973e-05,-0.24910949217059,"timepoint"
"12","ACR-2","1076",1,0.000124932187660738,0.449755875578655,"timepoint"
"13","ACR-2","156",1,-7.48092869230005e-05,-0.269313432922802,"timepoint"
"14","ACR-2","175",1,-4.63673217234575e-05,-0.166922358204447,"timepoint"
"15","ACR-2","19",1,-0.000137028786913399,-0.493303632888235,"timepoint"
"16","ACR-2","287",1,-1.39428132424385e-05,-0.0501941276727788,"timepoint"
"17","ACR-2","500",1,5.56839139134909e-05,0.200462090088567,"timepoint"
"18","ACR-2","73",1,-0.000110584576396736,-0.39810447502825,"timepoint"
"19","ACR-2","772",1,9.06191476952954e-05,0.326228931703063,"timepoint"
"20","ACR-2","885",1,0.000108844008810578,0.391838431718079,"timepoint"
"21","ACR-3","0",1,-0.000165025865731419,-0.594093116633107,"timepoint"
"22","ACR-3","1076",1,0.000113132624316052,0.407277447537785,"timepoint"
"23","ACR-3","156",1,-0.000125696374979469,-0.452506949926087,"timepoint"
"24","ACR-3","175",1,-9.62580642300621e-05,-0.346529031228224,"timepoint"
"25","ACR-3","19",1,-0.000191657690075674,-0.689967684272425,"timepoint"
"26","ACR-3","287",1,-5.95332987464234e-05,-0.214319875487124,"timepoint"
"27","ACR-3","500",1,1.66804530288763e-05,0.0600496309039546,"timepoint"
"28","ACR-3","73",1,-0.000165720719426991,-0.596594589937167,"timepoint"
"29","ACR-3","772",1,6.61625599311659e-05,0.238185215752197,"timepoint"
"30","ACR-3","885",1,8.75694161945687e-05,0.315249898300447,"timepoint"
"31","ACR-4","0",1,-0.000175055464695334,-0.630199672903202,"timepoint"
"32","ACR-4","1076",1,0.000162013497126052,0.583248589653786,"timepoint"
"33","ACR-4","156",1,-8.25314418852295e-05,-0.297113190786826,"timepoint"
"34","ACR-4","175",1,-3.79374935228012e-05,-0.136574976682084,"timepoint"
"35","ACR-4","19",1,-0.000182637836628233,-0.657496211861638,"timepoint"
"36","ACR-4","287",1,6.90687631832865e-06,0.0248647547459831,"timepoint"
"37","ACR-4","500",1,9.73982434774198e-05,0.350633676518711,"timepoint"
"38","ACR-4","73",1,-0.000141557316372543,-0.509606338941156,"timepoint"
"39","ACR-4","772",1,0.000135979551516929,0.489526385460945,"timepoint"
"40","ACR-4","885",1,0.000150596923657288,0.542148925166235,"timepoint"
"41","ACR-5","0",1,-0.000279285626229925,-1.00542825442773,"timepoint"
"42","ACR-5","1076",1,8.92340864672337e-05,0.321242711282041,"timepoint"
"43","ACR-5","156",1,-0.000137471501608957,-0.494897405792245,"timepoint"
"44","ACR-5","175",1,-0.00012537324488916,-0.451343681600974,"timepoint"
"45","ACR-5","19",1,-0.000199483265966231,-0.718139757478432,"timepoint"
"46","ACR-5","287",1,-8.41945949955844e-05,-0.303100541984104,"timepoint"
"47","ACR-5","500",1,-4.67089807922163e-06,-0.0168152330851979,"timepoint"
"48","ACR-5","73",1,-9.10350062299856e-05,-0.327726022427948,"timepoint"
"49","ACR-5","772",1,5.64986990094044e-05,0.203395316433856,"timepoint"
"50","ACR-5","885",1,7.99474827723448e-05,0.287810937980441,"timepoint"
