Date.Time,temp
4/9/22 12:25,22.913
4/9/22 12:26,22.933
4/9/22 12:27,22.998
4/9/22 12:28,23.077
4/9/22 12:29,23.168
4/9/22 12:30,23.278
4/9/22 12:31,23.374
4/9/22 12:32,23.501
4/9/22 12:33,23.583
4/9/22 12:34,23.681
4/9/22 12:35,23.791
4/9/22 12:36,23.89
4/9/22 12:37,24.005
4/9/22 12:38,24.04
4/9/22 12:39,24.182
4/9/22 12:40,24.272
4/9/22 12:41,24.374
4/9/22 12:42,24.486
4/9/22 12:43,24.584
4/9/22 12:44,24.703
4/9/22 12:45,24.778
4/9/22 12:46,24.886
4/9/22 12:47,24.483
4/9/22 12:48,25.074
4/9/22 12:49,25.166
4/9/22 12:50,25.261
4/9/22 12:51,25.347
4/9/22 12:52,25.446
4/9/22 12:53,25.531
4/9/22 12:54,25.612
4/9/22 12:55,25.694
4/9/22 12:56,25.771
