#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 15:00:00,29.64,10859.52,,,,
2,04/22/2022 15:01:00,29.64,10572.80,,,,
3,04/22/2022 15:02:00,29.64,9868.80,,,,
4,04/22/2022 15:03:00,29.64,9676.80,,,,
5,04/22/2022 15:04:00,29.64,5557.76,,,,
6,04/22/2022 15:05:00,29.56,6420.48,,,,
7,04/22/2022 15:06:00,29.56,8110.08,,,,
8,04/22/2022 15:07:00,29.60,10664.96,,,,
9,04/22/2022 15:08:00,29.60,9612.80,,,,
10,04/22/2022 15:09:00,29.56,8012.80,,,,
11,04/22/2022 15:10:00,29.47,5276.16,,,,
12,04/22/2022 15:11:00,29.51,8506.88,,,,
13,04/22/2022 15:12:00,29.56,5204.48,,,,
14,04/22/2022 15:13:00,29.51,6684.16,,,,
15,04/22/2022 15:14:00,29.56,8878.08,,,,
16,04/22/2022 15:15:00,29.56,8596.48,,,,
17,04/22/2022 15:16:00,29.60,9331.20,,,,
18,04/22/2022 15:17:00,29.60,9344.00,,,,
19,04/22/2022 15:18:00,29.64,9113.60,,,,
20,04/22/2022 15:19:00,29.60,8903.68,,,,
21,04/22/2022 15:20:00,29.60,8135.68,,,,
22,04/22/2022 15:21:00,29.60,8839.68,,,,
23,04/22/2022 15:22:00,29.60,8430.08,,,,
24,04/22/2022 15:23:00,29.60,7616.00,,,,
25,04/22/2022 15:24:00,29.51,7162.88,,,,
26,04/22/2022 15:25:00,29.56,6543.36,,,,
27,04/22/2022 15:26:00,29.51,6842.88,,,,
28,04/22/2022 15:27:00,29.51,6950.40,,,,
29,04/22/2022 15:28:00,29.56,6919.68,,,,
30,04/22/2022 15:29:00,29.56,7859.20,,,,
31,04/22/2022 15:30:00,29.56,8153.60,,,,
32,04/22/2022 15:31:00,29.51,7252.48,,,,
33,04/22/2022 15:32:00,29.56,6714.88,,,,
34,04/22/2022 15:33:00,29.56,6848.00,,,,
35,04/22/2022 15:34:00,29.56,7257.60,,,,
36,04/22/2022 15:35:00,29.51,6835.20,,,,
37,04/22/2022 15:36:00,29.51,5429.76,,,,
38,04/22/2022 15:37:00,29.47,3297.28,,,,
39,04/22/2022 15:38:00,29.38,4099.84,,,,
40,04/22/2022 15:39:00,29.47,3731.20,,,,
41,04/22/2022 15:40:00,29.38,3310.08,,,,
42,04/22/2022 15:41:00,29.38,3731.20,,,,
43,04/22/2022 15:42:00,29.34,3603.20,,,,
44,04/22/2022 15:43:00,29.34,3141.12,,,,
45,04/22/2022 15:44:00,29.34,3168.00,,,,
46,04/22/2022 15:45:00,29.38,3082.24,,,,
47,04/22/2022 15:46:00,29.38,3249.92,,,,
48,04/22/2022 15:47:00,29.34,3248.64,,,,
49,04/22/2022 15:48:00,29.38,2900.48,,,,
50,04/22/2022 15:49:00,29.30,3347.20,,,,
51,04/22/2022 15:50:00,29.34,4243.20,,,,
52,04/22/2022 15:51:00,29.38,4304.64,,,,
53,04/22/2022 15:52:00,29.30,3779.84,,,,
54,04/22/2022 15:53:00,29.34,3692.80,,,,
55,04/22/2022 15:54:00,29.38,4198.40,,,,
56,04/22/2022 15:55:00,29.38,3737.60,,,,
57,04/22/2022 15:56:00,29.34,3312.64,,,,
58,04/22/2022 15:57:00,29.34,3255.04,,,,
