#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
1,04/22/2022 14:20:11,,,Logged,,,
2,04/22/2022 14:20:23,,,,Logged,Logged,
3,04/22/2022 15:00:00,29.64,9953.28,,,,
4,04/22/2022 15:01:00,29.68,9766.40,,,,
5,04/22/2022 15:02:00,29.64,8837.12,,,,
6,04/22/2022 15:03:00,29.60,8788.48,,,,
7,04/22/2022 15:04:00,29.60,4983.04,,,,
8,04/22/2022 15:05:00,29.51,5870.08,,,,
9,04/22/2022 15:06:00,29.56,7424.00,,,,
10,04/22/2022 15:07:00,29.60,9620.48,,,,
11,04/22/2022 15:08:00,29.60,8727.04,,,,
12,04/22/2022 15:09:00,29.60,7362.56,,,,
13,04/22/2022 15:10:00,29.56,4879.36,,,,
14,04/22/2022 15:11:00,29.51,7720.96,,,,
15,04/22/2022 15:12:00,29.51,4684.80,,,,
16,04/22/2022 15:13:00,29.51,6100.48,,,,
17,04/22/2022 15:14:00,29.56,7992.32,,,,
18,04/22/2022 15:15:00,29.56,7639.04,,,,
19,04/22/2022 15:16:00,29.56,8442.88,,,,
20,04/22/2022 15:17:00,29.60,8414.72,,,,
21,04/22/2022 15:18:00,29.60,8386.56,,,,
22,04/22/2022 15:19:00,29.64,8207.36,,,,
23,04/22/2022 15:20:00,29.60,7293.44,,,,
24,04/22/2022 15:21:00,29.60,7943.68,,,,
25,04/22/2022 15:22:00,29.64,7590.40,,,,
26,04/22/2022 15:23:00,29.60,6883.84,,,,
27,04/22/2022 15:24:00,29.60,6371.84,,,,
28,04/22/2022 15:25:00,29.56,6051.84,,,,
29,04/22/2022 15:26:00,29.56,6223.36,,,,
30,04/22/2022 15:27:00,29.56,6266.88,,,,
31,04/22/2022 15:28:00,29.56,6312.96,,,,
32,04/22/2022 15:29:00,29.51,7063.04,,,,
33,04/22/2022 15:30:00,29.56,7480.32,,,,
34,04/22/2022 15:31:00,29.56,6607.36,,,,
35,04/22/2022 15:32:00,29.56,6031.36,,,,
36,04/22/2022 15:33:00,29.51,6120.96,,,,
37,04/22/2022 15:34:00,29.51,6394.88,,,,
38,04/22/2022 15:35:00,29.51,6164.48,,,,
39,04/22/2022 15:36:00,29.56,4944.64,,,,
40,04/22/2022 15:37:00,29.51,3052.80,,,,
41,04/22/2022 15:38:00,29.47,3729.92,,,,
