#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 14:15:56,,,Logged,,,
2,04/22/2022 14:15:57,,,,Logged,,
3,04/22/2022 15:00:00,29.73,10572.80,,,,
4,04/22/2022 15:01:00,29.77,10526.72,,,,
5,04/22/2022 15:02:00,29.77,9694.72,,,,
6,04/22/2022 15:03:00,29.77,9594.88,,,,
7,04/22/2022 15:04:00,29.73,5442.56,,,,
8,04/22/2022 15:05:00,29.64,6371.84,,,,
9,04/22/2022 15:06:00,29.68,8023.04,,,,
10,04/22/2022 15:07:00,29.73,10467.84,,,,
11,04/22/2022 15:08:00,29.73,9310.72,,,,
12,04/22/2022 15:09:00,29.68,7741.44,,,,
13,04/22/2022 15:10:00,29.60,5301.76,,,,
14,04/22/2022 15:11:00,29.64,8312.32,,,,
15,04/22/2022 15:12:00,29.64,5164.80,,,,
16,04/22/2022 15:13:00,29.64,6456.32,,,,
17,04/22/2022 15:14:00,29.68,8627.20,,,,
18,04/22/2022 15:15:00,29.68,8394.24,,,,
19,04/22/2022 15:16:00,29.73,8947.20,,,,
20,04/22/2022 15:17:00,29.73,8998.40,,,,
21,04/22/2022 15:18:00,29.73,8890.88,,,,
22,04/22/2022 15:19:00,29.73,8778.24,,,,
23,04/22/2022 15:20:00,29.68,7841.28,,,,
24,04/22/2022 15:21:00,29.77,8550.40,,,,
25,04/22/2022 15:22:00,29.73,8117.76,,,,
26,04/22/2022 15:23:00,29.68,7447.04,,,,
27,04/22/2022 15:24:00,29.64,6824.96,,,,
28,04/22/2022 15:25:00,29.64,6525.44,,,,
29,04/22/2022 15:26:00,29.68,6561.28,,,,
30,04/22/2022 15:27:00,29.64,6609.92,,,,
31,04/22/2022 15:28:00,29.64,6691.84,,,,
32,04/22/2022 15:29:00,29.68,7447.04,,,,
33,04/22/2022 15:30:00,29.64,7784.96,,,,
34,04/22/2022 15:31:00,29.68,7057.92,,,,
35,04/22/2022 15:32:00,29.64,6530.56,,,,
