#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 15:00:00,29.73,10598.40,,,,
2,04/22/2022 15:01:00,29.68,10608.64,,,,
3,04/22/2022 15:02:00,29.73,9697.28,,,,
4,04/22/2022 15:03:00,29.73,9612.80,,,,
5,04/22/2022 15:04:00,29.68,5573.12,,,,
6,04/22/2022 15:05:00,29.60,6428.16,,,,
7,04/22/2022 15:06:00,29.64,7889.92,,,,
8,04/22/2022 15:07:00,29.68,10273.28,,,,
9,04/22/2022 15:08:00,29.64,9400.32,,,,
10,04/22/2022 15:09:00,29.64,7928.32,,,,
11,04/22/2022 15:10:00,29.60,5281.28,,,,
12,04/22/2022 15:11:00,29.60,8245.76,,,,
13,04/22/2022 15:12:00,29.60,5198.08,,,,
14,04/22/2022 15:13:00,29.60,6640.64,,,,
15,04/22/2022 15:14:00,29.64,8686.08,,,,
16,04/22/2022 15:15:00,29.64,8317.44,,,,
17,04/22/2022 15:16:00,29.68,9036.80,,,,
18,04/22/2022 15:17:00,29.64,9095.68,,,,
19,04/22/2022 15:18:00,29.68,8875.52,,,,
20,04/22/2022 15:19:00,29.73,8673.28,,,,
21,04/22/2022 15:20:00,29.68,7825.92,,,,
22,04/22/2022 15:21:00,29.64,8448.00,,,,
23,04/22/2022 15:22:00,29.68,8156.16,,,,
24,04/22/2022 15:23:00,29.64,7377.92,,,,
25,04/22/2022 15:24:00,29.60,6996.48,,,,
26,04/22/2022 15:25:00,29.64,6338.56,,,,
27,04/22/2022 15:26:00,29.64,6696.96,,,,
28,04/22/2022 15:27:00,29.60,6696.96,,,,
29,04/22/2022 15:28:00,29.60,6597.12,,,,
30,04/22/2022 15:29:00,29.60,7631.36,,,,
31,04/22/2022 15:30:00,29.64,7851.52,,,,
32,04/22/2022 15:31:00,29.64,7034.88,,,,
33,04/22/2022 15:32:00,29.60,6558.72,,,,
34,04/22/2022 15:33:00,29.60,6612.48,,,,
35,04/22/2022 15:34:00,29.60,7106.56,,,,
36,04/22/2022 15:35:00,29.60,6625.28,,,,
37,04/22/2022 15:36:00,29.56,5278.72,,,,
38,04/22/2022 15:37:00,29.51,3275.52,,,,
39,04/22/2022 15:38:00,29.47,4023.04,,,,
40,04/22/2022 15:39:00,29.47,3750.40,,,,
41,04/22/2022 15:40:00,29.43,3298.56,,,,
42,04/22/2022 15:41:00,29.43,3714.56,,,,
43,04/22/2022 15:42:00,29.38,3614.72,,,,
44,04/22/2022 15:43:00,29.47,3106.56,,,,
45,04/22/2022 15:44:00,29.43,3165.44,,,,
46,04/22/2022 15:45:00,29.43,3074.56,,,,
47,04/22/2022 15:46:00,29.38,3219.20,,,,
48,04/22/2022 15:47:00,29.38,3243.52,,,,
49,04/22/2022 15:48:00,29.38,2919.68,,,,
50,04/22/2022 15:49:00,29.38,3333.12,,,,
51,04/22/2022 15:50:00,29.38,4135.68,,,,
52,04/22/2022 15:51:00,29.43,4226.56,,,,
53,04/22/2022 15:52:00,29.38,3779.84,,,,
54,04/22/2022 15:53:00,29.38,3637.76,,,,
55,04/22/2022 15:54:00,29.38,4139.52,,,,
56,04/22/2022 15:55:00,29.38,3705.60,,,,
57,04/22/2022 15:56:00,29.38,3272.96,,,,
58,04/22/2022 15:57:00,29.38,3257.60,,,,
59,04/22/2022 15:58:00,29.34,3066.88,,,,
60,04/22/2022 15:59:00,29.34,2913.28,,,,
61,04/22/2022 16:00:00,29.34,2923.52,,,,
62,04/22/2022 16:01:00,29.30,2924.80,,,,
63,04/22/2022 16:02:00,29.30,2830.08,,,,
64,04/22/2022 16:03:00,29.34,2726.40,,,,
65,04/22/2022 16:04:00,29.30,3375.36,,,,
66,04/22/2022 16:05:00,29.34,5030.40,,,,
67,04/22/2022 16:06:00,29.43,5847.04,,,,
68,04/22/2022 16:07:00,29.47,5969.92,,,,
69,04/22/2022 16:08:00,29.43,6100.48,,,,
70,04/22/2022 16:09:00,29.43,6033.92,,,,
71,04/22/2022 16:10:00,29.43,5100.80,,,,
72,04/22/2022 16:11:00,29.43,4010.24,,,,
73,04/22/2022 16:12:00,29.43,3201.28,,,,
74,04/22/2022 16:13:00,29.43,4258.56,,,,
75,04/22/2022 16:14:00,29.38,4528.64,,,,
76,04/22/2022 16:15:00,29.43,5734.40,,,,
77,04/22/2022 16:16:00,29.47,5509.12,,,,
78,04/22/2022 16:17:00,29.47,5521.92,,,,
79,04/22/2022 16:18:00,29.43,5409.28,,,,
80,04/22/2022 16:19:00,29.47,5693.44,,,,
81,04/22/2022 16:20:00,29.47,5688.32,,,,
82,04/22/2022 16:21:00,29.47,5486.08,,,,
83,04/22/2022 16:22:00,29.43,5547.52,,,,
84,04/22/2022 16:23:00,29.47,5376.00,,,,
85,04/22/2022 16:24:00,29.47,5273.60,,,,
86,04/22/2022 16:25:00,29.43,4865.28,,,,
87,04/22/2022 16:26:00,29.38,4569.60,,,,
88,04/22/2022 16:27:00,29.43,5195.52,,,,
89,04/22/2022 16:28:00,29.43,5052.16,,,,
90,04/22/2022 16:29:00,29.43,4874.24,,,,
91,04/22/2022 16:30:00,29.38,4142.08,,,,
92,04/22/2022 16:31:00,29.43,4660.48,,,,
93,04/22/2022 16:32:00,29.43,4770.56,,,,
94,04/22/2022 16:33:00,29.43,4395.52,,,,
95,04/22/2022 16:34:00,29.43,3206.40,,,,
96,04/22/2022 16:35:00,29.38,3656.96,,,,
97,04/22/2022 16:36:00,29.38,3095.04,,,,
98,04/22/2022 16:37:00,29.34,3207.68,,,,
99,04/22/2022 16:38:00,29.34,3400.96,,,,
100,04/22/2022 16:39:00,29.34,3964.16,,,,
101,04/22/2022 16:40:00,29.38,4188.16,,,,
102,04/22/2022 16:41:00,29.38,4067.84,,,,
103,04/22/2022 16:42:00,29.38,3968.00,,,,
104,04/22/2022 16:43:00,29.38,3845.12,,,,
105,04/22/2022 16:44:00,29.34,3744.00,,,,
106,04/22/2022 16:45:00,29.38,3630.08,,,,
107,04/22/2022 16:46:00,29.34,3464.96,,,,
108,04/22/2022 16:47:00,29.34,3219.20,,,,
109,04/22/2022 16:48:00,29.34,2748.16,,,,
110,04/22/2022 16:49:00,29.30,1950.08,,,,
111,04/22/2022 16:50:00,29.30,1502.08,,,,
112,04/22/2022 16:51:00,29.30,1444.48,,,,
113,04/22/2022 16:52:00,29.26,1548.80,,,,
114,04/22/2022 16:53:00,29.26,2081.28,,,,
115,04/22/2022 16:54:00,29.26,1658.24,,,,
116,04/22/2022 16:55:00,29.21,1721.60,,,,
117,04/22/2022 16:56:00,29.21,1826.56,,,,
118,04/22/2022 16:57:00,29.26,1514.24,,,,
119,04/22/2022 16:58:00,29.21,1221.76,,,,
120,04/22/2022 16:59:00,29.26,1271.36,,,,
121,04/22/2022 17:00:00,29.21,1313.92,,,,
122,04/22/2022 17:01:00,29.21,1072.00,,,,
123,04/22/2022 17:02:00,29.21,979.84,,,,
124,04/22/2022 17:03:00,29.17,905.28,,,,
125,04/22/2022 17:04:00,29.17,860.80,,,,
126,04/22/2022 17:05:00,29.17,837.76,,,,
127,04/22/2022 17:06:00,29.17,800.64,,,,
128,04/22/2022 17:07:00,29.17,803.20,,,,
129,04/22/2022 17:08:00,29.17,800.00,,,,
130,04/22/2022 17:09:00,29.13,810.56,,,,
131,04/22/2022 17:10:00,29.17,782.08,,,,
132,04/22/2022 17:11:00,29.17,755.52,,,,
133,04/22/2022 17:12:00,29.13,752.96,,,,
134,04/22/2022 17:13:00,29.17,752.32,,,,
135,04/22/2022 17:14:00,29.17,736.00,,,,
136,04/22/2022 17:15:00,29.13,719.36,,,,
137,04/22/2022 17:16:00,29.17,702.40,,,,
138,04/22/2022 17:17:00,29.13,691.84,,,,
139,04/22/2022 17:18:00,29.13,674.88,,,,
140,04/22/2022 17:19:00,29.17,647.84,,,,
141,04/22/2022 17:20:00,29.13,617.76,,,,
142,04/22/2022 17:21:00,29.13,591.04,,,,
143,04/22/2022 17:22:00,29.13,584.64,,,,
144,04/22/2022 17:23:00,29.13,560.80,,,,
145,04/22/2022 17:24:00,29.13,547.84,,,,
146,04/22/2022 17:25:00,29.13,519.36,,,,
147,04/22/2022 17:26:00,29.13,495.20,,,,
148,04/22/2022 17:27:00,29.08,474.56,,,,
149,04/22/2022 17:28:00,29.08,447.84,,,,
150,04/22/2022 17:29:00,29.13,420.96,,,,
151,04/22/2022 17:30:00,29.08,397.92,,,,
152,04/22/2022 17:31:00,29.08,377.76,,,,
153,04/22/2022 17:32:00,29.08,355.84,,,,
154,04/22/2022 17:33:00,29.13,332.16,,,,
155,04/22/2022 17:34:00,29.08,308.48,,,,
156,04/22/2022 17:35:00,29.08,289.04,,,,
157,04/22/2022 17:36:00,29.08,265.36,,,,
158,04/22/2022 17:37:00,29.13,243.52,,,,
159,04/22/2022 17:38:00,29.08,226.32,,,,
160,04/22/2022 17:39:00,29.08,204.48,,,,
161,04/22/2022 17:40:00,29.08,185.60,,,,
162,04/22/2022 17:41:00,29.08,166.08,,,,
163,04/22/2022 17:42:00,29.04,145.76,,,,
164,04/22/2022 17:43:00,29.13,126.20,,,,
165,04/22/2022 17:44:00,29.04,109.12,,,,
166,04/22/2022 17:45:00,29.08,94.44,,,,
167,04/22/2022 17:46:00,29.04,80.56,,,,
168,04/22/2022 17:47:00,29.08,67.62,,,,
169,04/22/2022 17:48:00,29.04,56.98,,,,
170,04/22/2022 17:49:00,29.08,46.00,,,,
171,04/22/2022 17:50:00,29.04,38.26,,,,
172,04/22/2022 17:51:00,29.04,31.73,,,,
173,04/22/2022 17:52:00,29.04,26.06,,,,
174,04/22/2022 17:53:00,29.04,21.96,,,,
175,04/22/2022 17:54:00,29.08,18.32,,,,
176,04/22/2022 17:55:00,29.04,14.67,,,,
177,04/22/2022 17:56:00,29.04,11.99,,,,
178,04/22/2022 17:57:00,29.04,9.13,,,,
179,04/22/2022 17:58:00,29.08,6.68,,,,
