#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 15:00:00,29.60,10977.28,,,,
2,04/22/2022 15:01:00,29.60,10941.44,,,,
3,04/22/2022 15:02:00,29.60,9978.88,,,,
4,04/22/2022 15:03:00,29.60,9820.16,,,,
5,04/22/2022 15:04:00,29.56,5519.36,,,,
6,04/22/2022 15:05:00,29.43,6545.92,,,,
7,04/22/2022 15:06:00,29.47,8312.32,,,,
8,04/22/2022 15:07:00,29.56,10787.84,,,,
9,04/22/2022 15:08:00,29.56,9674.24,,,,
10,04/22/2022 15:09:00,29.51,8184.32,,,,
11,04/22/2022 15:10:00,29.47,5391.36,,,,
12,04/22/2022 15:11:00,29.51,8522.24,,,,
13,04/22/2022 15:12:00,29.47,5223.68,,,,
14,04/22/2022 15:13:00,29.43,6763.52,,,,
15,04/22/2022 15:14:00,29.47,8965.12,,,,
16,04/22/2022 15:15:00,29.56,8660.48,,,,
17,04/22/2022 15:16:00,29.51,9423.36,,,,
18,04/22/2022 15:17:00,29.56,9436.16,,,,
19,04/22/2022 15:18:00,29.56,9295.36,,,,
20,04/22/2022 15:19:00,29.60,9018.88,,,,
21,04/22/2022 15:20:00,29.56,8138.24,,,,
22,04/22/2022 15:21:00,29.56,8939.52,,,,
23,04/22/2022 15:22:00,29.56,8488.96,,,,
24,04/22/2022 15:23:00,29.56,7682.56,,,,
25,04/22/2022 15:24:00,29.56,7201.28,,,,
26,04/22/2022 15:25:00,29.51,6533.12,,,,
27,04/22/2022 15:26:00,29.51,6901.76,,,,
28,04/22/2022 15:27:00,29.51,6942.72,,,,
29,04/22/2022 15:28:00,29.47,6981.12,,,,
30,04/22/2022 15:29:00,29.51,7874.56,,,,
31,04/22/2022 15:30:00,29.47,8279.04,,,,
32,04/22/2022 15:31:00,29.47,7247.36,,,,
33,04/22/2022 15:32:00,29.51,6737.92,,,,
34,04/22/2022 15:33:00,29.47,6850.56,,,,
35,04/22/2022 15:34:00,29.51,7285.76,,,,
36,04/22/2022 15:35:00,29.47,6830.08,,,,
