#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 15:00:00,29.68,10531.84,,,,
2,04/22/2022 15:01:00,29.68,10396.16,,,,
3,04/22/2022 15:02:00,29.73,9510.40,,,,
4,04/22/2022 15:03:00,29.68,9469.44,,,,
5,04/22/2022 15:04:00,29.68,5611.52,,,,
6,04/22/2022 15:05:00,29.64,6256.64,,,,
7,04/22/2022 15:06:00,29.60,7685.12,,,,
8,04/22/2022 15:07:00,29.68,10032.64,,,,
9,04/22/2022 15:08:00,29.68,9210.88,,,,
10,04/22/2022 15:09:00,29.68,7741.44,,,,
11,04/22/2022 15:10:00,29.56,5187.84,,,,
12,04/22/2022 15:11:00,29.60,8179.20,,,,
13,04/22/2022 15:12:00,29.60,5176.32,,,,
14,04/22/2022 15:13:00,29.64,6497.28,,,,
15,04/22/2022 15:14:00,29.64,8499.20,,,,
16,04/22/2022 15:15:00,29.64,8199.68,,,,
17,04/22/2022 15:16:00,29.64,8890.88,,,,
18,04/22/2022 15:17:00,29.68,8875.52,,,,
19,04/22/2022 15:18:00,29.68,8640.00,,,,
20,04/22/2022 15:19:00,29.68,8514.56,,,,
21,04/22/2022 15:20:00,29.68,7705.60,,,,
22,04/22/2022 15:21:00,29.64,8235.52,,,,
23,04/22/2022 15:22:00,29.68,7907.84,,,,
24,04/22/2022 15:23:00,29.64,7272.96,,,,
25,04/22/2022 15:24:00,29.64,6883.84,,,,
26,04/22/2022 15:25:00,29.64,6225.92,,,,
27,04/22/2022 15:26:00,29.56,6497.28,,,,
28,04/22/2022 15:27:00,29.60,6597.12,,,,
29,04/22/2022 15:28:00,29.60,6558.72,,,,
30,04/22/2022 15:29:00,29.60,7511.04,,,,
31,04/22/2022 15:30:00,29.60,7608.32,,,,
32,04/22/2022 15:31:00,29.60,6855.68,,,,
33,04/22/2022 15:32:00,29.60,6371.84,,,,
34,04/22/2022 15:33:00,29.60,6499.84,,,,
35,04/22/2022 15:34:00,29.60,6952.96,,,,
36,04/22/2022 15:35:00,29.60,6525.44,,,,
37,04/22/2022 15:36:00,29.56,5184.00,,,,
