#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/22/2022 14:13:40,,,Logged,Logged,,
2,04/22/2022 14:14:39,,,Logged,,,
3,04/22/2022 14:14:40,,,Logged,Logged,,
4,04/22/2022 14:14:41,,,,Logged,,
5,04/22/2022 14:14:43,,,,,Logged,
6,04/22/2022 15:00:00,29.64,11330.56,,,,
7,04/22/2022 15:01:00,29.60,11294.72,,,,
8,04/22/2022 15:02:00,29.64,10368.00,,,,
9,04/22/2022 15:03:00,29.60,10347.52,,,,
10,04/22/2022 15:04:00,29.60,5921.28,,,,
11,04/22/2022 15:05:00,29.51,6791.68,,,,
12,04/22/2022 15:06:00,29.51,8568.32,,,,
13,04/22/2022 15:07:00,29.60,11171.84,,,,
14,04/22/2022 15:08:00,29.60,9904.64,,,,
15,04/22/2022 15:09:00,29.60,8256.00,,,,
16,04/22/2022 15:10:00,29.51,5713.92,,,,
17,04/22/2022 15:11:00,29.47,8893.44,,,,
18,04/22/2022 15:12:00,29.47,5534.72,,,,
19,04/22/2022 15:13:00,29.47,6906.88,,,,
20,04/22/2022 15:14:00,29.51,9144.32,,,,
21,04/22/2022 15:15:00,29.56,8944.64,,,,
22,04/22/2022 15:16:00,29.56,9515.52,,,,
23,04/22/2022 15:17:00,29.60,9600.00,,,,
24,04/22/2022 15:18:00,29.56,9395.20,,,,
25,04/22/2022 15:19:00,29.60,9336.32,,,,
26,04/22/2022 15:20:00,29.60,8368.64,,,,
27,04/22/2022 15:21:00,29.56,9085.44,,,,
28,04/22/2022 15:22:00,29.60,8614.40,,,,
29,04/22/2022 15:23:00,29.60,7920.64,,,,
30,04/22/2022 15:24:00,29.56,7270.40,,,,
31,04/22/2022 15:25:00,29.51,6894.08,,,,
32,04/22/2022 15:26:00,29.51,6965.76,,,,
33,04/22/2022 15:27:00,29.51,7073.28,,,,
34,04/22/2022 15:28:00,29.51,7178.24,,,,
35,04/22/2022 15:29:00,29.47,7984.64,,,,
36,04/22/2022 15:30:00,29.51,8335.36,,,,
37,04/22/2022 15:31:00,29.51,7449.60,,,,
38,04/22/2022 15:32:00,29.51,6927.36,,,,
39,04/22/2022 15:33:00,29.56,6947.84,,,,
40,04/22/2022 15:34:00,29.51,7462.40,,,,
41,04/22/2022 15:35:00,29.51,6932.48,,,,
42,04/22/2022 15:36:00,29.51,5552.64,,,,
43,04/22/2022 15:37:00,29.38,3453.44,,,,
44,04/22/2022 15:38:00,29.38,4317.44,,,,
45,04/22/2022 15:39:00,29.38,3887.36,,,,
46,04/22/2022 15:40:00,29.34,3480.32,,,,
47,04/22/2022 15:41:00,29.34,3929.60,,,,
48,04/22/2022 15:42:00,29.34,3797.76,,,,
49,04/22/2022 15:43:00,29.34,3275.52,,,,
50,04/22/2022 15:44:00,29.30,3362.56,,,,
51,04/22/2022 15:45:00,29.30,3276.80,,,,
52,04/22/2022 15:46:00,29.30,3386.88,,,,
53,04/22/2022 15:47:00,29.30,3400.96,,,,
54,04/22/2022 15:48:00,29.30,3024.64,,,,
55,04/22/2022 15:49:00,29.26,3486.72,,,,
56,04/22/2022 15:50:00,29.30,4330.24,,,,
57,04/22/2022 15:51:00,29.30,4459.52,,,,
58,04/22/2022 15:52:00,29.34,3906.56,,,,
59,04/22/2022 15:53:00,29.30,3860.48,,,,
60,04/22/2022 15:54:00,29.30,4422.40,,,,
