Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,643,20220326,9:38:00,9:58:00
1,0,0,20220326,10:00:00,10:20:00
2,1,651,20220326,11:06:00,11:24:00
2,0,0,20220326,11:30:00,11:50:00
3,1,649,20220326,12:33:00,12:53:00
3,0,0,20220326,12:55:00,13:15:00
