#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
1,10/12/2022 20:30:00,25.01,0.00
2,10/12/2022 20:40:00,26.81,0.00
3,10/12/2022 20:50:00,26.85,0.00
4,10/12/2022 21:00:00,26.85,0.00
5,10/12/2022 21:10:00,26.85,0.00
6,10/12/2022 21:20:00,26.85,0.00
7,10/12/2022 21:30:00,26.85,0.00
8,10/12/2022 21:40:00,26.85,0.00
9,10/12/2022 21:50:00,26.90,0.00
10,10/12/2022 22:00:00,26.85,0.00
11,10/12/2022 22:10:00,26.81,0.00
12,10/12/2022 22:20:00,26.68,0.00
13,10/12/2022 22:30:00,26.64,0.00
14,10/12/2022 22:40:00,26.60,0.00
15,10/12/2022 22:50:00,26.60,0.00
16,10/12/2022 23:00:00,26.51,0.00
17,10/12/2022 23:10:00,26.47,0.00
18,10/12/2022 23:20:00,26.38,0.00
19,10/12/2022 23:30:00,26.30,0.00
20,10/12/2022 23:40:00,26.30,0.19
21,10/12/2022 23:50:00,26.25,0.00
22,10/13/2022 00:00:00,26.12,0.00
23,10/13/2022 00:10:00,26.12,0.00
24,10/13/2022 00:20:00,26.04,0.00
25,10/13/2022 00:30:00,25.99,0.00
26,10/13/2022 00:40:00,25.95,0.00
27,10/13/2022 00:50:00,25.87,0.00
28,10/13/2022 01:00:00,25.78,0.00
29,10/13/2022 01:10:00,25.74,0.00
30,10/13/2022 01:20:00,25.74,0.00
31,10/13/2022 01:30:00,25.69,0.00
32,10/13/2022 01:40:00,25.61,0.00
33,10/13/2022 01:50:00,25.57,0.00
34,10/13/2022 02:00:00,25.52,0.00
35,10/13/2022 02:10:00,25.48,0.00
36,10/13/2022 02:20:00,25.48,0.00
37,10/13/2022 02:30:00,25.31,0.00
38,10/13/2022 02:40:00,25.31,0.00
39,10/13/2022 02:50:00,25.27,0.00
40,10/13/2022 03:00:00,25.22,0.00
41,10/13/2022 03:10:00,25.22,0.00
42,10/13/2022 03:20:00,25.18,0.00
43,10/13/2022 03:30:00,25.14,0.00
44,10/13/2022 03:40:00,25.09,0.00
45,10/13/2022 03:50:00,25.05,0.00
46,10/13/2022 04:00:00,25.05,0.00
47,10/13/2022 04:10:00,24.97,0.00
48,10/13/2022 04:20:00,24.92,0.00
49,10/13/2022 04:30:00,24.88,0.00
50,10/13/2022 04:40:00,24.84,0.00
51,10/13/2022 04:50:00,24.84,0.00
52,10/13/2022 05:00:00,24.79,0.00
53,10/13/2022 05:10:00,24.75,0.19
54,10/13/2022 05:20:00,24.71,5.73
55,10/13/2022 05:30:00,24.66,40.49
56,10/13/2022 05:40:00,24.66,140.68
57,10/13/2022 05:50:00,24.62,236.08
58,10/13/2022 06:00:00,24.66,339.20
59,10/13/2022 06:10:00,24.66,443.52
60,10/13/2022 06:20:00,24.58,537.76
