#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
118,10/13/2022 15:40:00,27.63,1585.28
119,10/13/2022 15:50:00,27.58,1463.68
120,10/13/2022 16:00:00,27.63,1516.16
121,10/13/2022 16:10:00,27.67,1829.76
122,10/13/2022 16:20:00,27.67,1511.04
123,10/13/2022 16:30:00,27.63,960.00
124,10/13/2022 16:40:00,27.58,887.36
125,10/13/2022 16:50:00,27.58,711.36
126,10/13/2022 17:00:00,27.50,704.00
127,10/13/2022 17:10:00,27.50,571.04
128,10/13/2022 17:20:00,27.45,417.76
129,10/13/2022 17:30:00,27.37,293.60
130,10/13/2022 17:40:00,27.41,166.24
131,10/13/2022 17:50:00,27.32,88.76
132,10/13/2022 18:00:00,27.32,30.40
133,10/13/2022 18:10:00,27.24,4.66
134,10/13/2022 18:20:00,27.24,0.00
135,10/13/2022 18:30:00,27.20,0.00
136,10/13/2022 18:40:00,27.15,0.00
137,10/13/2022 18:50:00,27.15,0.00
138,10/13/2022 19:00:00,27.11,0.00
139,10/13/2022 19:10:00,27.07,0.00
140,10/13/2022 19:20:00,26.98,0.00
141,10/13/2022 19:30:00,26.94,0.00
142,10/13/2022 19:40:00,26.68,0.00
143,10/13/2022 19:50:00,26.55,0.00
144,10/13/2022 20:00:00,26.51,0.00
145,10/13/2022 20:10:00,26.51,0.00
146,10/13/2022 20:20:00,26.60,0.00
147,10/13/2022 20:30:00,26.64,0.00
148,10/13/2022 20:40:00,26.72,0.00
149,10/13/2022 20:50:00,26.77,0.00
150,10/13/2022 21:00:00,26.77,0.00
151,10/13/2022 21:10:00,26.81,0.00
152,10/13/2022 21:20:00,26.85,0.00
153,10/13/2022 21:30:00,26.81,0.00
154,10/13/2022 21:40:00,26.77,0.00
155,10/13/2022 21:50:00,26.72,0.00
156,10/13/2022 22:00:00,26.64,0.00
157,10/13/2022 22:10:00,26.60,0.00
158,10/13/2022 22:20:00,26.55,0.00
159,10/13/2022 22:30:00,26.51,0.00
160,10/13/2022 22:40:00,26.51,0.00
161,10/13/2022 22:50:00,26.42,0.00
162,10/13/2022 23:00:00,26.38,0.00
163,10/13/2022 23:10:00,26.34,0.00
164,10/13/2022 23:20:00,26.30,0.00
165,10/13/2022 23:30:00,26.25,0.00
166,10/13/2022 23:40:00,26.21,0.00
167,10/13/2022 23:50:00,26.12,0.00
168,10/14/2022 00:00:00,26.04,0.00
169,10/14/2022 00:10:00,26.04,0.00
170,10/14/2022 00:20:00,25.99,0.00
171,10/14/2022 00:30:00,25.99,0.00
172,10/14/2022 00:40:00,25.87,0.00
173,10/14/2022 00:50:00,25.87,0.00
174,10/14/2022 01:00:00,25.78,0.00
175,10/14/2022 01:10:00,25.78,0.00
176,10/14/2022 01:20:00,25.78,0.00
177,10/14/2022 01:30:00,25.69,0.00
178,10/14/2022 01:40:00,25.65,0.00
179,10/14/2022 01:50:00,25.65,0.00
180,10/14/2022 02:00:00,25.57,0.00
181,10/14/2022 02:10:00,25.52,0.00
182,10/14/2022 02:20:00,25.48,0.00
183,10/14/2022 02:30:00,25.48,0.00
184,10/14/2022 02:40:00,25.44,0.00
185,10/14/2022 02:50:00,25.35,0.00
186,10/14/2022 03:00:00,25.35,0.00
187,10/14/2022 03:10:00,25.27,0.00
188,10/14/2022 03:20:00,25.27,0.00
189,10/14/2022 03:30:00,25.22,0.00
190,10/14/2022 03:40:00,25.22,0.00
191,10/14/2022 03:50:00,25.14,0.00
192,10/14/2022 04:00:00,25.05,0.00
193,10/14/2022 04:10:00,25.05,0.00
194,10/14/2022 04:20:00,25.05,0.00
195,10/14/2022 04:30:00,25.01,0.00
196,10/14/2022 04:40:00,24.97,0.00
197,10/14/2022 04:50:00,24.92,0.00
198,10/14/2022 05:00:00,24.92,0.00
199,10/14/2022 05:10:00,24.84,0.00
200,10/14/2022 05:20:00,24.88,4.66
201,10/14/2022 05:30:00,24.84,29.19
202,10/14/2022 05:40:00,24.79,93.28
203,10/14/2022 05:50:00,24.79,174.40
204,10/14/2022 06:00:00,24.75,252.08
205,10/14/2022 06:10:00,24.75,314.64
206,10/14/2022 06:20:00,24.75,368.80
207,10/14/2022 06:30:00,24.71,1172.16
208,10/14/2022 06:40:00,24.71,1446.40
209,10/14/2022 06:50:00,24.79,1751.68
210,10/14/2022 07:00:00,24.71,2085.76
211,10/14/2022 07:10:00,24.79,2381.44
212,10/14/2022 07:20:00,24.84,2702.08
213,10/14/2022 07:30:00,24.88,3008.00
214,10/14/2022 07:40:00,24.88,3334.40
215,10/14/2022 07:50:00,24.88,3655.68
