#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
117,10/13/2022 15:50:00,28.44,2070.40
118,10/13/2022 16:00:00,28.44,2192.00
119,10/13/2022 16:10:00,28.44,2599.04
120,10/13/2022 16:20:00,28.35,2248.32
121,10/13/2022 16:30:00,28.31,1336.96
122,10/13/2022 16:40:00,28.27,1244.80
123,10/13/2022 16:50:00,28.23,1028.16
124,10/13/2022 17:00:00,28.14,1006.72
125,10/13/2022 17:10:00,28.14,810.88
126,10/13/2022 17:20:00,28.05,603.04
127,10/13/2022 17:30:00,27.97,425.12
128,10/13/2022 17:40:00,27.93,240.80
129,10/13/2022 17:50:00,27.84,124.68
130,10/13/2022 18:00:00,27.84,43.36
131,10/13/2022 18:10:00,27.71,7.70
132,10/13/2022 18:20:00,27.67,0.42
133,10/13/2022 18:30:00,27.63,0.00
134,10/13/2022 18:40:00,27.63,0.00
135,10/13/2022 18:50:00,27.54,0.00
136,10/13/2022 19:00:00,27.50,0.00
137,10/13/2022 19:10:00,27.45,0.00
138,10/13/2022 19:20:00,27.41,0.00
139,10/13/2022 19:30:00,27.37,0.00
140,10/13/2022 19:40:00,27.07,0.00
141,10/13/2022 19:50:00,26.81,0.00
142,10/13/2022 20:00:00,26.72,0.00
143,10/13/2022 20:10:00,26.72,0.00
144,10/13/2022 20:20:00,26.81,0.00
145,10/13/2022 20:30:00,26.94,0.00
146,10/13/2022 20:40:00,26.98,0.00
147,10/13/2022 20:50:00,26.98,0.00
148,10/13/2022 21:00:00,26.98,0.00
149,10/13/2022 21:10:00,27.02,0.00
150,10/13/2022 21:20:00,27.02,0.00
151,10/13/2022 21:30:00,27.02,0.00
152,10/13/2022 21:40:00,26.98,0.00
153,10/13/2022 21:50:00,26.94,0.00
154,10/13/2022 22:00:00,26.90,0.00
155,10/13/2022 22:10:00,26.77,0.00
156,10/13/2022 22:20:00,26.81,0.00
157,10/13/2022 22:30:00,26.72,0.00
158,10/13/2022 22:40:00,26.68,0.00
