Measurement Name :,20221025_SDR1_641_27,,Generated On :,"25/10/2022, 13:04:33",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
25.10.22 12:46:24,2.8,69.94,72.1,100.29,44.79,103.12,81.3,57.21,82.08,75.42,65.47,74.62,57.98,69.78,99.26,71.99,73.66,48.83,58.58,86.57,83.6,58.89,58.5,72.27,43.06,,27,965,36,25.9,
25.10.22 12:46:39,3.05,69.67,71.83,100.15,44.42,102.97,81.16,56.83,81.81,75.01,65.47,74.35,57.59,69.51,99.26,71.72,73.52,48.46,58.32,86.43,83.31,58.24,58.37,72.14,42.82,,27,965,36,25.91,
25.10.22 12:46:54,3.3,69.4,71.56,100.29,44.3,102.97,81.3,56.44,81.67,75.01,65.2,74.35,57.07,69.38,99.26,71.31,73.38,48.34,58.32,86.14,83.01,58.1,58.23,72.14,42.21,,27,965,36,25.94,
25.10.22 12:47:09,3.55,69,71.16,100.29,43.81,103.12,81.3,56.06,81.67,74.87,64.94,74.07,57.2,69.11,99.41,71.18,73.38,48.34,58.19,86,82.42,57.97,58.1,72,41.84,,27,965,36,25.97,
25.10.22 12:47:24,3.8,68.87,70.89,100.44,43.56,102.97,81.02,55.93,81.53,74.73,64.67,73.93,57.2,68.84,99.41,70.91,73.25,48.21,57.92,85.72,81.83,57.45,57.97,71.87,41.36,,27,965,36,25.97,
25.10.22 12:47:39,4.05,68.73,70.62,100.44,43.19,103.27,81.16,55.55,81.25,74.59,64.27,73.66,57.07,68.57,99.41,70.64,73.25,48.09,57.66,85.58,80.95,57.06,57.97,71.6,40.75,,27,965,36,26,
25.10.22 12:47:54,4.3,68.33,70.09,100.29,42.82,103.12,81.02,55.17,81.12,74.32,64.14,73.38,56.95,68.44,99.41,70.64,73.11,47.59,57.52,85.44,80.36,56.41,57.97,71.46,40.39,,27,965,36,26.01,
25.10.22 12:48:09,4.55,68.33,69.96,100.44,42.33,103.27,81.02,55.04,81.12,74.46,64.01,73.25,56.69,68.17,99.41,70.5,73.25,46.85,57.26,85.3,79.19,56.28,57.97,71.46,40.02,,27,965,36,26.01,
25.10.22 12:48:24,4.8,68.07,69.29,100.44,41.97,103.27,80.88,54.53,80.98,74.46,63.74,72.97,56.56,68.04,99.26,70.5,72.97,46.48,57,84.88,78.17,56.02,57.71,71.33,39.66,,27,965,36,26.04,
25.10.22 12:48:39,5.05,67.4,68.5,100,41.36,102.97,80.6,53.9,80.29,73.91,63.21,72.29,55.79,67.5,99.12,70.23,72.84,45.87,56.47,84.45,76.71,55.37,57.18,70.92,38.82,,27,965,36,26.05,
25.10.22 12:48:54,5.3,67.54,68.23,100.29,41.23,103.27,80.88,53.65,80.43,74.04,63.35,72.29,55.66,67.37,99.41,70.09,72.97,45.87,56.47,84.45,75.98,55.5,57.45,70.92,38.82,,27,965,36,26.08,
25.10.22 12:49:09,5.55,67.27,67.97,100.59,40.99,103.27,80.74,53.01,80.43,74.18,63.08,72.15,54.89,67.23,99.41,70.09,73.11,45.75,56.21,84.31,74.97,55.37,57.45,71.06,38.22,,27,965,36,26.08,
25.10.22 12:49:24,5.8,66.87,67.57,100.44,40.38,103.27,80.6,52.38,80.15,73.91,62.82,72.01,54.12,66.97,99.56,70.09,72.84,45.62,55.94,84.17,74.25,55.11,57.32,70.79,37.86,,27,965,36,26.1,
25.10.22 12:49:39,6.05,66.61,67.31,100.44,39.9,103.27,80.47,51.75,79.88,73.77,62.69,71.47,53.36,66.57,99.26,69.82,72.84,45.38,55.55,84.17,73.24,54.85,57.18,70.52,37.62,,27,965,36,26.11,
25.10.22 12:49:54,6.3,66.08,67.04,100.44,39.65,103.27,80.33,51.37,79.88,73.77,62.42,71.47,52.59,66.17,99.41,69.82,72.84,45.38,55.15,84.03,72.24,54.46,57.18,70.52,37.02,,27,965,36,26.13,
25.10.22 12:50:09,6.55,65.81,66.91,100.44,39.29,103.42,80.33,51.37,79.74,73.77,62.16,71.06,51.83,65.77,99.41,69.69,72.84,45.26,54.89,83.89,71.67,54.07,57.05,70.38,37.02,,27,965,36,26.14,
25.10.22 12:50:24,6.8,65.55,66.78,100.29,38.81,103.27,80.33,51.12,79.47,73.63,62.16,70.92,51.07,65.5,99.12,69.69,72.84,44.64,54.76,83.75,70.81,53.56,56.79,69.84,36.78,,27,965,36,26.15,
25.10.22 12:50:39,7.05,65.42,66.65,100.59,38.68,103.42,80.05,51,79.47,73.77,62.03,70.65,50.69,65.24,99.41,69.55,72.7,44.64,54.37,83.75,70.1,53.56,56.92,69.98,36.54,,27,965,36,26.16,
25.10.22 12:50:54,7.3,65.02,66.51,100.59,38.08,103.42,80.05,50.75,79.19,73.63,61.77,70.38,50.06,64.84,99.41,69.42,72.84,44.52,54.11,83.61,69.67,53.04,56.79,69.98,36.42,,27,965,36,26.18,
25.10.22 12:51:09,7.55,64.76,66.25,100.59,37.72,103.42,80.05,50.5,79.06,73.49,61.5,70.1,49.56,64.04,99.41,69.01,72.7,44.28,53.84,83.33,68.96,52.53,56.66,69.71,35.94,,27,965,36,26.19,
25.10.22 12:51:24,7.8,64.49,66.38,100.59,37.24,103.57,79.91,50.37,78.92,73.35,61.37,69.7,49.3,63.91,99.26,68.88,72.57,43.91,53.58,83.05,68.39,52.01,56.4,69.44,35.7,,27,965,36,26.21,
25.10.22 12:51:39,8.05,64.1,66.25,100.59,37,103.42,79.91,50.24,78.92,73.35,61.37,69.56,49.18,63.78,99.41,68.88,72.57,43.67,53.58,83.19,67.97,51.76,56.53,69.17,35.47,,27,965,36,26.22,
25.10.22 12:51:54,8.3,64.1,66.12,100.59,36.52,103.42,79.78,49.99,78.78,73.22,60.98,69.29,49.05,63.25,99.41,68.61,72.29,43.3,53.32,83.05,67.4,51.37,56.27,69.04,35.11,,27,965,36,26.24,
25.10.22 12:52:09,8.55,63.97,65.99,100.88,36.16,103.57,79.78,49.74,78.65,73.22,60.85,69.15,48.93,63.12,99.56,68.34,72.43,43.42,53.06,82.77,67.12,50.99,56.27,68.91,34.75,,27,965,36,26.25,
25.10.22 12:52:24,8.8,63.7,65.99,100.73,35.68,103.72,79.78,49.62,78.65,73.22,60.58,69.02,48.93,62.99,99.71,68.21,72.57,43.3,53.06,82.63,66.56,50.73,56.27,68.77,34.63,,27,965,36,26.25,
25.10.22 12:52:39,9.05,63.31,65.72,100.59,34.84,103.57,79.5,49.24,78.37,72.81,60.32,68.61,48.93,62.59,99.41,67.94,72.29,42.93,52.54,82.49,66.41,50.35,55.88,68.5,34.16,,27,965,36,26.26,
25.10.22 12:52:54,9.3,63.05,65.33,100.59,34.6,103.57,79.36,48.99,78.24,72.67,60.32,68.21,48.8,62.33,99.41,67.8,72.16,42.45,52.54,82.49,66.13,50.22,55.75,68.37,33.8,,27,965,36,26.29,
25.10.22 12:53:09,9.55,62.79,65.33,100.73,34.24,103.57,79.36,48.62,78.1,72.67,60.06,68.07,48.68,62.33,99.56,67.67,72.16,41.96,52.02,82.21,65.71,50.1,55.88,68.37,33.57,,27,965,36,26.29,
25.10.22 12:53:24,9.8,62.53,65.07,100.59,33.77,103.72,79.36,48.5,77.96,72.67,59.67,67.67,48.55,61.94,99.41,67.53,71.89,41.48,51.5,82.07,65.57,49.59,55.75,68.1,33.21,,27,965,36,26.3,
25.10.22 12:53:39,10.05,62.26,64.94,100.59,33.29,103.72,79.09,48,77.83,72.39,59.28,67.4,48.05,61.54,99.41,67.13,71.89,41.24,50.98,81.66,65.29,49.08,55.62,67.7,32.74,,27,965,36,26.32,
25.10.22 12:53:54,10.3,62.13,64.81,100.73,32.81,103.72,79.09,48,77.55,72.39,59.15,67.26,48.05,61.54,99.56,67.13,71.89,40.99,50.46,81.8,65.15,48.82,55.36,67.57,32.39,,27,965,36,26.33,
25.10.22 12:54:09,10.55,61.87,64.54,100.73,32.46,103.72,78.81,47.75,77.69,72.26,58.89,66.99,48.05,61.15,99.41,67,71.75,40.87,50.33,81.52,64.87,48.57,55.23,67.3,32.03,,27,965,36,26.35,
25.10.22 12:54:24,10.8,61.74,64.54,100.73,32.1,103.87,78.81,47.5,77.42,72.39,58.76,66.73,47.92,60.89,99.41,66.86,71.75,40.75,50.08,81.52,64.59,48.19,55.36,67.17,31.8,,27,965,36,26.38,
25.10.22 12:54:39,11.05,61.35,64.28,100.73,31.28,103.72,78.67,47.13,77.15,72.12,58.24,66.59,47.42,60.63,99.41,66.6,71.48,40.63,49.82,81.24,64.45,47.68,54.97,66.77,31.45,,27,965,36,26.39,
25.10.22 12:54:54,11.3,61.22,64.15,100.88,30.8,103.72,78.67,46.88,77.15,72.12,58.11,66.32,46.92,60.63,99.41,66.46,71.48,40.63,49.95,81.24,64.17,47.55,54.97,66.64,31.09,,27,965,36,26.38,
25.10.22 12:55:09,11.55,60.83,64.02,100.73,30.45,103.87,78.4,46.63,76.6,71.85,57.98,66.05,46.67,60.23,99.26,66.2,71.48,40.39,49.56,80.96,64.03,47.18,54.84,66.37,30.74,,27,965,36,26.4,
25.10.22 12:55:24,11.8,60.57,63.76,100.73,30.22,103.87,78.26,46.26,76.6,71.98,57.85,65.65,46.3,59.84,99.41,66.06,71.34,40.27,49.3,80.96,63.89,46.8,54.45,66.1,30.39,,27,965,36,26.41,
25.10.22 12:55:40,12.07,60.31,63.5,100.73,29.86,103.87,78.4,46.14,76.33,71.85,57.33,65.52,46.3,59.58,99.56,65.93,71.34,40.03,49.17,80.96,63.89,46.42,54.45,65.84,30.16,,27,965,36,26.43,
25.10.22 12:55:55,12.32,60.18,63.5,100.88,29.51,103.87,78.4,46.02,76.19,71.85,57.2,65.25,45.93,59.32,99.56,65.66,71.34,40.03,49.04,80.82,63.75,46.04,54.32,65.57,29.81,,27,965,36,26.44,
25.10.22 12:56:10,12.57,59.66,63.24,100.73,29.16,103.87,77.99,45.65,75.92,71.57,56.68,64.98,45.68,58.93,99.41,65.26,70.94,39.67,48.66,80.41,63.47,45.41,53.93,65.18,29.45,,27,965,36,26.44,
25.10.22 12:56:24,12.8,59.53,63.11,101.03,28.92,104.17,78.12,45.65,75.92,71.85,56.68,64.85,45.3,58.93,99.56,65.26,71.07,39.79,48.4,80.55,63.75,45.16,53.93,64.65,29.45,,27,965,36,26.46,
25.10.22 12:56:39,13.05,59.14,62.85,100.73,28.57,104.02,77.85,45.4,75.52,71.44,56.16,64.45,44.93,58.41,99.26,64.86,70.8,39.43,47.89,80.41,63.33,44.78,53.67,64.25,28.99,,27,965,36,26.47,
25.10.22 12:56:55,13.32,58.88,62.59,100.88,28.11,103.87,77.71,45.4,75.52,71.44,56.04,64.18,44.44,58.15,99.56,64.86,70.8,39.43,47.76,80.27,63.33,44.66,53.67,63.99,28.64,,27,965,36,26.49,
25.10.22 12:57:10,13.57,58.5,62.72,100.73,27.76,104.02,77.58,45.03,75.38,71.3,55.65,63.78,43.94,58.02,99.26,64.6,70.67,39.31,47.5,80.13,63.33,44.41,53.28,63.86,28.52,,27,965,36,26.49,
25.10.22 12:57:25,13.82,58.37,62.33,100.73,27.41,103.87,77.58,44.78,74.98,71.16,55.26,63.51,43.45,57.63,99.26,64.33,70.67,38.94,47.12,79.85,62.91,44.16,53.15,63.33,28.06,,27,965,36,26.51,
25.10.22 12:57:40,14.07,58.11,62.33,100.88,26.94,104.02,77.3,44.78,74.84,71.16,55.13,63.25,43.08,57.37,99.41,64.2,70.4,38.94,46.86,79.71,62.91,43.78,53.15,63.33,27.94,,27,965,36,26.51,
25.10.22 12:57:55,14.32,57.85,62.07,100.73,26.71,104.02,77.3,44.54,74.84,71.03,54.62,62.98,42.95,56.86,99.56,64.06,70.53,38.82,46.61,79.71,62.77,43.41,52.89,63.2,27.59,,27,965,36,26.51,
25.10.22 12:58:10,14.57,57.59,61.68,100.88,26.36,104.02,77.03,44.29,74.44,70.62,54.36,62.72,42.95,56.47,99.56,63.93,70.4,38.46,46.22,79.44,62.63,43.28,52.63,62.93,27.36,,27,965,36,26.53,
25.10.22 12:58:25,14.82,57.34,61.68,101.03,26.13,104.32,77.17,43.92,74.3,70.75,53.98,62.32,42.83,56.21,99.41,63.53,70.26,37.99,45.97,79.44,62.49,42.91,52.76,62.67,27.13,,27,965,36,26.54,
25.10.22 12:58:40,15.07,57.08,61.42,100.73,25.78,104.17,76.89,43.68,74.03,70.62,53.98,62.05,42.46,56.08,99.41,63.27,70.12,37.51,45.46,79.16,62.22,42.53,52.38,62.54,26.78,,27,965,36,26.54,
25.10.22 12:58:54,15.3,56.82,61.29,100.88,25.55,104.32,76.76,43.55,74.03,70.48,53.47,61.79,42.34,55.7,99.56,62.87,69.99,37.27,45.08,79.02,62.22,42.29,52.12,62.41,26.43,,27,965,36,26.54,
25.10.22 12:59:09,15.55,56.69,61.03,100.88,25.2,104.32,76.62,43.19,73.76,70.35,53.47,61.39,42.09,55.44,99.56,62.87,69.99,37.03,44.95,78.88,61.66,41.91,52.12,62.28,26.2,,27,965,36,26.57,
25.10.22 12:59:25,15.82,56.44,60.9,101.03,25.08,104.32,76.48,43.31,73.63,70.35,53.08,61.26,41.72,55.18,99.56,62.61,69.72,36.79,44.95,78.75,61.66,41.66,51.99,62.02,25.86,,27,965,36,26.58,
25.10.22 12:59:40,16.07,56.05,60.64,100.88,24.62,104.17,76.62,43.19,73.49,70.21,52.83,61.13,41.36,54.8,99.56,62.48,69.72,36.67,44.44,78.33,61.24,41.17,51.86,62.02,25.63,,27,965,36,26.58,
25.10.22 12:59:55,16.32,55.92,60.51,101.03,24.39,104.47,76.35,43.06,73.23,70.07,52.7,60.73,41.11,54.8,99.71,62.21,69.72,36.55,44.19,78.33,60.83,40.92,51.6,61.88,25.4,,27,965,36,26.58,
25.10.22 13:00:10,16.57,55.67,60.25,101.18,24.27,104.47,76.21,42.94,72.96,70.07,52.32,60.6,40.87,54.41,99.41,62.08,69.58,36.19,43.81,78.33,60.14,40.67,51.6,61.49,25.05,,27,965,36,26.6,
25.10.22 13:00:25,16.82,55.29,59.87,101.03,23.81,104.32,75.94,42.82,72.69,69.8,51.93,60.2,40.38,54.03,99.56,61.55,69.45,35.96,43.3,78.2,59.72,40.18,51.22,60.97,24.71,,27,965,36,26.61,
25.10.22 13:00:40,17.07,55.03,59.87,100.88,23.7,104.32,75.94,42.7,72.29,69.67,51.68,59.68,40.25,53.51,99.56,61.29,69.31,35.72,42.92,78.06,59.03,39.93,51.09,60.58,24.25,,27,965,36,26.61,
25.10.22 13:00:55,17.32,54.65,59.74,101.03,23.35,104.32,75.66,42.45,72.15,69.53,51.55,59.28,39.77,52.75,99.26,61.03,68.91,35.48,42.8,77.78,58.34,39.56,50.83,60.32,23.9,,27,965,36,26.61,
25.10.22 13:01:10,17.57,54.52,59.48,101.03,23.01,104.47,75.66,42.21,72.02,69.39,51.42,59.02,39.52,52.11,99.41,60.9,69.05,35.36,42.55,77.92,58.21,39.31,50.83,60.19,23.67,,27,965,36,26.64,
25.10.22 13:01:25,17.82,54.01,59.22,100.73,22.66,104.02,75.26,41.97,71.62,69.26,51.04,58.63,38.91,51.22,99.41,60.76,68.78,35.24,42.55,77.65,57.52,38.94,50.32,60.06,23.44,,27,965,36,26.65,
25.10.22 13:01:40,18.07,53.63,59.22,100.88,22.43,104.32,75.26,41.72,71.62,69.12,50.92,58.37,38.55,50.59,99.41,60.5,68.64,35.01,42.29,77.51,57.52,38.94,50.32,59.93,23.1,,27,965,36,26.64,
25.10.22 13:01:55,18.32,53.37,59.1,100.88,22.09,104.47,75.12,41.6,71.48,68.85,50.66,58.24,38.18,50.08,99.56,60.37,68.51,34.89,42.04,77.65,57.11,38.57,50.06,59.67,22.87,,27,965,36,26.65,
25.10.22 13:02:10,18.57,53.12,59.1,100.88,21.75,104.32,74.99,41.23,71.22,68.44,50.16,57.97,37.46,49.96,99.41,60.24,68.37,34.65,41.79,77.37,56.84,38.08,49.94,59.54,22.53,,27,965,36,26.65,
25.10.22 13:02:25,18.82,52.74,58.71,100.88,21.63,104.32,74.71,40.87,70.82,68.31,50.16,57.58,36.97,49.7,99.26,59.98,68.24,34.18,41.66,77.1,56.7,37.96,49.68,59.28,22.3,,27,965,36,26.68,
25.10.22 13:02:40,19.07,52.36,58.71,100.73,21.4,104.17,74.58,40.63,70.68,67.9,50.03,57.45,36.61,49.7,99.26,59.72,68.1,33.47,41.54,76.55,56.29,37.84,49.68,59.15,22.3,,27,965,36,26.68,
25.10.22 13:02:55,19.32,52.11,58.71,101.03,21.18,104.32,74.58,40.51,70.42,67.9,49.9,57.19,36.61,49.58,99.56,59.59,68.1,33.35,41.41,76.27,56.43,37.96,49.42,59.02,22.07,,27,965,36,26.69,
25.10.22 13:03:10,19.57,51.73,58.32,100.88,20.95,104.32,74.31,40.02,70.15,67.77,49.65,56.93,36.37,49.45,99.41,59.45,67.84,32.76,41.04,76.14,56.15,37.47,49.17,58.76,21.73,,27,965,36,26.71,
25.10.22 13:03:25,19.82,51.48,58.07,100.88,20.72,104.32,74.31,39.78,70.02,67.5,49.4,56.67,36.25,49.32,99.26,59.32,67.7,32.06,41.04,75.86,56.02,37.59,49.17,58.76,21.85,,27,965,36,26.72,
25.10.22 13:03:40,20.07,51.1,57.94,101.03,20.49,104.47,73.9,39.42,69.62,67.36,49.02,56.54,36.01,49.07,99.41,59.06,67.7,31.71,40.78,75.86,56.02,37.35,48.91,58.5,21.73,,27,965,36,26.72,
25.10.22 13:03:55,20.32,50.59,57.81,100.88,20.15,104.32,73.76,39.05,69.09,67.09,48.64,56.15,35.65,48.69,99.41,58.93,67.43,31.47,40.53,75.73,55.74,37.1,48.66,58.24,21.28,,27,965,36,26.72,
25.10.22 13:04:10,20.57,50.34,57.68,101.03,20.04,104.62,73.76,38.93,69.35,67.09,48.51,56.02,35.65,48.44,99.41,58.93,67.57,31.35,40.53,75.73,55.47,37.23,48.53,58.24,21.28,,27,965,36,26.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
