Measurement Name :,20221028_SDR710_AMB_WT_COHORT1021,,Generated On :,"28/10/2022, 12:32:43",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/10/2022, 12:11:15",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/10/2022, 12:32:03",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,30, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.28,46.2,46.12,46.07,46.2,46.31,46.32,46.29,46.37,46.41,46.43,46.31,46.27,46.37,46.51,46.65,46.37,47,46.32,46.65,46.2,46.99,46.3,46.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
28.10.22 12:11:17,0.03,102.85,85.96,94.04,91.78,87.52,86.94,84.78,93.93,91.52,97.44,94.74,98.8,96.29,100.75,90.65,96.3,95.07,96.47,94.5,86.46,102.68,90.3,95.84,99.85,,30,965,36,29.23,
28.10.22 12:11:32,0.28,103.15,85.96,93.89,91.64,87.8,87.09,84.49,93.64,91.67,97.59,94.89,99.1,96.15,100.91,90.51,96.14,94.92,97.27,94.65,86.46,102.97,90.61,96.13,100,,30,965,36,29.24,
28.10.22 12:11:47,0.53,103.6,86.1,94.32,91.64,87.95,87.23,84.64,93.49,91.82,98.19,95.63,99.55,96.44,101.96,90.8,96.45,95.66,97.75,94.94,86.31,103.57,91.08,96.13,100.45,,30,965,36,29.24,
28.10.22 12:12:02,0.78,103.75,85.67,94.04,91.92,88.37,87.38,84.64,93.35,91.97,98.64,95.93,99.85,96.59,102.27,90.95,96.14,95.51,98.39,94.94,86.16,103.87,91.4,96.58,100.61,,30,965,36,29.25,
28.10.22 12:12:17,1.03,103.9,85.82,93.89,91.64,88.66,87.52,84.07,93.05,91.97,98.94,96.08,99.85,96.44,102.57,90.65,96.14,95.36,98.39,95.24,85.57,104.17,91.24,96.73,100.3,,30,965,36,29.27,
28.10.22 12:12:32,1.28,104.21,85.67,93.75,91.92,88.66,87.52,83.5,92.62,92.11,99.09,96.38,100.15,96.44,103.03,91.1,95.99,95.36,98.55,95.54,85.57,104.62,91.24,96.73,100.45,,30,965,36,29.27,
28.10.22 12:12:47,1.53,104.21,85.53,93.75,91.78,88.09,87.81,83.07,92.47,91.97,99.24,96.53,100.3,96.29,103.03,90.95,95.99,95.51,98.87,95.39,84.83,104.62,90.77,96.87,100.15,,30,965,36,29.3,
28.10.22 12:13:02,1.78,104.51,85.11,93.75,91.64,88.09,87.52,82.79,92.18,92.26,99.55,96.83,100.45,96.44,103.48,90.8,95.83,95.21,99.19,95.68,84.68,104.62,90.77,97.02,100.45,,30,965,36,29.28,
28.10.22 12:13:17,2.03,104.21,84.97,93.17,91.21,87.52,87.23,82.36,91.74,91.97,99.24,96.83,100.45,95.85,103.48,90.51,95.53,95.07,98.87,95.39,83.79,104.77,90.14,96.58,100,,30,965,36,29.31,
28.10.22 12:13:32,2.28,104.66,84.83,93.46,91.35,87.8,87.52,82.22,91.6,92.26,99.7,97.43,100.6,96.29,103.94,90.51,95.83,95.07,99.19,95.09,83.64,105.07,90.14,96.73,100.3,,30,965,36,29.31,
28.10.22 12:13:47,2.53,104.51,84.54,93.32,90.93,87.23,87.09,81.79,91.3,92.26,99.7,97.43,100.9,96.29,104.25,90.8,95.68,95.07,99.35,95.09,82.9,104.92,89.67,96.73,100.15,,30,965,36,29.31,
28.10.22 12:14:02,2.78,104.51,84.4,92.89,90.36,87.09,86.94,81.51,90.43,92.11,99.85,97.43,100.6,96.15,104.25,90.51,95.53,94.77,99.19,94.8,82.46,105.07,89.2,96.28,99.7,,30,965,36,29.34,
28.10.22 12:14:17,3.03,104.66,84.4,92.89,90.36,87.09,87.38,81.51,90.14,92.41,99.55,97.58,100.9,96,104.55,90.36,95.68,94.77,99.35,94.5,81.87,105.37,89.04,96.43,99.7,,30,965,36,29.34,
28.10.22 12:14:32,3.28,104.66,84.26,92.74,89.94,86.52,86.94,81.23,89.71,92.26,99.85,97.88,100.9,95.56,104.55,90.06,95.22,94.33,99.19,94.21,81.43,105.37,88.57,96.13,99.7,,30,965,36,29.34,
28.10.22 12:14:47,3.53,104.81,83.98,92.31,90.08,86.1,86.8,81.09,89.56,92.11,99.85,97.88,100.9,95.26,104.86,89.76,95.38,94.18,99.35,94.5,80.99,105.53,88.57,96.13,99.4,,30,965,36,29.35,
28.10.22 12:15:02,3.78,104.66,83.56,92.03,89.79,85.67,86.66,80.8,88.84,91.97,99.7,97.73,100.75,94.68,104.7,89.62,94.92,94.03,98.71,93.91,80.11,105.22,88.11,95.69,99.7,,30,965,36,29.36,
28.10.22 12:15:17,4.03,104.66,83.28,91.88,89.37,85.25,86.37,80.52,88.7,91.67,99.7,98.04,100.9,94.82,104.86,89.17,94.92,93.59,98.71,94.06,79.38,105.22,87.48,95.99,99.4,,30,965,36,29.38,
28.10.22 12:15:32,4.28,104.66,83,91.17,88.95,84.97,86.23,80.38,88.41,91.52,99.55,97.73,100.9,94.38,104.86,89.17,94.61,93.29,98.39,93.47,78.65,105.22,87.17,95.54,99.4,,30,965,36,29.38,
28.10.22 12:15:47,4.53,104.51,82.72,90.88,88.67,84.83,86.08,80.1,88.12,91.23,99.55,97.73,100.75,93.94,105.01,89.02,94.61,93,98.39,93.33,77.78,105.22,86.55,95.25,99.25,,30,965,36,29.38,
28.10.22 12:16:02,4.78,104.51,82.86,90.74,88.38,84.4,85.8,79.82,87.69,91.38,99.4,97.88,100.6,93.65,105.01,88.73,94,92.55,98.23,92.74,77.2,105.37,85.62,94.95,99.55,,30,965,36,29.38,
