Measurement Name :,20221031_SDR641_AMB,,Generated On :,"31/10/2022, 14:48:55",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"31/10/2022, 14:27:40",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"31/10/2022, 14:48:38",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,27, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.24,46.51,46.58,46.78,46.34,46.24,46.59,46.36,46.44,46.75,46.49,46.72,46.5,46.63,46.46,46.57,46.46,46.72,46.25,47.19,46.2,47.04,46.68,47.07,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.10.22 14:27:42,0.03,95.16,103.86,87.34,106.89,99.71,94.88,103.74,93.82,93.05,97.74,92.3,97.45,99.71,93.79,95.2,101.93,103.54,97,99.43,91.08,89.6,109.96,93.03,86.36,,27,965,36,25.83,
31.10.22 14:27:57,0.28,95.16,104.3,87.05,107.51,100.14,95.16,103.89,93.96,93.34,97.59,92.44,97.45,100.29,93.79,95.05,102.23,103.84,97,99.71,91.08,89.74,110.28,93.17,85.91,,27,965,36,25.86,
31.10.22 14:28:12,0.53,95.3,104.3,86.77,107.51,99.71,95.02,103.59,93.68,92.91,97.89,92.3,97.45,100.15,93.5,94.76,101.93,103.69,97.15,99.57,90.62,89.46,110.12,92.88,85.16,,27,965,36,25.89,
31.10.22 14:28:27,0.78,95.44,104.3,86.48,107.36,100,94.88,103.59,93.68,92.77,97.59,92.3,97.15,100,93.35,95.05,102.23,103.84,97,99.71,90.31,89.19,110.28,92.59,84.71,,27,965,36,25.91,
31.10.22 14:28:42,1.03,95.3,104.3,86.34,107.36,100.14,94.74,103.74,93.39,92.77,97.29,92.16,97,100.29,93.21,94.91,102.23,103.98,96.85,99.57,89.69,89.05,110.12,92.29,84.11,,27,965,36,25.91,
31.10.22 14:28:57,1.28,95.44,104.15,86.06,107.67,99.86,94.88,103.74,93.25,92.62,97.29,92.3,97,100.15,92.92,94.91,102.23,103.84,96.85,99.71,89.23,88.91,110.28,92.15,83.66,,27,965,36,25.93,
31.10.22 14:29:12,1.53,95.3,104.3,85.63,107.51,100.14,94.59,103.89,92.97,92.77,97.29,92.3,96.85,100.44,93.06,94.76,102.23,103.98,96.7,99.57,88.77,88.77,110.44,92.15,83.22,,27,965,36,25.96,
31.10.22 14:29:27,1.78,95.44,104.45,85.49,107.82,100,94.59,104.19,92.54,92.48,97.44,92.3,96.7,100.44,92.77,94.91,102.53,104.13,96.85,99.71,88.62,88.91,110.61,92,82.77,,27,965,36,25.96,
31.10.22 14:29:43,2.05,95.3,104.45,84.92,107.98,100,94.45,104.34,92.26,92.48,97.29,92.16,96.55,100.29,92.48,94.48,102.38,104.28,96.55,99.86,88,88.5,110.61,91.71,82.03,,27,965,36,25.99,
31.10.22 14:29:58,2.3,95.16,104.45,84.5,107.98,100.14,94.59,104.34,91.97,91.91,96.99,92.3,96.41,100.29,92.33,94.33,102.23,104.13,96.26,99.71,87.54,88.36,110.44,91.42,81.58,,27,965,36,26,
31.10.22 14:30:13,2.55,95.58,104.6,84.08,107.67,100.14,94.59,104.34,91.97,92.19,97.14,92.3,96.11,100.59,92.33,94.48,102.68,104.28,96.41,100,87.39,88.5,110.61,91.42,81.43,,27,965,36,26.01,
31.10.22 14:30:28,2.8,95.58,104.6,83.65,108.13,100.44,94.45,104.49,91.83,91.91,97.14,92.3,96.26,100.59,91.9,94.33,102.53,104.28,96.41,100,86.78,88.36,110.77,91.42,80.84,,27,965,36,26.01,
31.10.22 14:30:43,3.05,95.3,104.75,83.37,108.13,100.29,94.17,104.34,91.41,91.62,96.99,92.16,95.96,100.44,91.75,94.33,102.53,104.13,96.11,100,86.17,87.95,110.77,91.12,80.4,,27,965,36,26.03,
31.10.22 14:30:58,3.3,95.3,104.6,83.09,107.98,100.58,94.03,104.64,91.55,91.77,96.84,92.16,95.96,100.74,91.75,94.48,102.83,104.43,96.26,100.14,85.56,87.67,110.77,90.98,79.95,,27,965,36,26.04,
31.10.22 14:31:13,3.55,95.16,104.45,82.39,108.13,100.44,93.89,104.19,90.98,91.48,96.39,92.01,95.66,100.59,91.17,93.9,102.53,104.28,95.81,99.86,84.65,87.26,110.61,90.4,78.92,,27,965,36,26.04,
31.10.22 14:31:28,3.8,95.3,104.45,82.1,107.98,100.14,93.75,104.49,90.84,91.34,96.54,91.87,95.51,100.59,91.17,93.76,102.53,104.43,95.81,99.86,84.5,87.26,110.77,90.25,78.04,,27,965,36,26.05,
