Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.10.22 14:31:43,4.05,94.55,97.99,59.08,81.82,74.37,84.33,82.34,99.42,96.92,97.83,101.18,100.44,99.27,88.65,91.95,88.19,78.61,113.53,83.72,107.61,88.22,108.95,102.53,90.73,,30,965,36,28.11,
31.10.22 14:31:58,4.3,94.55,97.85,58.95,81.69,73.97,84.05,82.2,99.56,97.06,97.83,101.18,100.58,99.12,88.37,91.66,87.89,78.06,113.53,83.44,107.45,88.08,108.78,102.68,90.73,,30,965,36,28.13,
31.10.22 14:32:13,4.55,94.69,97.99,58.7,81.42,74.11,83.91,81.92,99.71,97.06,97.97,101.63,100.73,99.27,88.51,91.81,87.75,77.64,113.53,83.72,107.61,87.94,108.95,102.83,90.73,,30,965,36,28.14,
31.10.22 14:32:28,4.8,94.55,97.99,58.58,81.29,73.71,83.5,82.06,99.71,97.21,97.97,101.48,100.58,99.27,88.37,91.52,87.6,76.95,113.7,83.44,107.77,87.94,108.42,102.83,90.44,,30,965,36,28.17,
31.10.22 14:32:43,5.05,94.55,97.85,58.33,81.02,73.57,83.22,82.06,99.71,97.21,98.12,101.48,100.58,99.42,88.37,91.38,87.16,76.68,113.7,83.44,107.77,88.22,108.24,102.97,90.44,,30,965,36,28.2,
31.10.22 14:32:58,5.3,94.69,98.13,58.2,80.88,73.44,82.94,82.06,99.71,97.36,98.26,101.63,100.88,99.42,88.23,91.23,87.02,76.26,113.87,83.44,107.77,87.94,108.07,102.97,90.44,,30,965,36,28.21,
31.10.22 14:33:13,5.55,94.83,98.28,58.08,80.61,73.44,82.94,82.06,100,97.5,98.4,101.78,100.88,99.56,88.23,91.23,87.02,76.13,114.03,83.44,108.08,87.94,108.07,103.12,90.59,,30,965,36,28.23,
31.10.22 14:33:28,5.8,94.55,97.99,57.7,80.35,72.91,82.53,81.78,99.85,97.36,98.26,101.63,100.73,99.27,88.09,90.8,86.43,75.58,113.87,83.3,107.92,87.66,107.71,102.97,90.3,,30,965,36,28.24,
31.10.22 14:33:43,6.05,94.83,98.28,57.57,80.08,72.77,82.25,81.92,100,97.36,98.26,101.93,101.02,99.42,87.95,90.66,86.43,75.3,114.2,83.16,108.24,87.66,107.53,103.27,90.01,,30,965,36,28.27,
31.10.22 14:33:58,6.3,94.83,98.42,57.32,79.95,72.51,82.11,81.78,100,97.5,98.55,101.93,101.02,99.71,88.09,90.66,86.14,74.75,114.2,83.16,108.08,87.8,107.36,103.27,90.01,,30,965,36,28.28,
31.10.22 14:34:13,6.55,94.69,98.13,56.82,79.68,72.24,81.7,81.65,99.85,97.65,98.26,101.63,101.02,99.42,87.53,89.94,85.7,74.34,114.03,83.01,108.08,87.66,107,102.97,89.72,,30,965,36,28.3,
31.10.22 14:34:28,6.8,94.83,98.42,56.7,79.28,72.11,81.56,81.65,100,97.65,98.26,102.08,101.17,99.56,87.39,89.79,85.56,73.93,114.2,83.01,108.24,87.38,106.65,103.27,89.86,,30,965,36,28.31,
31.10.22 14:34:43,7.05,94.83,98.42,56.32,78.88,71.71,81.15,81.51,100,97.65,98.4,102.08,101.32,99.71,87.25,89.51,85.41,73.38,114.37,82.87,108.4,87.52,106.65,103.27,89.43,,30,965,36,28.34,
