Measurement Name :,20221028_SDR641_AMB_WT_cohort1021,,Generated On :,"28/10/2022, 12:32:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
28.10.22 12:16:17,5.03,92.55,85.5,82.03,92.93,86.43,89.57,95.14,87.59,102.56,98.96,84.42,83.38,88.64,85.77,94.99,91.07,99.56,86.92,103.86,84.49,101.97,79.94,75.78,79.21,,27,965,36,27.33,
28.10.22 12:16:32,5.28,92.12,85.36,81.75,92.64,85.86,89.15,94.7,87.45,102.41,98.51,83.99,82.55,88.21,85.35,94.7,90.49,99.11,85.91,103.71,83.9,101.21,79.09,75.09,78.65,,27,965,36,27.33,
28.10.22 12:16:47,5.53,91.97,85.64,81.75,92.49,85.86,89,94.41,87.31,102.41,98.66,83.57,82.13,88.06,85.07,94.41,90.06,99.11,85.77,103.86,83.46,101.36,78.95,75.09,78.23,,27,965,36,27.33,
28.10.22 12:17:02,5.78,91.68,85.09,81.33,92.35,85.72,88.58,94.26,86.9,102.71,98.36,83.43,81.71,87.92,84.64,94.41,89.92,98.97,85.48,103.86,83.01,101.21,78.39,74.67,77.39,,27,965,36,27.35,
28.10.22 12:17:17,6.03,91.68,84.81,81.61,92.2,85.3,88.72,94.12,86.76,102.56,98.06,82.86,81.44,87.77,84.36,94.26,89.49,98.67,85.2,104.01,82.57,101.36,78.11,74.26,76.97,,27,965,36,27.35,
28.10.22 12:17:32,6.28,91.54,85.23,81.06,91.91,84.73,88.43,93.68,86.34,102.26,98.21,82.72,81.16,87.63,83.79,94.12,88.91,98.97,84.91,103.71,81.98,101.21,77.97,73.99,76.13,,27,965,36,27.36,
28.10.22 12:17:47,6.53,91.54,84.95,80.92,91.77,84.45,88.58,93.53,86.2,102.41,98.06,82.01,80.6,87.34,83.37,94.12,88.91,98.67,84.77,104.01,81.54,101.06,77.27,73.58,75.29,,27,965,36,27.36,
28.10.22 12:18:02,6.78,91.4,84.67,80.64,91.77,84.45,88.15,93.24,85.78,102.41,97.92,81.73,79.91,87.05,83.09,93.83,88.63,98.38,83.91,103.86,81.24,101.06,77.13,73.03,75.02,,27,965,36,27.36,
28.10.22 12:18:17,7.03,91.4,84.81,80.64,91.77,84.59,88.29,93.53,85.92,102.41,97.77,81.73,79.22,87.19,82.95,93.97,88.48,98.38,83.91,104.01,80.8,101.06,76.85,72.89,74.46,,27,965,36,27.36,
28.10.22 12:18:32,7.28,91.4,84.81,80.51,91.48,84.17,88.15,92.95,85.64,102.26,97.47,81.31,78.95,86.91,82.53,93.24,88.05,98.38,83.62,104.01,80.51,100.76,76.43,72.34,73.91,,27,965,36,27.36,
28.10.22 12:18:47,7.53,91.25,84.67,80.23,91.33,84.17,87.44,92.81,85.23,102.26,97.47,80.6,78.67,86.47,81.96,93.53,87.63,98.23,83.48,103.86,80.21,100.76,76.29,71.66,73.35,,27,965,36,27.39,
28.10.22 12:19:02,7.78,90.96,84.81,79.82,91.04,83.61,87.3,92.52,85.09,102.26,97.32,80.32,78.26,86.33,81.96,93.1,87.63,97.94,83.05,103.86,79.77,100.76,76.02,71.39,72.39,,27,965,36,27.39,
28.10.22 12:19:17,8.03,90.68,84.81,79.68,90.75,83.19,86.74,92.08,84.81,102.26,97.17,79.9,77.44,86.04,81.54,92.66,87.05,97.79,82.91,103.71,79.19,100.45,75.88,70.71,71.97,,27,965,36,27.4,
28.10.22 12:19:32,8.28,90.82,84.81,79.54,90.75,83.19,86.6,91.65,84.53,101.95,96.73,79.62,77.17,85.47,81.12,92.37,86.2,97.79,82.49,103.71,79.04,100.3,75.46,70.17,71.01,,27,965,36,27.4,
28.10.22 12:19:47,8.53,90.68,84.95,79.4,90.75,83.05,86.31,91.65,84.39,102.41,96.88,79.34,76.89,85.61,80.7,92.66,86.06,97.64,82.49,103.86,78.75,100.45,75.6,69.9,70.6,,27,965,36,27.4,
28.10.22 12:20:02,8.78,90.39,84.95,79.27,90.18,82.49,86.17,91.36,84.12,101.8,96.58,79.06,76.48,85.04,80.42,92.37,85.49,97.79,82.06,103.71,78.46,100.15,75.18,69.49,70.05,,27,965,36,27.4,
28.10.22 12:20:17,9.03,90.39,84.67,79.13,90.61,82.49,85.61,91.07,83.98,101.95,96.14,78.78,76.35,85.04,80.01,92.23,84.92,97.64,81.78,103.71,78.17,100,74.9,69.35,69.37,,27,965,36,27.41,
28.10.22 12:20:32,9.28,90.1,85.09,78.85,90.03,82.49,85.89,91.22,83.84,102.1,96.14,78.36,75.8,84.89,79.73,92.08,84.78,97.64,81.78,103.86,78.31,100,74.9,68.81,68.82,,27,965,36,27.41,
28.10.22 12:20:47,9.53,89.96,84.81,78.85,90.03,81.94,85.61,90.93,83.43,101.95,95.99,77.81,74.99,84.46,79.03,91.65,84.5,97.5,81.07,103.56,77.87,100,74.63,68.27,68.41,,27,965,36,27.43,
28.10.22 12:21:02,9.78,89.82,84.95,78.58,89.74,81.52,85.61,90.64,83.43,102.26,95.99,77.39,74.85,84.32,78.89,91.5,84.5,97.2,81.21,103.86,78.02,99.7,74.49,68.14,67.87,,27,965,36,27.43,
28.10.22 12:21:17,10.03,89.53,84.67,78.58,89.89,80.82,85.19,90.35,83.01,101.95,95.84,77.11,74.04,83.75,78.2,91.22,84.08,97.2,80.64,103.56,77.73,99.85,73.93,67.47,67.06,,27,965,36,27.43,
28.10.22 12:21:32,10.28,89.39,84.67,78.17,89.31,80.82,84.91,90.21,82.88,101.65,95.55,76.7,73.76,83.46,77.92,90.93,83.93,97.06,80.36,103.71,77.29,99.85,74.07,66.79,66.65,,27,965,36,27.44,
28.10.22 12:21:47,10.53,89.1,84.39,77.9,89.31,80.41,84.49,89.92,82.6,101.5,94.96,76.14,73.36,83.46,77.51,90.64,83.65,96.91,80.08,103.56,77,99.55,73.66,65.99,65.97,,27,965,36,27.46,
28.10.22 12:22:02,10.78,88.82,84.26,77.76,89.02,80.27,84.63,89.92,82.33,101.65,95.11,75.86,72.95,83.18,77.09,90.49,83.51,96.62,79.94,103.71,76.86,99.55,73.66,65.59,65.43,,27,965,36,27.44,
28.10.22 12:22:17,11.03,88.1,83.98,77.49,88.88,80.27,84.35,89.49,82.05,101.35,94.81,75.31,72.68,82.61,76.54,90.06,83.23,96.62,79.52,103.26,76.56,99.55,73.38,65.19,64.76,,27,965,36,27.47,
28.10.22 12:22:32,11.28,88.25,83.98,77.35,88.88,80.41,84.21,89.63,82.05,101.35,94.67,75.17,72.55,82.61,76.54,89.63,83.37,96.62,79.37,103.56,76.56,99.4,73.38,64.66,64.49,,27,965,36,27.47,
28.10.22 12:22:47,11.53,87.96,83.57,76.8,88.73,80.55,83.65,89.06,81.78,101.2,94.37,74.62,72.28,82.18,75.99,89.49,82.81,96.33,79.09,103.56,76.42,99.24,72.97,63.99,63.95,,27,965,36,27.47,
28.10.22 12:23:02,11.78,87.68,83.29,76.12,88.45,80.68,83.37,88.91,81.37,101.2,94.08,74.21,71.88,81.61,75.58,89.34,82.67,96.33,78.81,103.41,76.27,99.09,72.42,63.59,62.88,,27,965,36,27.47,
28.10.22 12:23:17,12.03,87.11,83.57,75.71,87.87,80.68,82.95,88.48,81.09,101.05,93.93,73.38,71.47,81.47,75.03,88.91,82.39,95.89,78.39,103.41,76.13,98.79,72.14,62.93,62.48,,27,965,36,27.47,
28.10.22 12:23:32,12.28,87.25,83.43,75.71,88.16,80.82,82.81,88.48,80.82,101.2,93.79,73.25,71.07,81.19,75.03,88.63,82.39,96.03,78.25,103.56,76.13,98.79,72,62.53,61.95,,27,965,36,27.47,
28.10.22 12:23:47,12.53,86.97,83.15,75.58,88.02,80.96,82.53,88.34,80.96,101.05,93.79,72.83,70.94,81.05,74.48,88.48,82.1,95.6,77.83,103.56,75.98,98.79,71.87,62.53,61.41,,27,965,36,27.5,
28.10.22 12:24:02,12.78,86.4,83.15,75.31,87.87,80.82,82.53,87.91,80.68,101.05,93.79,72.29,70.67,80.62,74.2,88.34,82.1,95.45,77.69,103.41,75.7,98.79,71.73,61.87,61.01,,27,965,36,27.5,
28.10.22 12:24:17,13.03,85.97,83.15,75.17,87.73,81.1,82.11,87.91,80.41,100.9,93.49,71.88,70.27,79.78,73.93,88.05,81.82,95.3,77.55,103.56,75.55,98.94,71.45,61.08,60.35,,27,965,36,27.51,
28.10.22 12:24:32,13.28,85.55,82.88,75.31,87.44,80.96,81.83,87.34,80,100.9,92.91,71.47,69.87,79.49,73.52,87.63,81.68,95.01,76.99,103.26,75.26,98.64,70.9,60.81,59.69,,27,965,36,27.51,
28.10.22 12:24:47,13.53,85.27,82.88,75.04,87.44,81.1,81.56,86.91,79.73,100.45,92.91,70.78,69.73,79.35,73.25,87.2,81.54,95.01,76.71,103.11,74.97,98.79,70.77,60.16,59.16,,27,965,36,27.51,
28.10.22 12:25:02,13.78,84.84,82.6,74.9,86.87,80.96,81.28,86.2,79.32,100.3,92.62,69.83,69.6,78.93,72.7,86.91,81.12,94.58,76.29,103.11,74.83,98.79,70.36,59.63,58.63,,27,965,36,27.51,
28.10.22 12:25:17,14.03,84.7,82.6,74.63,86.73,81.24,80.86,86.2,79.18,100.45,92.62,69.7,69.2,78.51,72.43,86.63,81.26,94.72,76.15,103.41,74.68,98.94,70.22,59.37,58.1,,27,965,36,27.53,
28.10.22 12:25:32,14.28,84,82.05,74.63,86.59,80.96,80.58,85.92,78.91,100,92.18,68.88,68.67,78.23,71.75,86.06,80.7,94.43,75.74,103.11,74.54,98.94,69.54,58.71,57.57,,27,965,36,27.53,
28.10.22 12:25:47,14.53,83.86,82.05,74.49,86.3,81.24,80.45,85.92,78.37,100,92.18,68.34,68.67,78.09,71.89,85.92,80.84,94.43,75.6,103.26,74.54,98.94,69.4,57.8,57.18,,27,965,36,27.54,
28.10.22 12:26:02,14.78,83.3,81.5,74.09,86.02,81.24,80.03,84.92,78.23,99.85,91.89,67.67,68.13,77.39,71.07,85.35,80.29,94.14,75.18,103.11,73.82,98.64,68.99,57.02,56.39,,27,965,36,27.53,
28.10.22 12:26:17,15.03,83.02,81.78,73.95,86.3,81.24,79.89,85.07,78.1,99.85,91.6,67.26,68.27,77.11,70.8,85.21,80.15,94.14,75.32,103.11,73.82,98.94,68.58,56.76,55.87,,27,965,36,27.54,
28.10.22 12:26:32,15.28,82.88,81.23,73.68,86.02,81.24,79.76,85.07,77.96,99.85,91.45,66.86,67.74,76.83,70.26,85.35,80.01,93.56,74.76,103.11,73.67,98.79,68.18,56.5,55.61,,27,965,36,27.53,
28.10.22 12:26:47,15.53,82.46,81.23,73.41,85.59,81.1,79.48,84.64,77.69,99.55,91.02,66.32,67.2,76.27,69.85,84.92,79.59,93.42,74.21,102.96,73.39,98.94,67.9,55.98,54.95,,27,965,36,27.54,
28.10.22 12:27:02,15.78,82.18,80.96,73.41,85.3,80.55,79.48,84.08,77.42,99.55,90.73,65.79,66.94,75.71,69.45,84.92,79.45,93.71,74.07,102.96,73.24,99.09,67.5,55.85,54.3,,27,965,36,27.54,
28.10.22 12:27:17,16.03,82.04,80.41,73.14,85.45,80.27,79.2,83.65,77.01,99.4,90.73,65.25,66.54,75.15,69.05,84.78,79.31,93.27,73.52,102.82,72.81,98.79,67.09,55.46,53.78,,27,965,36,27.55,
28.10.22 12:27:32,16.28,81.76,80,72.87,85.02,79.85,78.79,83.23,76.47,99.1,90.29,64.71,66.15,74.74,68.78,84.36,79.17,93.13,73.1,102.82,72.38,98.79,66.55,55.33,53.26,,27,965,36,27.55,
28.10.22 12:27:47,16.53,81.62,79.73,72.61,85.02,79.44,78.93,83.23,76.47,99.25,90.58,64.31,66.01,74.74,68.51,84.08,79.03,93.13,72.83,102.82,72.38,98.94,66.14,54.82,52.74,,27,965,36,27.55,
28.10.22 12:28:02,16.78,81.2,78.91,71.93,84.73,78.61,78.38,82.67,75.93,98.8,89.71,63.78,65.36,73.91,67.7,83.65,78.62,92.69,72,102.67,71.95,98.64,65.34,54.17,51.97,,27,965,36,27.58,
28.10.22 12:28:17,17.03,81.06,78.64,71.93,84.45,78.61,78.24,82.39,75.93,98.8,89.57,63.25,65.36,73.63,67.3,83.65,78.62,92.55,71.73,102.67,71.95,98.94,64.8,53.78,51.71,,27,965,36,27.55,
28.10.22 12:28:32,17.28,81.2,78.23,71.93,84.31,78.75,77.69,82.24,75.8,98.65,89.57,62.85,64.96,73.35,66.9,83.51,78.48,92.4,71.32,102.67,71.67,98.94,64.53,53.4,51.45,,27,965,36,27.55,
28.10.22 12:28:47,17.53,81.06,78.5,72.07,84.03,78.61,78.1,81.96,75.53,98.65,89.57,62.32,64.96,73.08,66.76,83.79,78.34,92.4,71.18,102.67,71.67,98.79,64.13,52.88,50.93,,27,965,36,27.58,
28.10.22 12:29:02,17.78,81.2,78.23,72.07,83.74,78.33,77.69,81.82,75.67,98.8,89.42,62.05,64.57,72.66,66.36,83.23,78.34,92.26,70.9,102.67,71.52,98.94,63.86,52.76,50.55,,27,965,36,27.58,
28.10.22 12:29:17,18.03,80.78,77.96,71.4,83.88,78.2,77.42,81.54,75.26,98.51,88.99,61.79,64.3,72.39,66.23,82.81,77.92,91.97,70.49,102.52,71.09,98.94,63.32,52.12,49.9,,27,965,36,27.58,
28.10.22 12:29:32,18.28,80.78,77.82,71.13,83.46,78.2,77.42,81.26,74.86,98.06,88.7,61.52,64.3,71.84,65.83,82.39,77.78,91.97,70.08,102.37,70.67,98.79,62.79,51.22,49.52,,27,965,36,27.57,
28.10.22 12:29:47,18.53,80.64,77.69,71.26,83.46,77.78,77.14,81.12,74.73,98.36,88.27,61.39,63.65,71.7,65.43,82.24,77.37,91.83,69.67,102.37,70.67,98.79,62.39,51.09,49.13,,27,965,36,27.58,
28.10.22 12:30:02,18.78,80.64,77.15,71,82.89,77.1,76.87,80.56,74.32,97.91,88.12,60.6,63.26,71.15,64.9,81.82,77.23,91.54,68.99,102.37,70.38,98.64,61.45,50.33,48.49,,27,965,36,27.58,
28.10.22 12:30:17,19.03,80.64,76.88,71.4,83.18,76.96,76.6,80.01,74.06,97.76,87.69,60.34,63.39,71.29,64.9,81.68,77.09,91.4,68.86,102.37,70.24,98.79,61.19,50.07,48.24,,27,965,36,27.58,
28.10.22 12:30:32,19.28,80.23,76.61,71,82.19,76.55,76.32,79.73,73.65,97.61,87.69,59.68,62.86,70.33,64.5,81.12,76.54,91.11,68.45,102.37,69.95,98.64,60.52,49.18,47.6,,27,965,36,27.6,
28.10.22 12:30:47,19.53,80.51,76.61,70.86,82.33,76.41,76.32,79.17,73.52,97.46,87.4,59.42,62.6,70.19,64.5,81.12,76.68,90.96,68.04,102.37,69.81,98.64,59.73,48.93,47.35,,27,965,36,27.6,
28.10.22 12:31:02,19.78,80.37,76.61,70.73,82.47,76.27,76.05,79.17,73.39,97.46,87.55,59.42,62.73,70.19,64.23,81.12,76.68,90.82,67.9,102.37,69.81,98.79,59.6,48.42,46.96,,27,965,36,27.6,
28.10.22 12:31:17,20.03,80.09,76.2,70.59,82.19,76.27,75.78,78.62,73.12,97.17,87.12,58.89,62.6,69.78,64.23,80.98,76.4,90.39,67.36,102.07,69.1,98.34,59.07,48.04,46.46,,27,965,36,27.6,
28.10.22 12:31:32,20.28,79.95,75.67,70.19,81.77,76.27,75.64,78.2,72.72,97.17,86.83,58.63,62.21,69.78,63.97,80.7,75.99,90.25,66.96,102.37,68.96,98.34,58.41,47.29,45.69,,27,965,36,27.61,
28.10.22 12:31:47,20.53,79.95,75.67,69.93,81.63,76.27,75.37,77.92,72.45,97.17,86.69,58.24,61.82,69.1,63.7,80.7,75.99,90.1,66.55,102.07,68.68,98.49,58.01,47.03,45.69,,27,965,36,27.61,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
