Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 14:00:29,4.03,90.66,92.75,88.57,86.35,97.66,80.18,88.94,85.17,90.31,86.81,89.38,95.05,88.02,99.26,89.43,88.03,89.24,94.38,87.1,81.45,100.58,84.74,85.44,92.87,,30,965,36,28.08,
30.10.22 14:00:44,4.28,90.38,92.46,88.29,86.07,97.66,80.05,88.52,84.75,90.31,86.67,89.38,95.05,87.88,99.26,89.29,87.88,89.53,94.22,86.96,81.45,100.88,84.29,85.15,93.02,,30,965,36,28.1,
30.10.22 14:00:59,4.53,90.23,92.46,88.29,86.07,97.81,79.77,88.52,84.61,90.31,86.52,89.24,95.19,87.74,99.26,89.14,87.88,89.53,94.22,86.82,81.01,100.88,84.29,84.87,93.02,,30,965,36,28.11,
30.10.22 14:01:14,4.78,89.95,92.03,88.01,85.93,97.95,79.35,88.23,84.18,89.87,86.24,88.81,95.48,87.31,99.41,88.85,87.73,89.38,93.76,86.4,81.01,101.02,83.83,84.17,92.87,,30,965,36,28.13,
30.10.22 14:01:29,5.03,89.52,91.46,87.72,85.65,97.66,78.93,87.8,83.9,89.73,85.96,88.96,95.34,86.89,99.41,88.71,87.73,89.1,93.6,85.83,80.72,100.88,83.53,83.89,92.87,,30,965,36,28.13,
30.10.22 14:01:44,5.28,89.37,91.32,87.3,85.38,97.37,78.52,87.38,83.47,89.44,85.67,88.53,95.34,86.61,99.41,88.57,87.59,88.81,93.45,84.84,80.28,100.73,82.78,83.19,92.58,,30,965,36,28.16,
30.10.22 14:01:59,5.53,89.09,90.89,87.3,85.38,97.52,78.1,87.23,83.05,89.3,85.11,88.39,95.48,86.32,99.56,88.42,87.73,88.96,93.45,84.7,80.14,101.17,82.33,83.19,92.43,,30,965,36,28.16,
30.10.22 14:02:14,5.78,88.66,90.61,86.87,85.1,97.37,77.69,86.67,82.77,88.72,84.97,87.96,95.48,86.04,99.56,88.13,87.44,88.67,93.29,84,79.71,100.88,82.18,82.63,92.43,,30,965,36,28.17,
30.10.22 14:02:29,6.03,88.52,90.46,86.59,85.1,97.37,77.41,86.38,82.35,88.72,84.54,87.82,95.63,85.76,99.56,88.13,87.44,88.53,93.14,83.58,79.42,100.88,81.88,82.21,92.43,,30,965,36,28.19,
30.10.22 14:02:44,6.28,88.52,90.32,86.45,84.96,97.52,77.41,86.38,82.49,88.72,84.26,87.82,95.77,85.48,99.85,88.13,87.44,88.53,93.29,82.87,79.42,101.32,81.88,82.07,92.58,,30,965,36,28.21,
30.10.22 14:02:59,6.53,88.09,90.04,86.03,84.41,97.37,77,86.1,82.07,88.43,83.56,87.39,95.48,85.34,99.71,87.85,87.29,88.24,92.83,82.32,78.84,101.17,81.29,81.52,92.43,,30,965,36,28.23,
