Measurement Name :,20221029_SDR641_cohort20221021_HOT_WT,,Generated On :,"29/10/2022, 15:21:18",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"29/10/2022, 14:52:27",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"29/10/2022, 15:20:56",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,27, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.87,46.64,46.68,47.79,46.76,46.69,46.75,46.71,46.81,46.78,46.95,46.76,46.78,46.71,46.72,46.82,46.62,46.9,46.78,47.21,46.84,46.98,46.77,46.54,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
29.10.22 14:52:29,0.03,96.2,103.91,96.12,97.12,93.41,84.75,89.88,85.44,102.75,89.56,101.24,86.66,97.58,84.72,89.77,94.12,102.09,93.01,92.06,98.26,75.18,76.09,78.47,65.57,,27,965,36,25.48,
29.10.22 14:52:44,0.28,96.2,104.06,96.12,96.95,93.71,84.61,89.74,84.86,102.9,89.27,101.55,86.08,97.73,84.57,89.48,94.27,102.39,92.86,91.77,98.26,74.9,74.94,78.33,65.18,,27,965,36,25.51,
29.10.22 14:53:00,0.55,96.35,104.21,95.83,97.12,93.56,84.32,89.74,84.43,102.9,89.41,101.24,85.65,98.04,84.57,89.48,94.27,102.69,92.71,91.77,98.26,74.47,73.79,78.04,64.65,,27,965,36,25.51,
29.10.22 14:53:15,0.8,96.5,104.36,95.83,97.29,93.86,84.18,89.59,84,103.21,89.12,101.39,85.5,97.73,84.43,89.04,94.57,102.54,92.86,91.62,98.26,74.47,73.22,77.9,64.38,,27,965,36,25.54,
29.10.22 14:53:30,1.05,96.65,104.36,95.83,97.12,94.01,84.18,89.45,83.57,103.36,89.27,101.55,85.21,97.89,84.43,88.9,94.42,102.54,92.56,91.47,98.1,74.33,72.5,77.9,63.72,,27,965,36,25.58,
29.10.22 14:53:45,1.3,96.65,104.66,95.68,96.78,93.86,84.03,89.45,83.43,103.67,88.97,101.86,85.07,98.19,84.57,89.19,94.57,102.69,92.86,91.47,98.57,74.47,72.5,78.04,63.2,,27,965,36,25.61,
29.10.22 14:54:00,1.55,96.65,104.51,95.53,96.27,93.86,84.03,89.15,82.86,103.52,88.97,101.86,84.64,98.04,84,88.9,94.57,102.84,92.86,91.33,98.41,74.19,71.79,77.62,62.93,,27,965,36,25.61,
29.10.22 14:54:15,1.8,96.65,104.81,95.38,95.93,93.86,83.61,89.15,82.71,103.67,88.68,101.86,84.06,98.04,84.29,88.6,94.72,102.84,92.26,91.33,98.41,74.19,71.36,77.34,62.67,,27,965,36,25.64,
29.10.22 14:54:30,2.05,96.5,104.81,95.24,95.43,93.56,83.46,89.15,82.71,103.98,88.83,101.7,83.77,98.19,84.14,88.75,94.87,102.99,92.11,91.33,98.1,74.33,71.08,77.19,62.28,,27,965,36,25.65,
29.10.22 14:54:45,2.3,96.65,104.97,95.09,95.43,93.56,83.32,89.01,82.57,103.82,88.68,101.7,83.2,98.04,84.14,88.75,94.87,102.84,91.96,91.33,98.41,74.33,70.65,77.19,62.28,,27,965,36,25.68,
29.10.22 14:55:00,2.55,96.65,104.97,94.65,95.09,93.12,82.89,88.71,82.71,103.67,88.53,101.86,83.05,97.89,83.71,88.17,94.72,103.15,91.66,90.88,97.94,74.61,69.95,76.91,62.15,,27,965,36,25.69,
29.10.22 14:55:15,2.8,96.5,104.97,94.65,94.59,93.26,82.61,88.86,82.57,103.98,88.09,101.55,82.62,97.73,83.43,88.17,94.87,102.99,91.36,90.88,97.78,74.19,69.24,76.49,61.62,,27,965,36,25.72,
29.10.22 14:55:30,3.05,96.65,105.27,94.79,94.42,93.12,82.75,88.86,82.57,104.13,88.24,102.01,82.91,98.19,83.29,87.88,94.72,103.15,91.36,90.88,97.78,74.33,68.96,76.35,61.75,,27,965,36,25.72,
29.10.22 14:55:45,3.3,96.2,105.27,94.5,94.25,92.82,82.47,88.42,82.57,104.13,88.09,101.86,82.62,98.04,82.86,87.73,94.72,102.84,91.36,90.88,97.94,74.33,68.25,76.07,61.23,,27,965,36,25.74,
29.10.22 14:56:00,3.55,96.2,105.12,94.06,93.92,92.52,81.9,87.99,82.57,103.98,87.8,101.86,82.19,98.04,82.71,87.73,94.57,102.84,91.21,90.74,97.47,73.91,67.55,75.64,60.71,,27,965,36,25.76,
29.10.22 14:56:15,3.8,95.89,105.27,94.2,94.09,92.97,81.76,87.84,82.57,104.28,87.66,101.86,81.76,98.19,82.14,87.59,94.42,102.99,90.91,91.03,97.31,74.05,67.27,75.5,60.71,,27,965,36,25.78,
29.10.22 14:56:30,4.05,95.44,105.12,93.76,93.92,92.38,81.19,87.55,82.29,104.13,87.51,101.86,81.19,97.73,81.86,87.3,94.12,102.69,90.76,90.59,97.47,73.91,66.42,75.36,60.19,,27,965,36,25.79,
29.10.22 14:56:45,4.3,95.44,105.27,93.61,94.25,92.38,81.05,87.55,82.14,104.44,87.36,102.01,80.91,98.04,81.72,87.15,94.12,102.84,90.91,90.59,97.31,73.91,65.72,75.22,60.19,,27,965,36,25.79,
29.10.22 14:57:00,4.55,95.44,105.27,93.17,93.92,92.38,80.91,87.26,82,104.13,87.07,101.86,80.34,97.73,81.43,86.86,93.82,102.84,90.76,90.44,97.15,72.36,65.03,74.8,59.8,,27,965,36,25.82,
29.10.22 14:57:15,4.8,95.14,105.57,93.03,93.75,92.08,81.05,86.97,82,104.28,86.93,101.7,80.05,97.58,81.01,86.86,93.82,102.84,90.76,90.44,96.99,71.8,64.61,74.66,59.93,,27,965,36,25.83,
29.10.22 14:57:30,5.05,95.14,105.57,92.88,93.75,91.79,81.19,86.97,81.86,104.44,87.07,101.55,79.63,97.43,80.87,86.72,93.82,102.69,90.62,90.59,96.68,71.66,63.91,74.66,59.28,,27,965,36,25.83,
29.10.22 14:57:45,5.3,94.69,105.42,92.29,93.08,91.93,81.05,86.53,81.58,104.44,86.49,101.7,79.06,97.28,80.3,86.14,93.67,102.54,90.62,90.29,96.68,71.24,63.22,74.1,58.63,,27,965,36,25.85,
29.10.22 14:58:00,5.55,94.54,105.42,91.85,93.08,91.34,80.76,86.24,81.43,104.44,86.2,101.39,78.77,97.43,80.02,86,93.37,102.24,90.47,90.15,96.84,71.1,62.25,73.96,58.11,,27,965,36,25.86,
29.10.22 14:58:15,5.8,94.24,105.73,91.85,92.58,91.34,80.62,85.95,81.43,104.59,86.34,101.55,78.35,97.28,79.73,86,93.52,102.54,90.32,90,96.52,70.68,61.83,73.96,57.59,,27,965,36,25.89,
29.10.22 14:58:30,6.05,94.09,105.57,91.85,92.08,90.9,80.34,85.66,81.43,104.44,86.2,101.55,77.78,96.98,79.31,85.28,93.37,102.54,90.17,90.15,96.21,70.12,61,73.54,57.33,,27,965,36,25.9,
29.10.22 14:58:45,6.3,93.93,105.57,92,92.08,91.2,80.2,85.66,81.43,104.59,86.05,101.39,77.5,97.28,79.45,84.7,93.37,102.39,90.32,89.85,96.05,69.43,60.59,73.13,56.95,,27,965,36,25.9,
29.10.22 14:59:00,6.55,93.78,105.73,92,91.75,90.75,79.92,85.23,81.29,104.75,85.91,101.39,77.08,97.13,79.17,83.98,93.07,102.54,90.32,89.71,95.74,68.18,58.8,73.13,56.56,,27,965,36,25.91,
29.10.22 14:59:15,6.8,93.48,105.73,91.71,91.41,90.31,79.63,84.65,81.15,104.59,85.18,101.39,76.66,96.68,78.6,83.7,92.77,102.39,90.17,89.27,95.74,67.49,57.16,72.85,56.17,,27,965,36,25.93,
29.10.22 14:59:30,7.05,93.63,105.88,91.56,91.25,90.61,79.92,84.37,81.15,104.59,85.47,101.39,76.66,96.98,78.6,83.7,92.48,102.39,90.17,89.12,95.58,67.35,56.21,72.57,56.04,,27,965,36,25.93,
29.10.22 14:59:45,7.3,93.48,105.57,91.42,90.58,90.46,79.63,84.08,80.87,104.75,85.18,101.08,76.09,96.83,78.18,83.27,92.33,101.94,90.17,88.68,95.27,66.8,55.67,72.43,55.53,,27,965,36,25.96,
29.10.22 15:00:00,7.55,93.33,105.73,91.27,90.25,90.02,79.35,83.93,80.58,104.9,85.18,101.08,75.53,96.68,78.32,83.13,92.18,102.09,89.87,88.53,95.27,66.11,55.26,71.87,55.53,,27,965,36,25.96,
29.10.22 15:00:15,7.8,93.18,105.88,91.12,89.59,89.87,78.65,83.5,80.44,104.9,84.89,101.08,75.25,96.38,77.9,82.84,92.18,101.94,90.02,88.09,94.95,65.7,54.99,71.6,55.4,,27,965,36,25.97,
29.10.22 15:00:30,8.05,93.03,105.88,91.12,89.42,89.58,78.23,83.36,80.3,104.59,84.6,100.93,74.97,96.23,77.48,82.41,92.03,101.79,89.87,87.95,94.8,65.42,54.72,71.32,55.27,,27,965,36,25.97,
29.10.22 15:00:45,8.3,93.18,105.88,90.83,88.92,89.73,78.09,83.22,80.44,104.75,83.88,100.77,74.69,96.38,77.2,82.41,91.88,102.09,89.87,88.24,94.95,65.01,54.32,71.18,55.15,,27,965,36,26,
29.10.22 15:01:00,8.55,92.88,105.73,90.98,88.43,89.29,77.67,83.22,80.02,104.75,83.74,101.08,74.27,96.38,76.92,82.13,91.73,101.94,89.87,87.95,94.48,65.01,53.77,71.04,55.02,,27,965,36,26.01,
29.10.22 15:01:15,8.8,92.59,105.73,90.83,88.1,88.7,77.25,82.93,79.73,104.75,83.31,100.46,73.85,96.08,76.5,81.7,91.44,101.64,89.72,87.51,94.48,64.46,53.1,70.49,54.63,,27,965,36,26.01,
29.10.22 15:01:30,9.05,92.44,105.88,90.83,87.27,88.41,76.83,82.64,79.59,104.59,83.16,100.46,73.71,95.93,76.36,81.7,91.14,101.64,89.57,87.51,94.17,64.32,52.56,70.35,54.38,,27,965,36,26.03,
29.10.22 15:01:45,9.3,92.29,106.03,90.98,87.11,88.26,76.69,82.36,79.31,104.9,83.02,100.62,73.43,96.08,76.36,81.56,91.14,101.79,89.57,87.51,94.33,64.05,52.43,70.07,54.25,,27,965,36,26.04,
29.10.22 15:02:00,9.55,92.44,106.03,90.54,86.45,88.12,76.27,82.07,79.31,104.9,82.44,100.46,72.88,95.78,76.08,81.13,90.7,101.49,89.72,87.36,94.01,64.05,51.76,69.8,54.12,,27,965,36,26.04,
29.10.22 15:02:15,9.8,92.14,106.03,90.4,85.79,88.12,75.71,81.78,78.89,104.9,82.16,100.62,72.46,95.78,75.8,80.85,90.4,101.49,89.42,87.07,93.86,63.37,51.49,69.66,54.12,,27,965,36,26.07,
29.10.22 15:02:30,10.05,91.99,106.03,90.4,85.3,87.83,75.71,81.5,78.6,105.06,81.87,100.46,72.04,95.33,75.24,80.28,90.1,101.19,89.13,86.64,93.39,63.23,50.95,69.24,53.74,,27,965,36,26.08,
29.10.22 15:02:45,10.3,92.14,106.18,90.4,84.97,87.83,75.57,81.21,78.46,105.21,81.58,100.31,72.18,95.48,74.96,80.28,90.25,101.64,89.27,86.78,93.86,62.82,50.55,69.24,53.36,,27,965,36,26.08,
29.10.22 15:03:00,10.55,91.99,106.33,90.4,84.97,87.97,75.43,81.07,78.32,105.06,81.44,100.46,71.76,95.63,74.96,80.28,90.25,101.49,89.13,86.64,93.23,62.69,50.02,69.24,53.36,,27,965,36,26.1,
29.10.22 15:03:15,10.8,91.99,106.18,89.81,84.16,87.83,75.15,80.5,77.9,105.06,81.15,100.15,71.63,95.19,74.13,79.71,89.96,101.05,88.83,86.2,93.23,61.87,49.62,68.69,52.97,,27,965,36,26.11,
29.10.22 15:03:30,11.05,91.99,106.33,89.81,83.67,87.39,74.6,80.07,77.76,105.21,80.87,100.15,71.21,95.33,73.71,79.85,89.96,101.19,88.38,85.91,93.23,62.01,49.89,68.83,52.59,,27,965,36,26.11,
29.10.22 15:03:45,11.3,92.14,106.33,89.67,83.34,87.39,74.46,79.65,77.34,104.9,80.87,100.15,70.79,95.04,73.43,79.43,89.81,101.19,88.53,85.76,92.77,61.6,50.15,68.56,52.34,,27,965,36,26.11,
29.10.22 15:04:00,11.55,91.84,106.33,89.67,82.85,87.25,74.18,79.22,77.06,105.06,80.72,100.15,70.24,95.04,73.02,78.86,89.22,101.05,88.38,85.47,92.77,61.19,49.89,68.14,52.21,,27,965,36,26.13,
29.10.22 15:04:15,11.8,91.69,106.18,89.23,81.87,86.81,73.77,78.8,76.64,104.9,80.15,99.85,70.1,94.89,72.74,78.58,88.78,100.9,88.09,85.47,92.46,60.38,49.49,67.87,51.83,,27,965,36,26.14,
29.10.22 15:04:30,12.05,91.84,106.33,89.38,82.04,86.81,73.77,78.8,76.78,105.21,79.72,99.85,69.83,95.04,72.47,78.3,88.92,101.05,87.94,85.18,92.46,60.38,49.49,67.73,51.58,,27,965,36,26.15,
29.10.22 15:04:45,12.3,91.84,106.18,89.38,81.23,86.66,73.63,78.09,76.22,105.21,79.72,99.85,69.28,94.59,72.05,78.16,88.48,100.9,87.5,84.89,91.99,59.57,49.09,67.6,51.07,,27,965,36,26.15,
29.10.22 15:05:00,12.55,91.54,106.49,89.09,80.9,86.66,73.21,77.67,75.94,105.06,79.16,99.85,69,94.59,71.78,77.88,88.48,100.6,87.5,84.75,92.15,59.43,48.95,67.18,50.56,,27,965,36,26.16,
29.10.22 15:05:15,12.8,91.39,106.18,88.94,80.58,86.52,72.94,77.24,75.66,105.06,79.16,99.54,68.59,94.44,71.5,77.6,88.34,100.45,87.05,84.46,91.68,58.9,48.69,67.05,50.19,,27,965,36,26.18,
