date_collection,coral_species,treatment,tag_color,fragment_ID,colony_ID,genotype,site,timepoint,tank_num,coral_tree_tag_ID,notes
20220319,Acropora,ambient,blue,ACR1_6,ACR1,1,Mahana,extra,17,ACR1_6,
20220319,Acropora,ambient,blue,ACR1_7,ACR1,1,Mahana,extra,17,ACR1_7,
20220319,Acropora,ambient,blue,ACR10_6,ACR10,10,Mahana,extra,5,ACR10_6,
20220319,Acropora,ambient,blue,ACR10_7,ACR10,10,Mahana,extra,5,ACR10_7,
20220319,Acropora,ambient,blue,ACR11_6,ACR11,11,Mahana,extra,1,ACR11_6,
20220319,Acropora,ambient,blue,ACR11_7,ACR11,11,Mahana,extra,1,ACR11_7,
20220319,Acropora,ambient,blue,ACR12_6,ACR12,12,Mahana,extra,11,ACR12_6,
20220319,Acropora,ambient,blue,ACR12_7,ACR12,12,Mahana,extra,11,ACR12_7,
20220319,Acropora,hot,red,ACR13_6,ACR13,1,Mahana,extra,10,ACR13_6,
20220319,Acropora,hot,red,ACR13_7,ACR13,1,Mahana,extra,10,ACR13_7,
20220319,Acropora,hot,red,ACR14_6,ACR14,2,Mahana,extra,8,ACR14_6,
20220319,Acropora,hot,red,ACR14_7,ACR14,2,Mahana,extra,8,ACR14_7,
20220319,Acropora,hot,red,ACR15_6,ACR15,3,Mahana,extra,20,ACR15_6,
20220319,Acropora,hot,red,ACR15_7,ACR15,3,Mahana,extra,20,ACR15_7,
20220319,Acropora,hot,red,ACR16_6,ACR16,4,Mahana,extra,18,ACR16_6,
20220319,Acropora,hot,red,ACR16_7,ACR16,4,Mahana,extra,18,ACR16_7,
20220319,Acropora,hot,red,ACR17_6,ACR17,5,Mahana,extra,4,ACR17_6,
20220319,Acropora,hot,red,ACR17_7,ACR17,5,Mahana,extra,4,ACR17_7,
20220319,Acropora,hot,red,ACR18_7,ACR18,6,Mahana,extra,22,ACR18_7,
20220319,Acropora,hot,red,ACR19_6,ACR19,7,Mahana,extra,16,ACR19_6,
20220319,Acropora,hot,red,ACR19_7,ACR19,7,Mahana,extra,16,ACR19_7,
20220319,Acropora,ambient,blue,ACR2_6,ACR2,2,Mahana,extra,14,ACR2_6,
20220319,Acropora,ambient,blue,ACR2_7,ACR2,2,Mahana,extra,14,ACR2_7,
20220319,Acropora,hot,red,ACR20_6,ACR20,8,Mahana,extra,2,ACR20_6,
20220319,Acropora,hot,red,ACR20_7,ACR20,8,Mahana,extra,2,ACR20_7,
20220319,Acropora,hot,red,ACR21_6,ACR21,9,Mahana,extra,15,ACR21_6,
20220319,Acropora,hot,red,ACR21_7,ACR21,9,Mahana,extra,15,ACR21_7,
20220319,Acropora,hot,red,ACR22_6,ACR22,10,Mahana,extra,12,ACR22_6,
20220319,Acropora,hot,red,ACR22_7,ACR22,10,Mahana,extra,12,ACR22_7,
20220319,Acropora,hot,red,ACR23_6,ACR23,11,Mahana,extra,23,ACR23_6,
20220319,Acropora,hot,red,ACR23_7,ACR23,11,Mahana,extra,23,ACR23_7,
20220319,Acropora,hot,red,ACR24_6,ACR24,12,Mahana,extra,6,ACR24_6,
20220319,Acropora,hot,red,ACR24_7,ACR24,12,Mahana,extra,6,ACR24_7,
20220319,Acropora,ambient,blue,ACR3_6,ACR3,3,Mahana,extra,7,ACR3_6,
20220319,Acropora,ambient,blue,ACR3_7,ACR3,3,Mahana,extra,7,ACR3_7,
20220319,Acropora,ambient,blue,ACR4_6,ACR4,4,Mahana,extra,24,ACR4_6,
20220319,Acropora,ambient,blue,ACR4_7,ACR4,4,Mahana,extra,24,ACR4_7,
20220319,Acropora,ambient,blue,ACR5_6,ACR5,5,Mahana,extra,13,ACR5_6,
20220319,Acropora,ambient,blue,ACR5_7,ACR5,5,Mahana,extra,13,ACR5_7,
20220319,Acropora,ambient,blue,ACR6_6,ACR6,6,Mahana,extra,9,ACR6_6,
20220319,Acropora,ambient,blue,ACR6_7,ACR6,6,Mahana,extra,9,ACR6_7,
20220319,Acropora,ambient,blue,ACR7_6,ACR7,7,Mahana,extra,3,ACR7_6,
20220319,Acropora,ambient,blue,ACR7_7,ACR7,7,Mahana,extra,3,ACR7_7,
20220319,Acropora,ambient,blue,ACR8_6,ACR8,8,Mahana,extra,19,ACR8_6,
20220319,Acropora,ambient,blue,ACR8_7,ACR8,8,Mahana,extra,19,ACR8_7,
20220319,Acropora,ambient,blue,ACR9_6,ACR9,9,Mahana,extra,21,ACR9_6,
20220319,Acropora,ambient,blue,ACR9_7,ACR9,9,Mahana,extra,21,ACR9_7,
