site,Date,Time,reef.type,temp
Tanks,3/26/19,4:20,tanks,29.3
Tanks,3/26/19,4:40,tanks,29.4
Tanks,3/26/19,5:00,tanks,29.4
Tanks,3/26/19,5:20,tanks,29.4
Tanks,3/26/19,5:40,tanks,29.4
Tanks,3/26/19,6:00,tanks,29.4
Tanks,3/26/19,6:20,tanks,29.4
Tanks,3/26/19,6:40,tanks,29.4
Tanks,3/26/19,7:00,tanks,29.4
Tanks,3/26/19,7:20,tanks,29.4
Tanks,3/26/19,7:40,tanks,29.4
Tanks,3/26/19,8:00,tanks,29.5
Tanks,3/26/19,8:20,tanks,29.5
Tanks,3/26/19,8:40,tanks,29.5
Tanks,3/26/19,9:00,tanks,29.5
Tanks,3/26/19,9:20,tanks,29.5
Tanks,3/26/19,9:40,tanks,29.5
Tanks,3/26/19,10:00,tanks,29.6
Tanks,3/26/19,10:20,tanks,29.6
Tanks,3/26/19,10:40,tanks,29.6
Tanks,3/26/19,11:00,tanks,29.6
Tanks,3/26/19,11:20,tanks,29.6
Tanks,3/26/19,11:40,tanks,29.7
Tanks,3/26/19,12:00,tanks,29.7
Tanks,3/26/19,12:20,tanks,29.7
Tanks,3/26/19,12:40,tanks,29.8
Tanks,3/26/19,13:00,tanks,29.8
Tanks,3/26/19,13:20,tanks,29.8
Tanks,3/26/19,13:40,tanks,29.8
Tanks,3/26/19,14:00,tanks,29.8
Tanks,3/26/19,14:20,tanks,29.8
Tanks,3/26/19,14:40,tanks,29.7
Tanks,3/26/19,15:00,tanks,29.7
Tanks,3/26/19,15:20,tanks,29.7
Tanks,3/26/19,15:40,tanks,29.7
Tanks,3/26/19,16:00,tanks,29.7
Tanks,3/26/19,16:20,tanks,29.6
Tanks,3/26/19,16:40,tanks,29.6
Tanks,3/26/19,17:00,tanks,29.6
Tanks,3/26/19,17:20,tanks,29.6
Tanks,3/26/19,17:40,tanks,29.6
Tanks,3/26/19,18:00,tanks,29.6
Tanks,3/26/19,18:20,tanks,29.6
Tanks,3/26/19,18:40,tanks,29.5
Tanks,3/26/19,19:00,tanks,29.5
Tanks,3/26/19,19:20,tanks,29.5
