name	term	lev	seq	value
"multicellular organismal process"	GO:0032501	1	TRINITY_DN63188_c0_g1	-0.0720238418185872
"multicellular organismal process"	GO:0032501	1	TRINITY_DN6394_c0_g1	0.280033232029752
"multicellular organismal process"	GO:0032501	1	TRINITY_DN64358_c0_g1	1.08592432613216
"multicellular organismal process"	GO:0032501	1	TRINITY_DN65436_c0_g1	0.776473306888589
"multicellular organismal process"	GO:0032501	1	TRINITY_DN7076_c0_g4	0.457087455090089
"multicellular organismal process"	GO:0032501	1	TRINITY_DN7245_c1_g1	3.3400465004891
"multicellular organismal process"	GO:0032501	1	TRINITY_DN72791_c0_g1	-0.015773802814307
"multicellular organismal process"	GO:0032501	1	TRINITY_DN74060_c0_g1	0.56350431936749
"multicellular organismal process"	GO:0032501	1	TRINITY_DN770_c1_g1	-0.824143577563371
"multicellular organismal process"	GO:0032501	1	TRINITY_DN77102_c0_g1	1.43871439329145
"multicellular organismal process"	GO:0032501	1	TRINITY_DN7779_c0_g3	0.216087288678255
"multicellular organismal process"	GO:0032501	1	TRINITY_DN86808_c0_g1	-0.428952597971319
"multicellular organismal process"	GO:0032501	1	TRINITY_DN886_c0_g1	0.537371145511985
"multicellular organismal process"	GO:0032501	1	TRINITY_DN9072_c1_g2	0.129157652167808
"multicellular organismal process"	GO:0032501	1	TRINITY_DN9282_c0_g1	-0.681876343332188
"autophagosome assembly"	GO:0000045;GO:1905037	2	TRINITY_DN101835_c0_g1	-0.084940298900852
"autophagosome assembly"	GO:0000045;GO:1905037	2	TRINITY_DN48917_c0_g1	-1.06440756452329
"protein glycosylation"	GO:0006487;GO:0006486;GO:0043413;GO:0070085	5	TRINITY_DN10044_c0_g1	0.335941848305512
"mitochondrial respiratory chain complex I assembly"	GO:0032981;GO:0010257	4	TRINITY_DN27764_c0_g1	-0.468396416424854
"mitochondrial respiratory chain complex I assembly"	GO:0032981;GO:0010257	4	TRINITY_DN30237_c0_g1	0.217890782162239
"GPI anchor biosynthetic process"	GO:0006506;GO:0006497;GO:0006505;GO:0006661;GO:0009247;GO:0006664;GO:0046488;GO:0046474;GO:0046467;GO:1901137;GO:0006643;GO:1903509;GO:0006650;GO:0008654;GO:0045017;GO:0008610;GO:1901135;GO:0006644;GO:0046486;GO:0090407;GO:0006796;GO:0019637;GO:0006793	6	TRINITY_DN7146_c1_g1	-0.730565935424169
"cytoplasmic translation"	GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:1901566;GO:0043603	3	TRINITY_DN4847_c0_g1	-0.528456246274266
"regulation of cell communication"	GO:0009966;GO:0010646	3	TRINITY_DN37886_c0_g1	-0.345528098120747
"regulation of cell communication"	GO:0009966;GO:0010646	3	TRINITY_DN7832_c0_g1	-0.10717899084916
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN103634_c0_g1	-0.653874168037627
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN111144_c0_g1	-0.757630655259141
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN13785_c0_g1	-0.0269870236084734
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN19823_c0_g2	-0.387928583714682
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN24004_c0_g1	0.354811881261347
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN24646_c2_g1	0.0974648923289287
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN28074_c0_g2	-0.428901785504251
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN2842_c3_g1	-0.480435671757689
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN3301_c0_g1	-0.427793796971306
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN3550_c0_g1	0.245889064681077
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN39373_c0_g1	-0.952338257819802
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN54_c0_g1	-0.817550465900984
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN8187_c0_g1	-1.45807963747812
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN8194_c0_g1	0.152238868996816
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN26860_c0_g1	-0.1256467667088
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN1790_c0_g1	-0.226897665309557
"localization"	GO:0006810;GO:0051234;GO:0051179	2	TRINITY_DN5212_c0_g1	-0.0804473607416516
"response to hypoxia"	GO:0001666;GO:0036293;GO:0070482;GO:0009628	3	TRINITY_DN11342_c0_g1	0.215638403931583
"response to hypoxia"	GO:0001666;GO:0036293;GO:0070482;GO:0009628	3	TRINITY_DN225721_c0_g1	0.342622906031521
"response to hypoxia"	GO:0001666;GO:0036293;GO:0070482;GO:0009628	3	TRINITY_DN255754_c0_g3	0.518717881289753
"RNA splicing, via transesterification reactions"	GO:0000375;GO:0008380	8	TRINITY_DN17365_c0_g1	0.0830289041085035
"RNA splicing, via transesterification reactions"	GO:0000375;GO:0008380	8	TRINITY_DN3277_c0_g1	0.462397615267707
"RNA splicing, via transesterification reactions"	GO:0000375;GO:0008380	8	TRINITY_DN3454_c0_g1	0.327351119928182
"RNA splicing, via transesterification reactions"	GO:0000375;GO:0008380	8	TRINITY_DN6936_c0_g1	0.688121188791322
"RNA splicing, via transesterification reactions"	GO:0000375;GO:0008380	8	TRINITY_DN7687_c0_g1	-0.177884849913948
"cell differentiation"	GO:0030154	3	TRINITY_DN1202_c0_g1	-0.562940286464569
"cell differentiation"	GO:0030154	3	TRINITY_DN42676_c0_g1	-0.486987515321459
"cell differentiation"	GO:0030154	3	TRINITY_DN5535_c0_g1	0.318004570980987
"protein maturation"	GO:0016540;GO:0016485;GO:0051604	3	TRINITY_DN13310_c0_g1	-0.402741015653456
"ameboidal-type cell migration"	GO:0001667	2	TRINITY_DN16663_c0_g1	-0.88932639119071
"ameboidal-type cell migration"	GO:0001667	2	TRINITY_DN16703_c0_g1	0.468760159991232
"retinoid metabolic process"	GO:0001523;GO:0016101;GO:0006721;GO:0006720	3	TRINITY_DN46489_c0_g2	-1.12289421799953
"retinoid metabolic process"	GO:0001523;GO:0016101;GO:0006721;GO:0006720	3	TRINITY_DN74422_c0_g1	-0.511297533784279
"proteolysis"	GO:0006508	2	TRINITY_DN13310_c0_g1	-0.402741015653456
"proteolysis"	GO:0006508	2	TRINITY_DN65831_c0_g1	0.455169484018137
"cell division"	GO:0051301	2	TRINITY_DN2775_c1_g1	-0.0628495014970848
"cell division"	GO:0051301	2	TRINITY_DN30286_c0_g1	-0.237968788825874
"cell division"	GO:0051301	2	TRINITY_DN43904_c0_g1	-0.370950217986446
"cell division"	GO:0051301	2	TRINITY_DN5975_c0_g1	0.188951466403514
"cell division"	GO:0051301	2	TRINITY_DN64664_c0_g1	-0.822691550541182
"cell division"	GO:0051301	2	TRINITY_DN6497_c0_g1	-0.0541483450842015
"cell migration"	GO:0016477;GO:0048870;GO:0040011	2	TRINITY_DN11227_c0_g1	-0.432181458755263
"cell migration"	GO:0016477;GO:0048870;GO:0040011	2	TRINITY_DN16663_c0_g1	-0.88932639119071
"cell migration"	GO:0016477;GO:0048870;GO:0040011	2	TRINITY_DN16703_c0_g1	0.468760159991232
"cell migration"	GO:0016477;GO:0048870;GO:0040011	2	TRINITY_DN47271_c1_g1	0.451264467208211
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN10044_c0_g1	0.335941848305512
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN104316_c0_g1	0.312479233769591
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN10644_c0_g1	-0.550650085933967
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN1066_c0_g1	-0.0476217581765789
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN114995_c0_g1	1.01945919469912
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN11877_c1_g1	-0.278867179307608
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN128675_c0_g1	-0.419751152715229
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN129197_c0_g2	-0.308786285224806
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN13097_c0_g1	0.719631481065508
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN13310_c0_g1	-0.402741015653456
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN13368_c0_g1	-0.146249495676243
