Pan.ID,fragment_ID,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
12,ACR1_5,Host,TP5,0.3138,0.38013,0.36921
210,ACR2_5,Host,TP5,0.33888,0.404,0.39332
164,ACR3_5,Host,TP5,0.26895,0.3396,0.3265
226,ACR4_5,Host,TP5,0.2858,0.3499,0.33796
204,ACR5_5,Host,TP5,0.31482,0.38242,0.37099
191,ACR6_5,Host,TP5,0.30276,0.37482,0.36045
217,ACR7_5,Host,TP5,0.33261,0.39792,0.3836
4,ACR8_5,Host,TP5,0.34031,0.40463,0.39386
83,ACR9_5,Host,TP5,0.25126,0.32303,0.30692
181,ACR10_5,Host,TP5,0.30561,0.37096,0.36171
16,ACR11_5,Host,TP5,0.32066,0.38925,0.37653
156,ACR12_5,Host,TP5,0.29227,0.3527,0.34509
10,ACR13_5,Host,TP5,0.30027,0.35867,0.3498
168,ACR14_5,Host,TP5,0.28322,0.34733,0.3389
79,ACR15_5,Host,TP5,0.25576,0.32558,0.3193
224,ACR16_5,Host,TP5,0.28382,0.34112,0.33297
116,ACR17_5,Host,TP5,0.25833,0.32432,0.32111
72,ACR18_5,Host,TP5,0.2779,0.34806,0.33989
149,ACR19_5,Host,TP5,0.32516,0.39086,0.38776
173,ACR20_5,Host,TP5,0.30236,0.36825,0.35885
177,ACR21_5,Host,TP5,0.30506,0.36716,0.359
76,ACR22_5,Host,TP5,0.2616,0.32532,0.31586
153,ACR23_5,Host,TP5,0.31006,0.37648,0.37201
193,ACR24_5,Host,TP5,0.315,0.3446,0.33782
201,ACR1_5,Sym,TP5,0.32472,0.34361,0.33757
208,ACR2_5,Sym,TP5,0.2749,0.29336,0.28779
231,ACR3_5,Sym,TP5,0.31031,0.33533,0.32502
17,ACR4_5,Sym,TP5,0.2977,0.32065,0.31334
81,ACR5_5,Sym,TP5,0.2659,0.28559,0.27977
167,ACR6_5,Sym,TP5,0.30074,0.32311,0.3156
205,ACR7_5,Sym,TP5,0.29737,0.31561,0.31115
74,ACR8_5,Sym,TP5,0.26277,0.28106,0.27476
45,ACR9_5,Sym,TP5,0.27715,0.29751,0.29123
7,ACR10_5,Sym,TP5,0.3356,0.3554,0.34911
155,ACR11_5,Sym,TP5,0.27887,0.29896,0.29302
112,ACR12_5,Sym,TP5,0.3299,0.3462,0.34041
84,ACR13_5,Sym,TP5,0.27843,0.29764,0.29517
202,ACR14_5,Sym,TP5,0.32146,0.3378,0.3348
70,ACR15_5,Sym,TP5,0.28744,0.33625,0.33216
154,ACR16_5,Sym,TP5,0.31507,0.3323,0.32865
232,ACR17_5,Sym,TP5,0.281,0.29991,0.29573
213,ACR18_5,Sym,TP5,0.32874,0.34897,0.34471
103,ACR19_5,Sym,TP5,0.24803,0.26671,0.26363
102,ACR20_5,Sym,TP5,0.2583,0.27955,0.27772
38,ACR21_5,Sym,TP5,0.24343,0.2597,0.25785
24,ACR22_5,Sym,TP5,0.33069,0.35316,0.34871
161,ACR23_5,Sym,TP5,0.27732,0.29733,0.2927
163,ACR24_5,Sym,TP5,0.28293,0.30561,0.29923
