fragment_ID,timepoint,homogenate_vol_ml,notes,date_airbrushed
ACR1_5,TP5,20,,20220419
ACR2_5,TP5,16,,20220419
ACR3_5,TP5,10,,20220419
ACR4_5,TP5,12,,20220419
ACR5_5,TP5,22.5,,20220419
ACR6_5,TP5,13,,20220419
ACR7_5,TP5,12.5,,20220419
ACR8_5,TP5,23,,20220419
ACR9_5,TP5,10,,20220419
ACR10_5,TP5,18,,20220419
ACR11_5,TP5,11,,20220419
ACR12_5,TP5,17.5,,20220419
ACR13_5,TP5,11,,20220419
ACR14_5,TP5,29,,20220419
ACR15_5,TP5,13,,20220419
ACR16_5,TP5,10,,20220419
ACR17_5,TP5,17.5,,20220419
ACR18_5,TP5,33,,20220419
ACR19_5,TP5,12.5,,20220419
ACR20_5,TP5,22,,20220419
ACR21_5,TP5,10,,20220419
ACR22_5,TP5,12.5,,20220419
ACR23_5,TP5,20,,20220419
ACR24_5,TP5,15,,20220419
