fragment_ID,timepoint,homogenate_vol_ml,notes,date_airbrushed
ACR1_1,TP1,21,,20220320
ACR2_1,TP1,14,,20220320
ACR3_1,TP1,12.5,,20220320
ACR4_1,TP1,30,,20220320
ACR5_1,TP1,12,,20220320
ACR6_1,TP1,12,,20220320
ACR7_1,TP1,20,,20220320
ACR8_1,TP1,13,,20220320
ACR9_1,TP1,17,,20220320
ACR10_1,TP1,12.5,,20220320
ACR11_1,TP1,12.5,,20220320
ACR12_1,TP1,16,,20220320
ACR13_1,TP1,15,,20220320
ACR14_1,TP1,11,,20220320
ACR15_1,TP1,12,,20220320
ACR16_1,TP1,17,,20220320
ACR17_1,TP1,17.5,,20220320
ACR18_1,TP1,15,,20220320
ACR19_1,TP1,15,,20220320
ACR20_1,TP1,15,,20220320
ACR21_1,TP1,10,,20220320
ACR22_1,TP1,12,,20220320
ACR23_1,TP1,12.5,,20220320
ACR24_1,TP1,12,,20220320
