treatment,fragment_ID,colony_ID,genotype,site,tank.num,day.1,day.2,day.3,day.4,day.5,day.6,day.7,day.8,day.9,day.10,day.11,day.12,day.13,day.14,day.15,day.16,day.17,day.18,day.19,day.20,day.21,day.22,day.23,day.24,day.25,day.26,day.27,day.28,day.29,day.30,day.31,day.32
hot,ACR_22.2,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot,ACR_22.3,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot,ACR_22.4,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot,ACR_22.5,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA
hot,ACR_22.6,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
hot,ACR_22.7,ACR22,10,Mahana,12,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
ambient,ACR_11.1,ACR11,11,Mahana,1,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_11.2,ACR11,11,Mahana,1,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_11.3,ACR11,11,Mahana,1,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_11.4,ACR11,11,Mahana,1,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_11.5,ACR11,11,Mahana,1,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA
ambient,ACR_11.6,ACR11,11,Mahana,1,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
