Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,645,20220410,8:37:00,8:57:00
1,0,0,20220410,8:59:00,9:19:00
2,1,650,20220410,10:00:00,10:21:00
2,0,0,20220410,10:23:00,10:43:00
3,1,655,20220410,11:19:00,11:39:00
3,0,0,20220410,11:41:00,12:01:00
