"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","gene","direction"
"1",82.1214045762627,1.69516496511,0.489966507428048,3.45975681890651,0.000540663424845496,0.00503948452798331,"parental history","TRINITY_DN101206_c0_g4","upregulated"
"2",11.4480719474945,-2.76827178757016,1.05890041460365,-2.61428907703878,0.0089413349166828,0.0468921295990948,"parental history","TRINITY_DN102633_c0_g4","downregulated"
"3",577.585924492318,1.43837981117312,0.258502426781272,5.56427972101857,2.63237410316408e-08,7.53085752322802e-07,"parental history","TRINITY_DN103121_c0_g1","upregulated"
"4",45.6000123098713,1.5225316052269,0.525888879330679,2.89515839765369,0.00378967251212544,0.0245213159541467,"parental history","TRINITY_DN113179_c0_g1","upregulated"
"5",80.8311425020098,1.37491786251269,0.476445869088186,2.88577979518215,0.00390445235042544,0.0250823100819403,"parental history","TRINITY_DN113470_c0_g1","upregulated"
"6",163.50892298015,1.16933025144817,0.365272715137683,3.20125266133665,0.00136831492243712,0.0107918157305482,"parental history","TRINITY_DN116005_c0_g1","upregulated"
"7",6.3116086775399,-4.62408947114985,1.5336275339792,-3.01513201132483,0.00256867428456134,0.0179842516247679,"parental history","TRINITY_DN120793_c0_g1","downregulated"
"8",139.903631585731,5.6548616598564,0.446385962585764,12.6680992097056,8.88410985011704e-37,9.69446758430272e-34,"parental history","TRINITY_DN132770_c1_g1","upregulated"
"9",165.644706684403,5.78344248730785,0.445708651753748,12.9758362655773,1.67755335288384e-38,2.13566521433387e-35,"parental history","TRINITY_DN132770_c1_g2","upregulated"
"10",17.1720897056155,1.92174475346544,0.676883102657573,2.83910877065818,0.00452397329806341,0.0280946097863881,"parental history","TRINITY_DN134580_c3_g1","upregulated"
"11",60.6030135361501,1.96731115455411,0.478504448174336,4.11137485149845,3.93310045169685e-05,0.000537922789620168,"parental history","TRINITY_DN143366_c0_g1","upregulated"
"12",48.1330835161569,1.68545211270731,0.486909000141552,3.46153411051617,0.000537106051341907,0.00500938287322974,"parental history","TRINITY_DN143366_c0_g2","upregulated"
"13",1244.93051477536,3.07433273962083,0.399351236907254,7.69831781023084,1.37869126675223e-14,1.18327339787494e-12,"parental history","TRINITY_DN153060_c0_g1","upregulated"
"14",445.768789632631,1.13162162784233,0.25330091318137,4.46749920333708,7.91393059949105e-06,0.000131271571952687,"parental history","TRINITY_DN153233_c2_g1","upregulated"
"15",191.588183198163,8.34846214582822,0.772467910552819,10.8075196804662,3.17128751823388e-27,1.61492531386863e-24,"parental history","TRINITY_DN155622_c0_g1","upregulated"
"16",99.2111701138157,1.35510301160388,0.496830019552918,2.72749825548645,0.00638165950504224,0.0364322168380158,"parental history","TRINITY_DN156687_c0_g2","upregulated"
"17",184.028809239383,-1.74350132508863,0.315028658630765,-5.53442132111585,3.12257558707497e-08,8.76904177274713e-07,"parental history","TRINITY_DN157739_c0_g1","downregulated"
"18",253.021123796831,-1.11476910375987,0.270604496470493,-4.119551294601,3.79610912972356e-05,0.000521990631636245,"parental history","TRINITY_DN159812_c0_g2","downregulated"
"19",46.9360107224473,1.5506997995657,0.480870330673661,3.22477745173692,0.0012607062977566,0.0101075982600189,"parental history","TRINITY_DN167261_c0_g1","upregulated"
"20",274.926459519477,2.35306427173551,0.338987280087492,6.94145299826054,3.88087356429563e-12,2.20401878965592e-10,"parental history","TRINITY_DN167812_c0_g2","upregulated"
"21",294.87785310141,1.19386705302823,0.361346575307755,3.3039390286498,0.00095336564183977,0.00800690869180108,"parental history","TRINITY_DN170568_c0_g1","upregulated"
"22",147.033640614109,1.11447294022965,0.3446489168753,3.23364701196171,0.00122220414231951,0.00986350379409151,"parental history","TRINITY_DN170568_c0_g2","upregulated"
"23",34.8866782674152,1.44097768438489,0.55127805657744,2.61388543801484,0.00895190474508609,0.0469153512146416,"parental history","TRINITY_DN173532_c0_g3","upregulated"
"24",129.948394112363,-2.21069916174649,0.38619943352323,-5.72424237285558,1.03896336172875e-08,3.18081027597798e-07,"parental history","TRINITY_DN176059_c0_g1","downregulated"
"25",401.499454407572,1.82328128861646,0.253666127885852,7.18772074069314,6.58818365573618e-13,4.17777267870414e-11,"parental history","TRINITY_DN178865_c0_g1","upregulated"
"26",44.6468057392625,1.48991588481175,0.462024111182126,3.22475786166156,0.00126079256274211,0.0101075982600189,"parental history","TRINITY_DN178949_c0_g1","upregulated"
"27",218.905026516147,1.75004778377007,0.323036846040812,5.41748659702111,6.0442678983221e-08,1.62567395568075e-06,"parental history","TRINITY_DN190500_c0_g1","upregulated"
"28",218.587418066491,2.42174099339241,0.355306437612208,6.81592208029612,9.36610540194759e-12,5.07397135551608e-10,"parental history","TRINITY_DN101036_c0_g1","upregulated"
"29",26.0727382018609,-2.89550213000533,0.779980390414788,-3.71227554639613,0.000205404190959152,0.00224139987520212,"parental history","TRINITY_DN101250_c0_g2","downregulated"
"30",28.0396609451223,-1.74539580361848,0.580392524085463,-3.00726789403213,0.00263607343646603,0.0184059076557155,"parental history","TRINITY_DN102526_c0_g1","downregulated"
"31",19.3980886035506,3.14675232071847,0.822655015617071,3.82511777231201,0.00013070958568307,0.00150710575050783,"parental history","TRINITY_DN102605_c0_g1","upregulated"
"32",20.2825181904303,1.92970886609498,0.722689564822206,2.67017673981459,0.00758113305853729,0.0416004385836842,"parental history","TRINITY_DN105791_c0_g1","upregulated"
"33",297.624782347101,2.24930898099763,0.270454380126736,8.31677778686223,9.0386990198119e-17,1.09590638829894e-14,"parental history","TRINITY_DN106299_c0_g1","upregulated"
