"","260","261","262","248","249","250"
"TRINITY_DN15450_c0_g2",15,54,56,57,2,5
"TRINITY_DN275761_c0_g1",21,12,8,30,14,21
"TRINITY_DN123109_c0_g1",16,22,9,21,2,5
"TRINITY_DN101206_c0_g4",34,43,91,149,115,33
"TRINITY_DN101108_c0_g1",47,52,88,51,3,19
"TRINITY_DN101125_c0_g1",5,17,20,43,5,2
"TRINITY_DN101131_c0_g1",18,29,7,13,0,0
"TRINITY_DN102616_c0_g1",34,22,26,14,4,2
"TRINITY_DN102671_c0_g1",77,78,37,23,11,28
"TRINITY_DN102633_c0_g1",440,477,502,246,141,114
"TRINITY_DN102633_c0_g4",16,45,23,1,0,5
"TRINITY_DN102609_c0_g1",385,284,501,316,143,143
"TRINITY_DN102749_c0_g1",29,50,53,68,26,11
"TRINITY_DN102797_c0_g2",36,35,32,30,27,11
"TRINITY_DN102944_c1_g2",13,19,21,2,0,2
"TRINITY_DN102990_c0_g4",44,38,60,61,46,32
"TRINITY_DN103143_c0_g2",17,0,27,18,2,2
"TRINITY_DN103115_c0_g1",7,26,43,11,12,8
"TRINITY_DN103121_c0_g1",364,483,482,1241,384,501
"TRINITY_DN103297_c0_g1",110,84,88,58,27,67
"TRINITY_DN103251_c0_g1",6,37,17,27,2,8
"TRINITY_DN103540_c0_g1",62,66,22,20,4,10
"TRINITY_DN104408_c0_g1",37,0,27,21,6,8
"TRINITY_DN107552_c0_g1",17,8,14,7,23,8
"TRINITY_DN107587_c0_g1",12,25,25,54,15,14
"TRINITY_DN107547_c0_g1",12,8,56,23,3,4
"TRINITY_DN108182_c0_g1",22,50,18,22,20,36
"TRINITY_DN108979_c0_g1",23,17,13,0,0,4
"TRINITY_DN109044_c0_g3",7,11,16,11,2,0
"TRINITY_DN109610_c1_g1",63,46,37,83,16,10
"TRINITY_DN110226_c0_g1",29,8,25,16,3,17
"TRINITY_DN110373_c0_g1",34,41,39,62,22,15
"TRINITY_DN110642_c0_g1",19,12,20,43,5,4
"TRINITY_DN111915_c0_g2",16,25,18,4,4,9
"TRINITY_DN112870_c0_g3",82,88,49,67,11,32
"TRINITY_DN113179_c0_g1",54,16,28,71,47,37
"TRINITY_DN113470_c0_g1",52,30,114,207,54,52
"TRINITY_DN113438_c0_g2",73,49,63,37,6,15
"TRINITY_DN113917_c0_g1",12,15,11,7,0,5
"TRINITY_DN113999_c0_g1",39,13,51,52,15,12
"TRINITY_DN114094_c0_g2",163,175,320,120,39,48
"TRINITY_DN114087_c0_g2",14,20,24,14,0,6
"TRINITY_DN115019_c0_g1",157,123,112,72,46,43
"TRINITY_DN115169_c0_g1",27,9,12,13,7,10
"TRINITY_DN115176_c0_g1",22,21,16,15,16,0
"TRINITY_DN115118_c3_g2",55,37,14,2,10,14
"TRINITY_DN115432_c1_g1",126,148,164,120,62,105
"TRINITY_DN115846_c0_g1",408,381,413,189,166,152
"TRINITY_DN115897_c0_g2",19,8,24,21,12,11
"TRINITY_DN116005_c0_g1",154,130,144,409,128,74
"TRINITY_DN116672_c0_g1",76,126,147,98,21,12
"TRINITY_DN117464_c0_g1",90,178,108,135,48,48
"TRINITY_DN118042_c0_g3",55,61,85,274,21,22
"TRINITY_DN118087_c0_g1",14,21,22,34,7,10
"TRINITY_DN118067_c0_g1",0,24,31,15,16,10
"TRINITY_DN118277_c0_g4",16,11,17,24,2,4
"TRINITY_DN118622_c0_g1",43,44,29,56,0,16
"TRINITY_DN118613_c1_g1",19,10,16,25,10,13
"TRINITY_DN119100_c0_g1",23,23,47,20,8,8
"TRINITY_DN119414_c0_g1",8,8,21,18,13,6
"TRINITY_DN120793_c0_g1",14,11,27,0,1,0
"TRINITY_DN120818_c0_g1",27,15,23,8,8,0
"TRINITY_DN120821_c0_g1",22,12,17,4,3,6
"TRINITY_DN121399_c0_g1",19,36,24,32,21,10
