well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR1_2
B8,ACR1_2
B9,ACR2_2
B10,ACR2_2
B11,ACR3_2
B12,ACR3_2
C1,ACR4_2
C2,ACR4_2
C3,ACR5_2
C4,ACR5_2
C5,ACR6_2
C6,ACR6_2
C7,ACR7_2
C8,ACR7_2
C9,ACR8_2
C10,ACR8_2
C11,ACR9_2
C12,ACR9_2
D1,ACR10_2
D2,ACR10_2
D3,ACR11_2
D4,ACR11_2
D5,ACR12_2
D6,ACR12_2
D7,ACR13_2
D8,ACR13_2
D9,ACR14_2
D10,ACR14_2
D11,ACR15_2
D12,ACR15_2
E1,ACR16_2
E2,ACR16_2
E3,ACR17_2
E4,ACR17_2
E5,ACR18_2
E6,ACR18_2
E7,ACR19_2
E8,ACR19_2
E9,ACR20_2
E10,ACR20_2
E11,ACR21_2
E12,ACR21_2
F1,ACR22_2
F2,ACR22_2
F3,ACR23_2
F4,ACR23_2
F5,ACR24_2
F6,ACR24_2
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
