Well,562:562
A1,2.91
B1,0.372
C1,1.569
D1,1.744
E1,1.631
F1,1.639
G1,0.108
H1,0.116
A2,2.864
B2,0.367
C2,1.657
D2,1.849
E2,1.895
F2,1.577
G2,0.109
H2,0.109
A3,2.345
B3,0.191
C3,2.126
D3,2.092
E3,1.6
F3,2.15
G3,0.11
H3,0.109
A4,2.31
B4,0.185
C4,2.059
D4,2.091
E4,1.268
F4,2.162
G4,0.104
H4,0.113
A5,1.597
B5,0.16
C5,1.578
D5,1.498
E5,1.61
F5,1.339
G5,0.122
H5,0.113
A6,1.557
B6,0.155
C6,1.536
D6,1.377
E6,1.561
F6,1.391
G6,0.103
H6,0.116
A7,1.379
B7,1.061
C7,1.533
D7,1.592
E7,1.577
F7,0.102
G7,0.103
H7,0.111
A8,1.382
B8,1.038
C8,1.343
D8,1.477
E8,1.668
F8,0.102
G8,0.103
H8,0.124
A9,0.945
B9,1.28
C9,1.451
D9,1.311
E9,1.227
F9,0.101
G9,0.103
H9,0.115
A10,0.931
B10,1.309
C10,1.499
D10,1.274
E10,1.207
F10,0.109
G10,0.109
H10,0.11
A11,0.579
B11,1.499
C11,1.52
D11,1.525
E11,1.163
F11,0.111
G11,0.112
H11,0.12
A12,0.573
B12,1.564
C12,1.532
D12,1.567
E12,1.185
F12,0.123
G12,0.113
H12,0.125
