fragment_ID,partner,treatment,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR10_2,Host,ambient,1.7887751244685117,TP2,88.87652859504345
ACR10_2,Sym,ambient,1.056457791632435,TP2,77.43489862842947
ACR11_2,Host,ambient,1.4159648784371761,TP2,34.80083430776892
ACR11_2,Sym,ambient,0.7206646731251775,TP2,20.861098074231062
ACR12_2,Host,ambient,0.8235306858094226,TP2,108.08769011569913
ACR12_2,Sym,ambient,0.9255459057124428,TP2,98.7408542973579
ACR13_2,Host,hot,1.522943225781199,TP2,86.96108720779976
ACR13_2,Sym,hot,1.4138675623130752,TP2,67.50342946705868
ACR14_2,Host,hot,2.226688933365246,TP2,117.70233856979591
ACR14_2,Sym,hot,0.2530470686581155,TP2,78.30979987516282
ACR15_2,Host,hot,1.9261925059991272,TP2,80.7133641356575
ACR15_2,Sym,hot,0.9585796636751436,TP2,65.13240623871684
ACR16_2,Host,hot,1.4417741927723988,TP2,67.55303324282433
ACR16_2,Sym,hot,0.98414054251974,TP2,48.80333035201081
ACR17_2,Host,hot,1.7474162422796373,TP2,92.5410742580832
ACR17_2,Sym,hot,0.8684832885217154,TP2,61.68863116045151
ACR18_2,Host,hot,2.581278274396146,TP2,109.67108212864053
ACR18_2,Sym,hot,0.9882788791078497,TP2,104.47672035590425
ACR19_2,Host,hot,2.472530419167719,TP2,112.55480919196559
ACR19_2,Sym,hot,0.8869519439766381,TP2,77.47700731020498
ACR1_2,Host,ambient,1.9878242677840023,TP2,108.67028446043481
ACR1_2,Sym,ambient,0.6641516022812483,TP2,84.98812009558472
ACR20_2,Host,hot,1.752698370545716,TP2,118.97291545348264
ACR20_2,Sym,hot,0.6498418200953893,TP2,92.55663718397051
ACR21_2,Host,hot,1.5160494103854059,TP2,94.71993838063922
ACR21_2,Sym,hot,0.5643416580700108,TP2,60.26592544213464
ACR22_2,Host,hot,1.8227975847990738,TP2,69.80793500146862
ACR22_2,Sym,hot,0.8738080250865502,TP2,59.761551944541
ACR23_2,Host,hot,1.558733697159526,TP2,43.543209100412156
ACR23_2,Sym,hot,0.7055170000023028,TP2,34.859996483852846
ACR24_2,Host,hot,1.9720509506858084,TP2,104.39839916605312
ACR24_2,Sym,hot,0.8728367521378578,TP2,87.59962567040986
ACR2_2,Host,ambient,1.2993636698695386,TP2,93.41160997046266
ACR2_2,Sym,ambient,0.7464800680592596,TP2,69.61101045883568
ACR3_2,Host,ambient,1.9394145738668962,TP2,105.74413013831405
ACR3_2,Sym,ambient,1.0497161389906515,TP2,87.88615435914362
ACR4_2,Host,ambient,2.1087127629789792,TP2,114.24027913843837
ACR4_2,Sym,ambient,0.7586490310278096,TP2,55.04853581696959
ACR5_2,Host,ambient,1.9504600029696046,TP2,74.2976815067868
ACR5_2,Sym,ambient,1.191700743783294,TP2,65.45748261526181
ACR6_2,Host,ambient,2.120200045010553,TP2,59.32977794196062
ACR6_2,Sym,ambient,0.46544165427981127,TP2,36.68011448887127
ACR7_2,Host,ambient,2.6323409435296563,TP2,65.68590891918335
ACR7_2,Sym,ambient,0.5870917983145055,TP2,48.30015164332052
ACR8_2,Host,ambient,1.3044272126480547,TP2,70.73061362113206
ACR8_2,Sym,ambient,0.8097333998777362,TP2,46.51583142354977
ACR9_2,Host,ambient,2.03515515110976,TP2,104.71575895421793
ACR9_2,Sym,ambient,0.6765447949928264,TP2,71.23607652692982
