fragment_ID,timepoint,cells.cm2
ACR1_2,TP2,670325.6543608847
ACR10_2,TP2,1837596.2799909425
ACR11_2,TP2,1194134.7389713353
ACR12_2,TP2,1077143.9419929418
ACR13_2,TP2,830930.172174541
ACR14_2,TP2,789989.146893649
ACR15_2,TP2,1076896.59185974
ACR16_2,TP2,1128525.41132112
ACR17_2,TP2,1103020.2193791834
ACR18_2,TP2,1428075.6181481695
ACR19_2,TP2,1919704.2075110576
ACR2_2,TP2,957081.6293166487
ACR20_2,TP2,919567.8319619015
ACR21_2,TP2,1437668.624542351
ACR22_2,TP2,1388572.9980181467
ACR23_2,TP2,927578.680606956
ACR24_2,TP2,1330259.2211726664
ACR3_2,TP2,1495632.1411228743
ACR4_2,TP2,1319672.2647698754
ACR5_2,TP2,1395976.9002255728
ACR6_2,TP2,1008581.4338326546
ACR7_2,TP2,1104595.5936196574
ACR8_2,TP2,916895.5695713944
ACR9_2,TP2,1321637.9526318929
