fragment_ID,surface.area.cm2,timepoint
ACR1_2,18.89628807171877,TP2
ACR2_2,18.060763544632913,TP2
ACR3_2,20.310252656017944,TP2
ACR4_2,23.073910707148094,TP2
ACR5_2,27.829973399790724,TP2
ACR6_2,11.472974004148206,TP2
ACR7_2,16.453985607929333,TP2
ACR8_2,17.450187928685544,TP2
ACR9_2,15.939816668184182,TP2
ACR10_2,26.030382110682716,TP2
ACR11_2,19.12123698285729,TP2
ACR12_2,26.31960213928936,TP2
ACR13_2,24.29506193904283,TP2
ACR14_2,19.95676150994315,TP2
ACR15_2,11.762194032754849,TP2
ACR16_2,24.10224858663841,TP2
ACR17_2,12.919074147181433,TP2
ACR18_2,17.80367907476034,TP2
ACR19_2,29.629564688898753,TP2
ACR20_2,24.00584191043623,TP2
ACR21_2,11.312296210477845,TP2
ACR22_2,22.20625062132818,TP2
ACR23_2,20.920828271965313,TP2
ACR24_2,17.996492427164775,TP2
