fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR1_2,14215.350423295946,752.2826900893527,TP2
ACR10_2,27592.109165630438,1059.9963169310065,TP2
ACR11_2,13308.863306995372,696.0252267636832,TP2
ACR12_2,25187.113415459273,956.97166249563,TP2
ACR13_2,22740.19054332372,936.0005173223949,TP2
ACR14_2,18411.568181152983,922.5729421068495,TP2
ACR15_2,11472.866078906407,975.401872045068,TP2
ACR16_2,21584.851664978323,895.5534413060673,TP2
ACR17_2,12574.118716565537,973.2987498418255,TP2
ACR18_2,21300.489198401654,1196.4094111648317,TP2
ACR19_2,35061.72819574787,1183.3359201825997,TP2
ACR2_2,15495.094919909454,857.9424054590486,TP2
ACR20_2,20510.49380923921,854.395937695588,TP2
ACR21_2,9154.355218519146,809.2393487751904,TP2
ACR22_2,20227.485524354543,910.8915264122473,TP2
ACR23_2,16582.511546622372,792.6316936908065,TP2
ACR24_2,16541.377436349932,919.1445223726807,TP2
ACR3_2,23590.07598202968,1161.4860918551854,TP2
ACR4_2,21756.14223715072,942.8892446225364,TP2
ACR5_2,29964.056777841775,1076.6829111689735,TP2
ACR6_2,9258.47483133601,806.9812437462585,TP2
ACR7_2,12603.02669087656,765.9558596430911,TP2
ACR8_2,12995.730078183791,744.7329582520267,TP2
ACR9_2,14452.190222678983,906.6722989057649,TP2
