fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR1_2,2.541416237467702,2.5425297718606363,TP2
ACR10_2,4.923085305538974,4.138961523572282,TP2
ACR11_2,3.1913948203966003,1.9861816489199176,TP2
ACR12_2,3.412561083737762,2.8747205067759776,TP2
ACR13_2,2.30599844283448,2.44934032888267,TP2
ACR14_2,2.393288692800675,1.4572755196533316,TP2
ACR15_2,2.9709150409655543,2.2471625979298193,TP2
ACR16_2,2.5748220037197576,1.915319221526564,TP2
ACR17_2,2.5579619424360835,1.3728537972567865,TP2
ACR18_2,3.9761585064941376,3.635874204886575,TP2
ACR19_2,4.161535996045134,3.2518027521375985,TP2
ACR2_2,3.843790979735736,4.797268110281382,TP2
ACR20_2,1.771225110897489,1.5375007524295274,TP2
ACR21_2,2.8487599747271295,2.7277751064738562,TP2
ACR22_2,3.7398951951048796,2.901652606681519,TP2
ACR23_2,1.5807404740430648,2.8651160088304257,TP2
ACR24_2,2.7120757112828873,1.9361981308870837,TP2
ACR3_2,3.617242872894459,3.1248897330282395,TP2
ACR4_2,2.589897449914598,1.5808032267672887,TP2
ACR5_2,3.2331081028153843,3.230123461083724,TP2
ACR6_2,2.027983327739391,2.0509503456987033,TP2
ACR7_2,2.355128473026341,1.7235565701682238,TP2
ACR8_2,4.499271029106567,7.334233334508308,TP2
ACR9_2,2.9686497855262886,2.0708895646138172,TP2
