fragment_ID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR_24.5,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.6,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_24.7,hot,12,6,TP2,Acclimation,20220323,,,,,,,,,
ACR_1.1,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.2,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.3,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.4,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.5,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.6,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_1.7,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.1,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.2,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.3,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.4,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.5,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.6,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_13.7,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.1,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.2,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.3,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.4,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.5,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.6,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_2.7,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.1,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.2,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.3,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.4,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.5,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.6,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_14.7,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR_3.1,ambient,3,7,TP2,Acclimation,20220325,,,,,,,,,
ACR_3.2,ambient,3,7,TP2,Acclimation,20220325,,,,,,,,,
ACR_3.3,ambient,3,7,TP2,Acclimation,20220325,,,,,,,,,
