ColonyID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR-11,ambient,11,1,TP2,Acclimation,20220321,,,,,,,,,
ACR-12,ambient,12,11,TP2,Acclimation,20220321,,,,,,,,,
ACR-13,hot,1,10,TP2,Acclimation,20220321,,,,,,,,,
ACR-14,hot,2,8,TP2,Acclimation,20220321,,,,,,,,,
ACR-15,hot,3,20,TP2,Acclimation,20220321,,,,,,,,,
ACR-16,hot,4,18,TP2,Acclimation,20220321,,,,,,,,,
ACR-17,hot,5,4,TP2,Acclimation,20220321,,,,,,,,,
ACR-18,hot,6,22,TP2,Acclimation,20220321,,,,,,,,,
ACR-19,hot,7,16,TP2,Acclimation,20220321,,,,,,,,,
ACR-20,hot,8,2,TP2,Acclimation,20220321,,,,,,,,,
ACR-21,hot,9,15,TP2,Acclimation,20220321,,,,,,,,,
ACR-22,hot,10,12,TP2,Acclimation,20220321,,,,,,,,,
ACR-23,hot,11,23,TP2,Acclimation,20220321,,,,,,,,,
ACR-24,hot,12,6,TP2,Acclimation,20220321,,,,,,,,,
ACR-1,ambient,1,17,TP2,Acclimation,20220323,IMG_3760,236.793,109.455,206.946,177.338,155.896,98.606,Emma,Tank photo = IMG_3759
ACR-2,ambient,2,14,TP2,Acclimation,20220323,IMG_3752,209.801,83.695,165.421,159.057,131.905,72.499,Emma,Tank photo = IMG_3751
ACR-3,ambient,3,7,TP2,Acclimation,20220323,IMG_3737,211.576,91.294,158.562,149.039,123.867,53.402,Emma,Tank photo = IMG_3736
ACR-4,ambient,4,24,TP2,Acclimation,20220323,IMG_3775,215.586,80.683,157.663,186.862,165.579,100.049,Emma,Tank photo = IMG_3774
ACR-5,ambient,5,13,TP2,Acclimation,20220323,IMG_3750,235.712,122.096,213.98,160.674,137.259,77.818,Emma,Tank photo = IMG_3749; Hard to tell what light plane this was in
ACR-6,ambient,6,9,TP2,Acclimation,20220323,IMG_3741,246.659,119.657,215.604,153.311,129.215,68.21,Emma,Tank photo = IMG_3740
ACR-7,ambient,7,3,TP2,Acclimation,20220323,IMG_3726,250.638,128.153,222.398,156.254,130.199,75.21,Emma,Tank photo = IMG_3725
ACR-8,ambient,8,19,TP2,Acclimation,20220323,IMG_3765,211.611,81.779,150.875,161.574,133.047,58.333,Emma,Tank photo = IMG_3764
ACR-9,ambient,9,21,TP2,Acclimation,20220323,IMG_3768,207.805,87.049,169.13,147.611,127.979,63.841,Emma,Tank photo = IMG_3769
ACR-10,ambient,10,5,TP2,Acclimation,20220323,IMG_3733,216.471,103.413,176.864,169.155,145.595,70.979,Emma,Tank photo = IMG_3731
ACR-11,ambient,11,1,TP2,Acclimation,20220323,IMG_3722,227.283,101.623,207.734,148.856,127.305,70.917,Emma,Tank photo = IMG_3721
ACR-12,ambient,12,11,TP2,Acclimation,20220323,IMG_3746,202.411,79.037,161.747,158.586,131.05,62.45,Emma,Tank photo = IMG_3745
