fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR1_3,4672.617010935886,335.01677601553683,TP3
ACR10_3,9273.161064028533,387.32467239585526,TP3
ACR11_3,14542.7092023865,614.01834956435,TP3
ACR12_3,15553.048116697819,560.8023039989782,TP3
ACR13_3,7764.388646904443,1404.5830737190176,TP3
ACR14_3,12502.983581144126,544.1401974864293,TP3
ACR15_3,10443.462820302317,538.0328146902643,TP3
ACR16_3,9577.372663308226,466.38805233965036,TP3
ACR17_3,21516.69740772272,708.5159976741256,TP3
ACR18_3,10913.773225923724,481.7135292474746,TP3
ACR19_3,12454.585029472059,538.2698227490752,TP3
ACR2_3,9838.50361738572,1308.259411361205,TP3
ACR20_3,17634.5450073228,462.68680113049584,TP3
ACR21_3,10343.566185886852,428.58214751131834,TP3
ACR22_3,5122.866258213658,398.5176782851037,TP3
ACR23_3,8926.776841705781,540.418822040737,TP3
ACR24_3,4069.080212537731,196.91882804536291,TP3
ACR3_3,9816.711834517151,498.31841479173715,TP3
ACR4_3,4730.018135124337,302.84789971566767,TP3
ACR5_3,9648.829085177958,458.3903866395592,TP3
ACR6_3,9126.15384798347,474.0913516321102,TP3
ACR7_3,7329.615826232266,483.2109476217439,TP3
ACR8_3,11441.701883886839,553.7090467956765,TP3
ACR9_3,10257.262535026903,409.73032154839495,TP3
