fragment_ID,timepoint,cells.cm2
ACR1_3,TP3,731318.4682932199
ACR10_3,TP3,974246.8529613287
ACR11_3,TP3,1136820.095344209
ACR12_3,TP3,892179.9918467811
ACR13_3,TP3,3422979.7807227317
ACR14_3,TP3,998077.6546681019
ACR15_3,TP3,1097990.6339872733
ACR16_3,TP3,923292.6172160989
ACR17_3,TP3,893793.574936156
ACR18_3,TP3,441013.4710909733
ACR19_3,TP3,806747.3411764608
ACR2_3,TP3,3130415.7800349332
ACR20_3,TP3,492062.90149617684
ACR21_3,TP3,491069.7780924774
ACR22_3,TP3,608721.8903247968
ACR23_3,TP3,738955.0969523565
ACR24_3,TP3,371423.4977701723
ACR3_3,TP3,803312.6618172877
ACR4_3,TP3,807591.3028847632
ACR5_3,TP3,786246.7903528819
ACR6_3,TP3,976980.9021644603
ACR7_3,TP3,1025970.6034591683
ACR8_3,TP3,1029823.066130197
ACR9_3,TP3,934722.0558596432
