fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR1_3,6125.502971530694,439.18563241817594,TP3
ACR10_3,13356.412387030476,557.8753584102101,TP3
ACR11_3,21366.603302613883,902.1349676382324,TP3
ACR12_3,20039.4371043696,722.569776332637,TP3
ACR13_3,10599.904121946896,1917.5297102968798,TP3
ACR14_3,16960.102872555028,738.1177193882031,TP3
ACR15_3,14845.2508454617,764.8068686221043,TP3
ACR16_3,14196.08689995074,691.3049698355851,TP3
ACR17_3,27743.621156943293,913.560248147073,TP3
ACR18_3,17183.986740898523,758.4690214964055,TP3
ACR19_3,15485.958479311448,669.281562254656,TP3
ACR2_3,14374.579801272483,1911.4369461780443,TP3
ACR20_3,27780.439146742978,728.8899439973868,TP3
ACR21_3,16291.208759219326,675.0206950005393,TP3
ACR22_3,4816.848410785795,374.71195783022654,TP3
ACR23_3,12806.488071529948,775.292955208734,TP3
ACR24_3,6166.3366160985,298.41333086379063,TP3
ACR3_3,12050.965305316155,611.7341558850744,TP3
ACR4_3,7906.335765051074,506.2173362744713,TP3
ACR5_3,14803.01031590876,703.2519243772729,TP3
ACR6_3,12931.958968976222,671.7977812972797,TP3
ACR7_3,10206.607455306688,672.8789853938538,TP3
ACR8_3,16021.184023116082,775.3282356072148,TP3
ACR9_3,15764.397587942245,629.7149625124007,TP3
