fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR24_3,1.478389531,1.181326348,TP3
ACR10_3,2.479781946,1.584827091,TP3
ACR13_3,2.211035984,2.073732167,TP3
ACR18_3,2.897951381,2.204710572,TP3
ACR8_3,2.685551589,2.630952335,TP3
ACR20_3,3.081836633,2.940864055,TP3
ACR9_3,3.175633301,2.965270907,TP3
ACR21_3,3.510852656,3.133222689,TP3
ACR1_3,3.577717494,3.143314324,TP3
ACR7_3,2.919121228,3.459943708,TP3
ACR6_3,3.349412441,3.611829737,TP3
ACR3_3,3.431623517,3.738259254,TP3
ACR4_3,2.979888656,3.787679509,TP3
ACR16_3,3.388568313,4.038840317,TP3
ACR5_3,3.237816541,4.384353203,TP3
ACR23_3,4.098783009,3.558001217,TP3
ACR19_3,4.231524863,2.263451611,TP3
ACR14_3,4.012061821,4.674006361,TP3
ACR12_3,4.324666731,5.264158824,TP3
ACR17_3,4.232327162,2.428760361,TP3
ACR11_3,5.007035444,5.880906518,TP3
ACR22_3,2.091098039,2.527200363,TP3
ACR2_3,9.105922408,7.647550345,TP3
ACR15_3,2.825403798,3.019259923,TP3
