fragment_ID,surface.area.cm2,timepoint
ACR1_3,13.947412026671724,TP3
ACR2_3,7.520300279857381,TP3
ACR3_3,19.699677040070576,TP3
ACR4_3,15.618461080843456,TP3
ACR5_3,21.0493705069016,TP3
ACR6_3,19.249779217793595,TP3
ACR7_3,15.16856325856646,TP3
ACR8_3,20.66374380209274,TP3
ACR9_3,25.03417978992647,TP3
ACR10_3,23.941570792968065,TP3
ACR11_3,23.684486323095463,TP3
ACR12_3,27.73356672358849,TP3
ACR13_3,5.5278956383449085,TP3
ACR14_3,22.977504030945894,TP3
ACR15_3,19.410457011463933,TP3
ACR16_3,20.535201567156435,TP3
ACR17_3,30.368682539782398,TP3
ACR18_3,22.65614844360517,TP3
ACR19_3,23.138181824616247,TP3
ACR20_3,38.11335219469371,TP3
ACR21_3,24.13438414537248,TP3
ACR22_3,12.85480302971329,TP3
ACR23_3,16.518256725397467,TP3
ACR24_3,20.663743802092725,TP3
