Pan.ID,fragment_ID,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
114,ACR1_4,Host,TP4,0.2557,0.26766,0.26012
86,ACR10_4,Host,TP4,0.28452,0.33721,0.32781
196,ACR11_4,Host,TP4,0.31143,0.37311,0.361
47,ACR12_4,Host,TP4,0.28147,0.32237,0.31163
108,ACR13_4,Host,TP4,0.27825,0.33142,0.32087
207,ACR14_4,Host,TP4,0.30274,0.35882,0.34876
78,ACR15_4,Host,TP4,0.26265,0.31989,0.30901
220,ACR16_4,Host,TP4,0.28535,0.34046,0.33001
152,ACR17_4,Host,TP4,0.25508,0.31343,0.3019
194,ACR18_4,Host,TP4,0.2947,0.35835,0.34681
91,ACR19_4,Host,TP4,0.28309,0.34209,0.33197
3,ACR2_4,Host,TP4,0.331375,0.38385,0.36691
218,ACR20_4,Host,TP4,0.28443,0.33838,0.32707
141,ACR21_4,Host,TP4,0.30205,0.36343,0.35435
212,ACR22_4,Host,TP4,0.3303,0.38436,0.37006
221,ACR23_4,Host,TP4,0.2836,0.34297,0.3328
85,ACR24_4,Host,TP4,0.26978,0.3097,0.2978
214,ACR3_4,Host,TP4,0.31748,0.3774,0.36598
200,ACR4_4,Host,TP4,0.31164,0.36755,0.35736
203,ACR5_4,Host,TP4,0.30655,0.36512,0.35302
146,ACR6_4,Host,TP4,0.32358,0.3865,0.37476
227,ACR7_4,Host,TP4,0.28603,0.34115,0.33033
51,ACR8_4,Host,TP4,0.26472,0.3236,0.3119
166,ACR9_4,Host,TP4,0.26845,0.32645,0.3156
190,ACR1_4,Sym,TP4,0.3056,0.32871,0.32186
71,ACR10_4,Sym,TP4,0.28078,0.29895,0.29436
223,ACR11_4,Sym,TP4,0.29502,0.31696,0.30952
185,ACR12_4,Sym,TP4,0.3048,0.3224,0.31677
145,ACR13_4,Sym,TP4,0.28743,0.30557,0.30145
157,ACR14_4,Sym,TP4,0.29438,0.31301,0.30871
184,ACR15_4,Sym,TP4,0.31202,0.33401,0.32953
210,ACR16_4,Sym,TP4,0.30701,0.32691,0.32292
52,ACR17_4,Sym,TP4,0.29783,0.31985,0.31521
229,ACR18_4,Sym,TP4,0.29698,0.31935,0.3158
144,ACR19_4,Sym,TP4,0.29395,0.31148,0.30561
160,ACR2_4,Sym,TP4,0.2652,0.28531,0.27936
140,ACR20_4,Sym,TP4,0.2948,0.31162,0.30693
14,ACR21_4,Sym,TP4,0.33164,0.34958,0.34551
216,ACR22_4,Sym,TP4,0.26542,0.28406,0.28017
162,ACR23_4,Sym,TP4,0.2707,0.29344,0.28908
206,ACR24_4,Sym,TP4,0.29612,0.3145,0.31127
98,ACR3_4,Sym,TP4,0.27836,0.29972,0.29292
11,ACR4_4,Sym,TP4,0.30295,0.32414,0.31804
131,ACR5_4,Sym,TP4,0.27911,0.30411,0.29327
80,ACR6_4,Sym,TP4,0.27752,0.30102,0.2924
73,ACR7_4,Sym,TP4,0.28049,0.29805,0.29373
158,ACR8_4,Sym,TP4,0.28433,0.30433,0.3007
136,ACR9_4,Sym,TP4,0.30192,0.3237,0.31626
