Treatment,timepoint,fragment_ID,X,Light_Value,Run,micromol.cm2.s,Date,Rd,P,GP,GP.R
ambient,TP2,NA,27.666666666666668,323.8333333333333,2,-5.3354297254396815e-5,NA,0.7212284445875052,0.33707750435584866,1.058305948943354,1.4637956576574624
ambient,TP3,NA,27.666666666666668,310.8333333333333,2,-3.284482604983313e-5,NA,0.643093323689689,0.4066105761308905,1.0497038998205794,1.61253945335061
ambient,TP4,NA,27.666666666666668,308.3333333333333,2,-1.806568952630624e-5,NA,0.583481840569183,0.4534088759797781,1.036890716548961,1.7796113722513471
ambient,TP5,NA,27.666666666666668,327.3333333333333,2,-1.290125372550106e-5,NA,0.6939597678443883,0.60107074102078,1.2950305088651684,1.8658135655358616
hot,TP2,NA,21.333333333333332,323.8333333333333,2,-3.5370908626014234e-5,NA,0.6770938230291781,0.42242328092187514,1.0995171039510532,1.6298394190380818
hot,TP3,NA,21.333333333333332,310.8333333333333,2,-3.098904139891491e-5,NA,0.7544552267498635,0.5313341286776767,1.2857893554275404,1.7882739486260149
hot,TP4,NA,21.333333333333332,308.3333333333333,2,-3.2898865768535166e-6,NA,0.4380794651741082,0.41439228182076343,0.8524717469948716,1.991364177898456
hot,TP5,NA,21.333333333333332,327.3333333333333,2,-1.5095616996870843e-5,NA,0.48510640421970086,0.37641796184223064,0.8615243660619315,1.858321131942979
initial,TP1,NA,24.5,319.1666666666667,2,-3.419712686907253e-5,NA,0.5285183632159415,0.2822990497586198,0.8108174129745612,1.5623513209855047
