fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,code,holobiont_mgprot,host_mgprot,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2,date_collection,coral_species,treatment,tag_color,colony_ID,genotype,site,tank_num,notes
ACR5_1,2.474436712520506,1.9896837267829235,TP1,675.0702412965952,708.2235159672184,20.245981538549792,746814.8665062468,ACR5_1 - TP1,14.338680229439127,13.667459642515219,15120000.000000002,1054490.354625297,3.49386409337337,2.8094008203972436,0.7082235159672184,0.6750702412965952,3.3133201058201054e-6,2.6642261904761915e-6,4.4641204393034295,20220319,Acropora,initial,blue,ACR5,5,Mahana,13,NA
ACR6_1,2.4803208392013025,0.8307083306882741,TP1,483.46407171610207,928.6274060623784,19.603270363868358,988610.5552938821,ACR6_1 - TP1,18.20413410833857,9.477476909067391,19380000,1064593.3437242045,2.670953735598336,0.8945550446445396,0.9286274060623785,0.48346407171610206,2.508895768833849e-6,8.402786377708977e-7,3.3110291698895766,20220319,Acropora,initial,blue,ACR6,6,Mahana,9,NA
ACR7_1,4.010585668602693,2.9370222060232227,TP1,1004.1197304069785,926.0028262850867,21.177912741837872,1386664.8250302575,ACR7_1 - TP1,19.61080705376082,21.26516003291676,29366666.66666667,1497473.6422708796,4.331072816151386,3.171720563538547,0.9260028262850867,1.0041197304069784,2.892253121452894e-6,2.1180476730987504e-6,6.947607874625916,20220319,Acropora,initial,blue,ACR7,7,Mahana,3,NA
ACR8_1,2.060100539133459,1.2565278894677891,TP1,556.9453710371799,774.8815004766213,23.170317383350316,1139892.3126381303,ACR8_1 - TP1,17.954250300530035,12.904601012119262,26411666.666666664,1471053.7184550087,2.6586007510391116,1.6215742519274396,0.7748815004766213,0.5569453710371799,1.8072764561115673e-6,1.102321575061526e-6,3.3166284286012484,20220319,Acropora,initial,blue,ACR8,8,Mahana,19,NA
ACR9_1,3.3525292703952525,3.2673514740445246,TP1,505.34246340625856,803.5101541298839,15.650596639577554,1017426.6004061518,ACR9_1 - TP1,12.575413318091604,7.9089110596218335,15923333.333333334,1266227.4336880243,4.172354578425565,4.066347459644389,0.8035101541298839,0.5053424634062585,3.295106761565836e-6,3.211387900355872e-6,6.619880744439778,20220319,Acropora,initial,blue,ACR9,9,Mahana,21,NA
ACR1_2,2.541416237467702,2.5425297718606363,TP2,386.6551484175922,752.2826900893527,18.89628807171877,670325.6543608847,ACR1_2 - TP2,14.215350423295947,7.306347068911999,12666666.666666666,891055.5342982389,3.3782729164828234,3.379753123867101,0.7522826900893528,0.38665514841759224,3.7913157894736846e-6,3.7929769736842105e-6,5.083946009328338,20220319,Acropora,ambient,blue,ACR1,1,Mahana,17,NA
ACR10_2,4.923085305538974,4.138961523572282,TP2,557.9730699650745,1059.9963169310065,26.030382110682716,1837596.2799909425,ACR10_2 - TP2,27.592109165630436,14.52425221866159,47833333.333333336,1733587.41972926,4.6444362370925205,3.904694249840191,1.0599963169310065,0.5579730699650745,2.6790897212543553e-6,2.2523780487804877e-6,9.062046829111257,20220319,Acropora,ambient,blue,ACR10,10,Mahana,5,NA
ACR11_2,3.1913948203966003,1.9861816489199176,TP2,353.9932688424451,696.0252267636832,19.12123698285729,1194134.7389713353,ACR11_2 - TP2,13.308863306995372,6.768789183872705,22833333.333333336,1715648.6475694536,4.585171194491997,2.853605835746917,0.6960252267636833,0.3539932688424451,2.6725583941605836e-6,1.6632810218978101e-6,5.177576469316518,20220319,Acropora,ambient,blue,ACR11,11,Mahana,1,NA
ACR12_2,3.412561083737762,2.8747205067759776,TP2,562.1871876966693,956.97166249563,26.31960213928936,1077143.9419929418,ACR12_2 - TP2,25.187113415459276,14.796543107982325,28350000.000000004,1125575.588292679,3.566000141360868,3.003976626934975,0.9569716624956299,0.5621871876966693,3.1681569664902995e-6,2.6688359788359788e-6,6.287281590513739,20220319,Acropora,ambient,blue,ACR12,12,Mahana,11,NA
ACR13_2,2.30599844283448,2.44934032888267,TP2,544.0309975690882,936.0005173223949,24.29506193904283,830930.172174541,ACR13_2 - TP2,22.740190543323717,13.217266782700257,20187500,887745.4197905497,2.463672188377867,2.6168151443863166,0.9360005173223949,0.5440309975690882,2.7752012383900936e-6,2.9477089783281735e-6,4.75533877171715,20220319,Acropora,hot,red,ACR13,1,Mahana,10,NA
ACR14_2,2.393288692800675,1.4572755196533316,TP2,574.6921372904526,922.5729421068495,19.95676150994315,789989.146893649,ACR14_2 - TP2,18.411568181152983,11.468993925545067,15765625,856289.0919926362,2.5941457673094126,1.579577563076367,0.9225729421068495,0.5746921372904525,3.029520977865874e-6,1.8446778989098122e-6,3.8505642124540067,20220319,Acropora,hot,red,ACR14,2,Mahana,8,NA
ACR15_2,2.9709150409655543,2.2471625979298193,TP2,561.0479513479104,975.401872045068,11.762194032754849,1076896.59185974,ACR15_2 - TP2,11.472866078906407,6.599154865433724,12666666.666666668,1104054.2598117779,3.0458369274364943,2.303832566179441,0.975401872045068,0.5610479513479104,2.7587746710526315e-6,2.086702302631579e-6,5.218077638895373,20220319,Acropora,hot,red,ACR15,3,Mahana,20,NA
ACR16_2,2.5748220037197576,1.915319221526564,TP2,531.4942812033873,895.5534413060673,24.10224858663841,1128525.41132112,ACR16_2 - TP2,21.584851664978324,12.81020728794074,27199999.999999996,1260143.0124318304,2.8751182061951095,2.138698968911648,0.8955534413060673,0.5314942812033874,2.2815808823529415e-6,1.6971875000000004e-6,4.4901412252463215,20220319,Acropora,hot,red,ACR16,4,Mahana,18,NA
ACR17_2,2.5579619424360835,1.3728537972567865,TP2,443.07628013516563,973.2987498418255,12.919074147181433,1103020.2193791834,ACR17_2 - TP2,12.574118716565538,5.724135315923537,14250000.000000002,1133280.2179787443,2.6281364718199707,1.4105163470927031,0.9732987498418255,0.44307628013516565,2.3190526315789476e-6,1.244631578947369e-6,3.93081573969287,20220319,Acropora,hot,red,ACR17,5,Mahana,4,NA
ACR18_2,3.9761585064941376,3.635874204886575,TP2,707.6008614868379,1196.4094111648317,17.80367907476034,1428075.6181481695,ACR18_2 - TP2,21.300489198401653,12.597898650935603,25425000,1193634.557553159,3.3234095865418887,3.038988301961504,1.1964094111648316,0.7076008614868379,2.784277286135693e-6,2.545995575221239e-6,7.612032711380713,20220319,Acropora,hot,red,ACR18,6,Mahana,22,NA
ACR19_2,4.161535996045134,3.2518027521375985,TP2,663.5993180558819,1183.3359201825997,29.629564688898753,1919704.2075110576,ACR19_2 - TP2,35.06172819574787,19.66215892184585,56880000,1622281.6993629583,3.5167832946395903,2.747996318438314,1.1833359201825997,0.6635993180558819,2.1678006329113926e-6,1.693908227848101e-6,7.413338748182733,20220319,Acropora,hot,red,ACR19,7,Mahana,16,NA
ACR2_2,3.843790979735736,4.797268110281382,TP2,444.53813567749626,857.9424054590486,18.060763544632913,957081.6293166487,ACR2_2 - TP2,15.495094919909453,8.0286981550432035,17285625,1115554.6377318357,4.4802436099181815,5.5915969181108,0.8579424054590485,0.4445381356774963,4.016157934700076e-6,5.01239179954442e-6,8.641059090017118,20220319,Acropora,ambient,blue,ACR2,2,Mahana,14,NA
ACR20_2,1.771225110897489,1.5375007524295274,TP2,504.3633193701097,854.395937695588,24.00584191043623,919567.8319619015,ACR20_2 - TP2,20.51049380923921,12.107666110221713,22074999.999999996,1076278.3288063027,2.073072954530546,1.7995178635520646,0.8543959376955881,0.5043633193701097,1.9261494903737264e-6,1.6719818799546998e-6,3.3087258633270165,20220319,Acropora,hot,red,ACR20,8,Mahana,2,NA
ACR21_2,2.8487599747271295,2.7277751064738562,TP2,422.70962829765404,809.2393487751904,11.312296210477845,1437668.624542351,ACR21_2 - TP2,9.154355218519145,4.78181652632405,16263333.333333334,1776567.8679840625,3.520293444750084,3.3707890139084697,0.8092393487751903,0.422709628297654,1.9815136298421805e-6,1.8973601147776184e-6,5.576535081200985,20220319,Acropora,hot,red,ACR21,9,Mahana,15,NA
ACR22_2,3.7398951951048796,2.901652606681519,TP2,508.94746487953694,910.8915264122473,22.20625062132818,1388572.9980181467,ACR22_2 - TP2,20.22748552435454,11.301814958204618,30835000.000000004,1524410.9290239597,4.105752536567449,3.185508397591901,0.9108915264122474,0.5089474648795369,2.6933371169125993e-6,2.089665153234961e-6,6.641547801786398,20220319,Acropora,hot,red,ACR22,10,Mahana,12,NA
ACR23_2,1.5807404740430648,2.8651160088304257,TP2,441.0655834794512,792.6316936908065,20.920828271965313,927578.680606956,ACR23_2 - TP2,16.582511546622378,9.22745732864778,19405714.285714287,1170251.8180767952,1.9942938020589511,3.614687668479811,0.7926316936908065,0.44106558347945124,1.704157832744405e-6,3.0888118374558295e-6,4.4458564828734906,20220319,Acropora,hot,red,ACR23,11,Mahana,23,NA
ACR24_2,2.7120757112828873,1.9361981308870837,TP2,545.7980112399912,919.1445223726807,17.996492427164775,1330259.2211726664,ACR24_2 - TP2,16.541377436349933,9.822449776042097,23940000.000000004,1447279.7136828208,2.9506520958009212,2.1065219709833873,0.9191445223726807,0.5457980112399912,2.0387573099415202e-6,1.4555043859649118e-6,4.648273842169971,20220319,Acropora,hot,red,ACR24,12,Mahana,6,NA
ACR3_2,3.617242872894459,3.1248897330282395,TP2,698.689388259846,1161.4860918551854,20.310252656017944,1495632.1411228743,ACR3_2 - TP2,23.59007598202968,14.190558003636092,30376666.666666664,1287688.3775112396,3.1143230196728506,2.690423720904832,1.1614860918551853,0.6986893882598461,2.418537803138374e-6,2.0893437945791726e-6,6.7421326059226985,20220319,Acropora,ambient,blue,ACR3,3,Mahana,7,NA
ACR4_2,2.589897449914598,1.5808032267672887,TP2,466.66667160633955,942.8892446225364,23.073910707148094,1319672.2647698754,ACR4_2 - TP2,21.756142237150723,10.767825110646681,30450000.000000004,1399604.7492281825,2.746767411639532,1.6765524008072934,0.9428892446225363,0.46666667160633957,1.962530788177339e-6,1.1978756157635468e-6,4.170700676681887,20220319,Acropora,ambient,blue,ACR4,4,Mahana,24,NA
ACR5_2,3.2331081028153843,3.230123461083724,TP2,651.6534876265139,1076.6829111689735,27.829973399790724,1395976.9002255728,ACR5_2 - TP2,29.964056777841773,18.135499226526736,38850000,1296553.4102421447,3.002841476609991,3.000069405370911,1.0766829111689735,0.6516534876265139,2.31601833976834e-6,2.3138803088803083e-6,6.463231563899108,20220319,Acropora,ambient,blue,ACR5,5,Mahana,13,NA
ACR6_2,2.027983327739391,2.0509503456987033,TP2,457.18067078590934,806.9812437462585,11.472974004148206,1008581.4338326546,ACR6_2 - TP2,9.258474831336011,5.245221951125777,11571428.57142857,1249820.168248899,2.513048901018889,2.5415093121341363,0.8069812437462586,0.45718067078590935,2.010728395061729e-6,2.0335e-6,4.078933673438094,20220319,Acropora,ambient,blue,ACR6,6,Mahana,9,NA
ACR7_2,2.355128473026341,1.7235565701682238,TP2,414.82411127442646,765.9558596430911,16.453985607929333,1104595.5936196574,ACR7_2 - TP2,12.603026690876561,6.825509956731489,18175000,1442113.9021436048,3.074757433311822,2.25020351821754,0.7659558596430911,0.4148241112744265,2.132118294360385e-6,1.5603507565337002e-6,4.0786850431945645,20220319,Acropora,ambient,blue,ACR7,7,Mahana,3,NA
ACR8_2,4.499271029106567,7.334233334508308,TP2,340.60424557534486,744.7329582520267,17.450187928685544,916895.5695713944,ACR8_2 - TP2,12.995730078183792,5.943608094597929,16000000.000000002,1231173.6165449866,6.0414555032811625,9.84813852165559,0.7447329582520267,0.34060424557534486,4.907070312499999e-6,7.998984375e-6,11.833504363614875,20220319,Acropora,ambient,blue,ACR8,8,Mahana,19,NA
ACR9_2,2.9686497855262886,2.0708895646138172,TP2,538.3061331704839,906.6722989057649,15.939816668184182,1321637.9526318929,ACR9_2 - TP2,14.452190222678983,8.580501074096654,21066666.666666664,1457679.8631952663,3.274225747394137,2.2840551841201173,0.906672298905765,0.5383061331704839,2.2461898734177217e-6,1.5669113924050637e-6,5.039539350140106,20220319,Acropora,ambient,blue,ACR9,9,Mahana,21,NA
ACR24_3,1.478389531,1.181326348,TP3,196.91882804536291,298.41333086379063,20.663743802092725,371423.4977701723,ACR24_3 - TP3,6.1663366160985,4.069080212537731,7674999.999999999,1244661.2109956536,4.954167183887653,3.9586916059698782,0.2984133308637906,0.19691882804536293,3.980333877300329e-6,3.1805374595092946e-6,2.659715879,20220319,Acropora,hot,red,ACR24,12,Mahana,6,NA
ACR10_3,2.479781946,1.584827091,TP3,387.32467239585526,557.8753584102101,23.941570792968065,974246.8529613287,ACR10_3 - TP3,13.356412387030478,9.273161064028532,23325000,1746352.188305398,4.445046565717995,2.8408264805176504,0.5578753584102101,0.3873246723958553,2.545332262005707e-6,1.6267202569684947e-6,4.064609037,20220319,Acropora,ambient,blue,ACR10,10,Mahana,5,NA
ACR13_3,2.211035984,2.073732167,TP3,1404.5830737190176,1917.5297102968798,5.5278956383449085,3422979.7807227317,ACR13_3 - TP3,10.599904121946897,7.764388646904443,18921875,1785098.693564843,1.1530647854513183,1.0814602537130633,1.9175297102968798,1.4045830737190177,6.459389554247263e-7,6.058265896511227e-7,4.284768151,20220319,Acropora,hot,red,ACR13,1,Mahana,10,NA
ACR18_3,2.897951381,2.204710572,TP3,481.7135292474746,758.4690214964055,22.65614844360517,441013.4710909733,ACR18_3 - TP3,17.183986740898522,10.913773225923723,9991666.666666668,581452.18669694,3.8207906966095306,2.9067905339762765,0.7584690214964055,0.48171352924747457,6.571117598360627e-6,4.999190991935045e-6,5.102661953,20220319,Acropora,hot,red,ACR18,6,Mahana,22,NA
ACR8_3,2.685551589,2.630952335,TP3,553.7090467956765,775.3282356072148,20.66374380209274,1029823.066130197,ACR8_3 - TP3,16.02118402311608,11.44170188388684,21280000,1328241.406458865,3.4637608507792237,3.393340025775682,0.7753282356072148,0.5537090467956765,2.6077796053758957e-6,2.5547615134378603e-6,5.316503924,20220319,Acropora,ambient,blue,ACR8,8,Mahana,19,NA
ACR20_3,3.081836633,2.940864055,TP3,462.68680113049584,728.8899439973868,38.11335219469371,492062.90149617684,ACR20_3 - TP3,27.780439146742978,17.634545007322796,18754166.666666668,675085.320559644,4.228123406530423,4.034716186193595,0.7288899439973868,0.4626868011304958,6.263094867809181e-6,5.976601865448394e-6,6.0227006880000005,20220319,Acropora,hot,red,ACR20,8,Mahana,2,NA
ACR9_3,3.175633301,2.965270907,TP3,409.73032154839495,629.7149625124007,25.03417978992647,934722.0558596432,ACR9_3 - TP3,15.764397587942245,10.257262535026904,23400000,1484357.3862852848,5.0429694227528605,4.708909718723105,0.6297149625124007,0.40973032154839495,3.397409188209901e-6,3.1723557697297573e-6,6.140904208,20220319,Acropora,ambient,blue,ACR9,9,Mahana,21,NA
ACR21_3,3.510852656,3.133222689,TP3,428.58214751131834,675.0206950005393,24.13438414537248,491069.7780924774,ACR21_3 - TP3,16.291208759219327,10.34356618588685,11851666.666666668,727488.4781007863,5.201103732082163,4.641669080971654,0.6750206950005393,0.42858214751131835,7.149396710254978e-6,6.3804021928833845e-6,6.644075345,20220319,Acropora,hot,red,ACR21,9,Mahana,15,NA
ACR1_3,3.577717494,3.143314324,TP3,335.01677601553683,439.18563241817594,13.947412026671724,731318.4682932199,ACR1_3 - TP3,6.125502971530695,4.672617010935886,10200000,1665169.382401121,8.146253497185063,7.157142884417162,0.43918563241817593,0.3350167760155368,4.892147059200924e-6,4.2981470594281465e-6,6.721031818,20220319,Acropora,ambient,blue,ACR1,1,Mahana,17,NA
ACR7_3,2.919121228,3.459943708,TP3,483.2109476217439,672.8789853938538,15.16856325856646,1025970.6034591683,ACR7_3 - TP3,10.206607455306688,7.329615826232267,15562500,1524747.5782865186,4.338255899448786,5.141999948140457,0.6728789853938538,0.48321094762174394,2.845228916070182e-6,3.372361446160771e-6,6.379064936,20220319,Acropora,ambient,blue,ACR7,7,Mahana,3,NA
ACR6_3,3.349412441,3.611829737,TP3,474.0913516321102,671.7977812972797,19.249779217793595,976980.9021644603,ACR6_3 - TP3,12.931958968976222,9.12615384798347,18806666.666666664,1454278.2506334786,4.985745017692815,5.3763644917453455,0.6717977812972797,0.4740913516321102,3.428329493012112e-6,3.696929724008056e-6,6.961242178,20220319,Acropora,ambient,blue,ACR6,6,Mahana,9,NA
ACR3_3,3.431623517,3.738259254,TP3,498.31841479173715,611.7341558850744,19.699677040070576,803312.6618172877,ACR3_3 - TP3,12.050965305316154,9.816711834517148,15825000.000000002,1313172.812224343,5.609664727703539,6.110921252372087,0.6117341558850744,0.49831841479173716,4.271840442844305e-6,4.65355450210775e-6,7.169882770999999,20220319,Acropora,ambient,blue,ACR3,3,Mahana,7,NA
ACR4_3,2.979888656,3.787679509,TP3,302.84789971566767,506.2173362744713,15.618461080843456,807591.3028847632,ACR4_3 - TP3,7.906335765051074,4.730018135124337,12613333.333333334,1595345.0129311392,5.886579621967555,7.482318833399886,0.5062173362744713,0.30284789971566767,3.689847383640294e-6,4.690094476587586e-6,6.767568165,20220319,Acropora,ambient,blue,ACR4,4,Mahana,24,NA
ACR16_3,3.388568313,4.038840317,TP3,466.38805233965036,691.3049698355851,20.535201567156435,923292.6172160989,ACR16_3 - TP3,14.196086899950739,9.577372663308227,18960000,1335579.313766091,4.901698180769498,5.842342371646146,0.6913049698355851,0.46638805233965036,3.670091420439569e-6,4.374388186031276e-6,7.42740863,20220319,Acropora,hot,red,ACR16,4,Mahana,18,NA
ACR5_3,3.237816541,4.384353203,TP3,458.3903866395592,703.2519243772729,21.0493705069016,786246.7903528819,ACR5_3 - TP3,14.803010315908761,9.648829085177958,16549999.999999996,1118015.8391306226,4.60406353507966,6.234399154872316,0.7032519243772729,0.4583903866395592,4.118066465551878e-6,5.5763066467110436e-6,7.622169744,20220319,Acropora,ambient,blue,ACR5,5,Mahana,13,NA
ACR23_3,4.098783009,3.558001217,TP3,540.418822040737,775.292955208734,16.518256725397467,738955.0969523565,ACR23_3 - TP3,12.806488071529948,8.926776841705781,12206250,953130.1580747704,5.2867538411934545,4.589234550753877,0.7752929552087341,0.540418822040737,5.5467281109562e-6,4.814908553542868e-6,7.656784226,20220319,Acropora,hot,red,ACR23,11,Mahana,23,NA
ACR19_3,4.231524863,2.263451611,TP3,538.2698227490752,669.281562254656,23.138181824616247,806747.3411764608,ACR19_3 - TP3,15.485958479311448,12.45458502947206,18666666.666666668,1205393.046326742,6.322488324263653,3.381912394799807,0.6692815622546561,0.5382698227490752,5.2451674111863394e-6,2.805651156778851e-6,6.4949764739999996,20220319,Acropora,hot,red,ACR19,7,Mahana,16,NA
ACR14_3,4.012061821,4.674006361,TP3,544.1401974864293,738.1177193882031,22.977504030945894,998077.6546681019,ACR14_3 - TP3,16.960102872555026,12.502983581144125,22933333.333333336,1352193.056001107,5.435531102444527,6.332331873666576,0.7381177193882031,0.5441401974864293,4.019789244088587e-6,4.683008720953964e-6,8.686068182,20220319,Acropora,hot,red,ACR14,2,Mahana,8,NA
ACR12_3,4.324666731,5.264158824,TP3,560.8023039989782,722.569776332637,27.73356672358849,892179.9918467811,ACR12_3 - TP3,20.0394371043696,15.553048116697818,24743333.333333336,1234731.954019709,5.985119877210485,7.285329384683021,0.7225697763326371,0.5608023039989782,4.84730297756184e-6,5.900332749116438e-6,9.588825555,20220319,Acropora,ambient,blue,ACR12,12,Mahana,11,NA
