fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,code,holobiont_mgprot,host_mgprot,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2,date_collection,coral_species,treatment,tag_color,colony_ID,genotype,site,tank_num,notes
ACR20_5,1.544624494112212,0.48643503194219145,TP5,531.1416632361115,713.8013215275432,40.362841306078714,386535.3915091461,ACR20_5 - TP5,28.811049464885496,21.438386664245872,15601666.666666668,541516.7776405285,2.1639417685676143,0.6814711843082817,0.7138013215275433,0.5311416632361116,3.9960752056404225e-06,1.2584488836662751e-6,2.0310595260544035,20220319,Acropora,hot,red,ACR20,8,Mahana,2,NA
ACR21_5,1.5640534929942886,0.5999778803581842,TP5,415.5124292500834,544.5443569328916,11.440838445414139,727656.4597708249,ACR21_5 - TP5,6.230044014031145,4.7538105751117765,8325000,1336266.6429403466,2.87222422394332,1.1017979944508436,0.5445443569328916,0.4155124292500834,2.149439439439439e-6,8.245345345345344e-7,2.164031373352473,20220319,Acropora,hot,red,ACR21,9,Mahana,15,NA
ACR22_5,1.9338160848262576,0.7324883379642093,TP5,421.3092079614206,630.0559824711302,22.0455728276578,586852.5214173138,ACR22_5 - TP5,13.889945047068785,9.288002827076323,12937500.000000002,931429.1709692704,3.069276601805566,1.1625765937358952,0.6300559824711301,0.42130920796142063,3.2952334943639285e-6,1.248164251207729e-6,2.666304422790467,20220319,Acropora,hot,red,ACR22,10,Mahana,12,NA
ACR23_5,5.62268876072059,1.8921709638494346,TP5,1016.3781398937092,1387.711648631593,14.01168314413986,1484475.4756461384,ACR23_5 - TP5,19.44417591605783,14.241168450820911,20800000,1069729.0587060815,4.051770240788178,1.3635188302377392,1.387711648631593,1.0163781398937093,3.787660256410256e-6,1.2746394230769229e-6,7.514859724570025,20220319,Acropora,hot,red,ACR23,11,Mahana,23,NA
ACR24_5,2.5044478310222082,0.8835593676069993,TP5,453.0878396730582,628.0569959086025,26.223195463087137,398978.8359213297,ACR24_5 - TP5,16.469661365670603,11.881410981694494,10462500,635258.9629928917,3.9876123462314967,1.4068139887985238,0.6280569959086025,0.4530878396730582,6.277144563918757e-6,2.214551971326165e-6,3.3880071986292073,20220319,Acropora,hot,red,ACR24,12,Mahana,6,NA
ACR3_5,3.1155190640109773,1.0791695155893826,TP5,534.0527446742678,656.5805163518432,17.546594604887765,995444.8176400658,ACR3_5 - TP5,11.520752145893676,9.370807008427011,17466666.666666664,1516104.7165563996,4.74506779659215,1.6436209858702016,0.6565805163518432,0.5340527446742679,3.1297757633587785e-6,1.0841078244274811e-6,4.19468857960036,20220319,Acropora,ambient,blue,ACR3,3,Mahana,7,NA
ACR4_5,2.33802081533181,0.8006780894802751,TP5,387.5201619244428,556.0790883746993,21.08150606563567,789317.4210700422,ACR4_5 - TP5,11.722984674544376,8.169508644166257,16639999.999999998,1419433.7416590308,4.204475342105287,1.439863692447933,0.5560790883746992,0.3875201619244428,2.962079326923077e-6,1.0143930288461538e-6,3.138698904812085,20220319,Acropora,ambient,blue,ACR4,4,Mahana,24,NA
ACR5_5,2.090899229885926,0.6935068235427924,TP5,580.8222411207626,746.760066914147,30.07946251117577,940633.4966752713,ACR5_5 - TP5,22.462141437587192,17.47082082744907,28293750,1259619.4391623964,2.7999612225198316,0.9286876123526341,0.7467600669141471,0.5808222411207625,2.2228628230616304e-6,7.372763419483106e-7,2.7844060534287185,20220319,Acropora,ambient,blue,ACR5,5,Mahana,13,NA
ACR6_5,2.001230624541124,0.6124879076430854,TP5,521.6208071252261,610.8732955648513,28.472684574472154,678588.980588185,ACR6_5 - TP5,17.39320265958631,14.85194470875814,19321250,1110850.622403979,3.276015892445687,1.0026431210693882,0.6108732955648514,0.5216208071252261,2.949105691056911e-6,9.025904121110177e-7,2.6137185321842096,20220319,Acropora,ambient,blue,ACR6,6,Mahana,9,NA
ACR7_5,2.43287282762282,0.8684956452203294,TP5,469.36834399370605,572.4015831135191,19.796083716272797,634595.2148946188,ACR7_5 - TP5,11.331309658642306,9.291655031467734,12562500,1108653.8430638222,4.250290179823509,1.5172837931304055,0.5724015831135191,0.469368343993706,3.833739635157546e-6,1.3685820895522386e-6,3.3013684728431496,20220319,Acropora,ambient,blue,ACR7,7,Mahana,3,NA
ACR8_5,2.9183549192748344,0.9430486357135863,TP5,700.0843531509006,887.0859559628533,18.189305779569214,1582706.5464845435,ACR8_5 - TP5,16.13547770576981,12.734048370953651,28788333.333333336,1784163.683176176,3.289822028697567,1.06308597196761,0.8870859559628533,0.7000843531509006,1.8439014647137147e-6,5.958455392809586e-7,3.8614035549884207,20220319,Acropora,ambient,blue,ACR8,8,Mahana,19,NA
ACR9_5,2.474358162858108,0.8208875339021312,TP5,550.5065059444603,664.3543090802493,15.618461080843456,862227.5009657618,ACR9_5 - TP5,10.376191920260519,8.59806443784467,13466666.666666664,1297842.8666466447,3.724455654218121,1.235617083659156,0.6643543090802493,0.5505065059444603,2.869727722772278e-6,9.520544554455447e-7,3.2952456967602393,20220319,Acropora,ambient,blue,ACR9,9,Mahana,21,NA
