treatment,timepoint,fragment_ID,chla.ug.cm2,chlc2.ug.cm2,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,cells.cm2,code,holobiont_mgprot,host_mgprot,mgafdw,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2,date_collection,coral_species,tag_color,colony_ID,genotype,site,tank_num,notes
ambient,TP2,NA,3.2669607889916503,3.1212589831065416,489.4392932415118,894.0515758277131,20.079947818423758,1.7838474432068463,0.8043481335064331,85.71592480578684,63.56336070237377,1191606.1750338895,NA,18.368185670949,10.092779429319432,16.964666666666638,24621560.01984127,1328837.9928946493,3.701795299356231,3.585381568142534,0.8940515758277131,0.4894392932415118,2.8600393843752405e-6,2.8458925054920583e-6,6.388219772098192,20220319,NA,NA,NA,6.5,NA,12,NA
ambient,TP3,NA,3.8561809413333332,4.008253812916666,532.1433235067345,758.6771718604056,19.442592570198002,2.1789920205438196,0.9350692784866432,58.748334720333744,36.88739074799958,1102469.0475957394,NA,13.745582915702864,9.685861013281949,17.07416666666663,19397708.333333332,1446857.0821293495,5.235131685381605,5.520947650005879,0.7586771718604056,0.5321433235067345,3.66304664842241e-6,3.9298055185022575e-6,7.86443475425,20220319,NA,NA,NA,6.5,NA,12,NA
ambient,TP4,NA,1.998523339822384,0.7665665389289875,438.60816187614495,688.4899207358573,20.06388004,1.9538955669561553,0.8924757797796878,45.451623073373526,28.528732454847887,952269.9317175893,NA,14.057115665728807,8.909500854971087,17.580000000000013,19520833.333333332,1391018.0372106489,2.9844762724559692,1.1609224765177129,0.6884899207358572,0.43860816187614493,2.1875317849838558e-6,8.489623945742955e-7,2.765089878751372,20220319,NA,NA,NA,6.5,NA,12,NA
ambient,TP5,NA,2.548485386997708,0.8611040304445047,505.3219534675836,658.517591161174,22.045572827657814,2.0601437013684425,0.9075062055809056,52.47060118528414,30.982842380576823,963225.1744054538,NA,14.531052755776551,11.145336847882817,19.54425000000005,20790468.75,1452456.6710361456,3.9237400713989308,1.3258094849830546,0.658517591161174,0.5053219534675837,2.847529168127003e-6,9.583797354560644e-7,3.4095894174422128,20220319,NA,NA,NA,6.5,NA,12,NA
hot,TP2,NA,2.799448090945939,2.3581559189646466,537.3688195296222,947.4063235763458,19.742524451716008,1.8784294839447504,0.8349745170136991,91.59493215306856,69.8695884570349,1190065.7269657901,NA,18.846836342846807,10.776751704147086,16.778833333333374,23741153.273809522,1254351.4097079665,2.9242639396690238,2.4927875103801607,0.9474063235763458,0.5373688195296222,2.3716769750085005e-6,2.022011286106191e-6,5.157604009910585,20220319,NA,NA,NA,6.5,NA,13,NA
hot,TP3,NA,3.171652765833333,2.8369479986666666,559.0639804099212,775.449915245132,21.408217579432055,1.8206960596466293,0.984871878652383,62.88987836829402,39.15054086374425,940510.686536148,NA,15.406352676787014,10.939174823370369,20.43074999999997,16353454.861111112,1158216.2492244437,4.6009436648593125,4.176653172062891,0.7754499152451321,0.5590639804099212,4.486281250338392e-6,3.953277696404152e-6,6.0086007645,20220319,NA,NA,NA,6.5,NA,13,NA
hot,TP4,NA,1.53708665961174,0.6968995179786472,443.58834382655175,703.4078132400275,25.1793006925,2.019905956916563,0.6299075010387992,49.97874672820206,33.46533775992,617060.0095483559,NA,18.102218061174217,11.384012203486392,15.743500000000068,15149322.916666668,891875.6170574417,2.268042863176849,1.0152244928732002,0.7034078132400275,0.44358834382655177,2.5843068483040516e-6,1.172242766092915e-6,2.233986177590387,20220319,NA,NA,NA,6.5,NA,13,NA
hot,TP5,NA,2.1429349683719017,0.7523366474695966,497.0441377533023,655.9293886862054,24.53607862954837,1.2820937103284191,0.5421969385144723,51.235651477890045,31.74423436694947,628633.7095349,NA,16.126847694427234,12.31479163030592,12.645916666666627,14497708.333333334,966063.6852677976,3.215042119839924,1.136613816513697,0.6559293886862053,0.4970441377533023,3.642954451006696e-6,1.2753819216871886e-6,2.8952716158414984,20220319,NA,NA,NA,6.5,NA,13,NA
initial,TP1,NA,3.291048443332449,2.521389394220192,579.2116000371266,919.8025450711866,17.257374576281123,1.9868302914552074,0.9865039730852967,70.0011657869224,44.92539913014802,1114743.7648874854,NA,15.894680962262873,10.06712793423195,17.100666666666648,19408454.861111112,1209035.539608016,3.598396607607584,2.7842155511747246,0.9198025450711866,0.5792116000371266,3.087654021942047e-6,2.4566302008998905e-6,5.812437837552641,20220319,NA,NA,NA,6.5,NA,12.5,NA
