Pan.ID,fragment_ID,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
198,ACR1_3,Host,TP3,0.31895,0.37511,0.36765
69,ACR1_3,Sym,TP3,0.27475,0.29346,0.29131
172,ACR10_3,Host,TP3,0.3015,0.36097,0.35142
174,ACR10_3,Sym,TP3,0.31205,0.33117,0.32546
63,ACR11_3,Host,TP3,0.263,0.32233,0.31345
96,ACR11_3,Sym,TP3,0.27032,0.28834,0.2836
90,ACR12_3,Host,TP3,0.28822,0.3479,0.33875
59,ACR12_3,Sym,TP3,0.27194,0.29005,0.28491
87,ACR13_3,Host,TP3,0.33754,0.35361,0.35221
55,ACR13_3,Sym,TP3,0.29478,0.3112,0.30844
180,ACR14_3,Host,TP3,0.3083,0.3657,0.357
120,ACR14_3,Sym,TP3,0.26556,0.28518,0.27821
151,ACR15_3,Host,TP3,0.28554,0.34071,0.33106
107,ACR15_3,Sym,TP3,0.2509,0.27386,0.26501
93,ACR16_3,Host,TP3,0.27691,0.34263,0.3305
30,ACR16_3,Sym,TP3,0.28297,0.30096,0.2955
9,ACR17_3,Host,TP3,0.29906,0.35726,0.34915
175,ACR17_3,Sym,TP3,0.307,0.32591,0.31993
50,ACR18_3,Host,TP3,0.26094,0.3336,0.3165
66,ACR18_3,Sym,TP3,0.28411,0.30805,0.29836
22,ACR19_3,Host,TP3,0.30877,0.36734,0.3543
127,ACR19_3,Sym,TP3,0.2832,0.29946,0.29671
18,ACR2_3,Host,TP3,0.29676,0.35922,0.34813
100,ACR2_3,Sym,TP3,0.25594,0.27755,0.27063
126,ACR20_3,Host,TP3,0.2752,0.33821,0.32805
186,ACR20_3,Sym,TP3,0.30115,0.32573,0.3156
53,ACR21_3,Host,TP3,0.28924,0.35133,0.33848
132,ACR21_3,Sym,TP3,0.3155,0.339,0.32932
15,ACR22_3,Host,TP3,0.35705,0.40842,0.39731
182,ACR22_3,Sym,TP3,0.28813,0.3081,0.30163
44,ACR23_3,Host,TP3,0.28372,0.33791,0.32981
113,ACR23_3,Sym,TP3,0.26578,0.2837,0.2784
143,ACR24_3,Host,TP3,0.28856,0.33836,0.32849
233,ACR24_3,Sym,TP3,0.2807,0.29899,0.29365
95,ACR3_3,Host,TP3,0.27356,0.3318,0.3233
188,ACR3_3,Sym,TP3,0.32561,0.34507,0.33907
43,ACR4_3,Host,TP3,0.293,0.35035,0.3405
147,ACR4_3,Sym,TP3,0.31497,0.3336,0.3278
106,ACR5_3,Host,TP3,0.2548,0.32231,0.30479
176,ACR5_3,Sym,TP3,0.30495,0.32493,0.31768
75,ACR6_3,Host,TP3,0.25151,0.31205,0.30118
92,ACR6_3,Sym,TP3,0.271,0.28967,0.28377
219,ACR7_3,Host,TP3,0.28563,0.34329,0.33468
31,ACR7_3,Sym,TP3,0.28276,0.30126,0.2973
225,ACR8_3,Host,TP3,0.28363,0.3399,0.3328
139,ACR8_3,Sym,TP3,0.30901,0.32661,0.323
64,ACR9_3,Host,TP3,0.28965,0.351,0.33802
165,ACR9_3,Sym,TP3,0.28021,0.30301,0.29556
