fragment_ID,Sample,Diameter,weight1.g,weight2.g,timepoint
1,Standard,7.44,140.4,146,TP1
2,Standard,6.22,93.271,96.842,TP1
3,Standard,5.08,46.368,48.827,TP1
4,Standard,3.16,10.977,11.685,TP1
5,Standard,2.52,6.212,6.59,TP1
6,Standard,1.9,2.204,2.411,TP1
7,Standard,1.18,0.577,0.649,TP1
ACR1_1,Coral,NA,9.762,10.323,TP1
ACR10_1,Coral,NA,1.192,1.49,TP1
ACR11_1,Coral,NA,0.927,1.101,TP1
ACR12_1,Coral,NA,3.54,3.822,TP1
ACR13_1,Coral,NA,3.247,3.656,TP1
ACR14_1,Coral,NA,0.981,1.253,TP1
ACR15_1,Coral,NA,1.001,1.202,TP1
ACR16_1,Coral,NA,4.387,4.743,TP1
ACR17_1,Coral,NA,1.902,2.316,TP1
ACR18_1,Coral,NA,3.27,3.585,TP1
ACR19_1,Coral,NA,1.872,2.308,TP1
ACR2_1,Coral,NA,1.994,2.355,TP1
ACR20_1,Coral,NA,2.936,3.364,TP1
ACR21_1,Coral,NA,1.054,1.298,TP1
ACR22_1,Coral,NA,1.931,2.282,TP1
ACR23_1,Coral,NA,2.984,3.4,TP1
ACR24_1,Coral,NA,0.734,0.861,TP1
ACR3_1,Coral,NA,1.882,2.211,TP1
ACR4_1,Coral,NA,6.391,7.044,TP1
ACR5_1,Coral,NA,1.418,1.882,TP1
ACR6_1,Coral,NA,6.497,6.941,TP1
ACR7_1,Coral,NA,3.182,3.675,TP1
ACR8_1,Coral,NA,3.832,4.387,TP1
ACR9_1,Coral,NA,4.294,4.615,TP1
