Well,562:562
A1,2.511
B1,0.287
C1,1.105
D1,1.354
E1,1.38
F1,1.031
G1,0.043
H1,0.044
A2,2.45
B2,0.282
C2,1.147
D2,1.31
E2,1.276
F2,1.03
G2,0.044
H2,0.044
A3,1.921
B3,0.124
C3,1.463
D3,1.425
E3,1.273
F3,1.285
G3,0.043
H3,0.044
A4,1.889
B4,0.942
C4,1.423
D4,1.376
E4,1.215
F4,1.293
G4,0.044
H4,0.045
A5,1.389
B5,0.1
C5,1.45
D5,1.222
E5,2.227
F5,1.247
G5,0.045
H5,0.045
A6,1.398
B6,0.092
C6,1.454
D6,1.157
E6,2.159
F6,1.256
G6,0.043
H6,0.043
A7,1.082
B7,0.873
C7,1.084
D7,0.982
E7,1.019
F7,0.045
G7,0.045
H7,0.042
A8,1.092
B8,0.847
C8,1.073
D8,0.986
E8,0.984
F8,0.044
G8,0.044
H8,0.043
A9,0.769
B9,1.59
C9,1.149
D9,1.32
E9,2.149
F9,0.044
G9,0.045
H9,0.043
A10,0.793
B10,1.657
C10,1.211
D10,1.244
E10,1.988
F10,0.045
G10,0.044
H10,0.046
A11,0.448
B11,1.244
C11,1.495
D11,1.631
E11,1.764
F11,0.047
G11,0.045
H11,0.043
A12,0.475
B12,1.214
C12,1.535
D12,1.697
E12,1.703
F12,0.045
G12,0.045
H12,0.044
