fragment_ID,timepoint,homogenate_vol_ml,notes,date_airbrushed
ACR1_4,TP4,13,,20220411
ACR2_4,TP4,22.5,,20220411
ACR3_4,TP4,12.5,,20220411
ACR4_4,TP4,13,,20220411
ACR5_4,TP4,11,,20220411
ACR6_4,TP4,11,,20220411
ACR7_4,TP4,22.5,,20220411
ACR8_4,TP4,8,,20220411
ACR9_4,TP4,10,,20220411
ACR10_4,TP4,22.5,,20220411
ACR11_4,TP4,8,,20220411
ACR12_4,TP4,16,,20220411
ACR13_4,TP4,12.5,,20220411
ACR14_4,TP4,17.5,,20220411
ACR15_4,TP4,26,,20220411
ACR16_4,TP4,8,,20220411
ACR17_4,TP4,22.5,,20220411
ACR18_4,TP4,17.5,,20220411
ACR19_4,TP4,14,,20220411
ACR20_4,TP4,32.5,,20220411
ACR21_4,TP4,12.5,,20220411
ACR22_4,TP4,17.5,,20220411
ACR23_4,TP4,15,,20220411
ACR24_4,TP4,26,,20220411
