Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20220305,14:51:43,15:03:00
1,2,19,20220305,15:05:00,15:15:00
1,3,73,20220305,15:18:00,15:28:00
1,4,156,20220305,15:29:00,15:39:00
1,5,175,20220305,15:42:00,15:52:00
1,6,287,20220305,15:54:00,16:04:00
1,7,500,20220305,16:07:00,16:17:00
1,8,772,20220305,16:19:00,16:29:00
1,9,885,20220305,16:32:00,16:49:00
1,10,1076,20220305,16:52:00,17:02:00
